"symbol","baseAsset","quoteVolume","volume","lastPrice","pair"
"BTCUSDT","BTC","13933118217.93","214542.509","63924.8","BTC/USDT:USDT"
"ETHUSDT","ETH","10241060617.05","5826471.853","1728.4","ETH/USDT:USDT"
"HYPEUSDT","HYPE","2022802117.25962","27909758.89","70.402","HYPE/USDT:USDT"
"SOLUSDT","SOL","2019523041.8105","27859118.07","71.08","SOL/USDT:USDT"
"ZECUSDT","ZEC","1125425032.43","2314188.468","465.82","ZEC/USDT:USDT"
"XRPUSDT","XRP","671210865.5547","562498757.7","1.1653","XRP/USDT:USDT"
"ASTERUSDT","ASTER","625688072.7054","859937870","0.6551","ASTER/USDT:USDT"
"ESPORTSUSDT","ESPORTS","576158659.29088","4203060068","0.1761","ESPORTS/USDT:USDT"
"WLDUSDT","WLD","550502259.123","842026083","0.6113","WLD/USDT:USDT"
"UNIUSDT","UNI","414947697.432","123184136","3.077","UNI/USDT:USDT"
"BNBUSDT","BNB","409658208.693","680165.43","588.46","BNB/USDT:USDT"
"DOGEUSDT","DOGE","367149913.26245","4266334764","0.0843","DOGE/USDT:USDT"
"XPLUSDT","XPL","322016336.38583","2862606693","0.10744","XPL/USDT:USDT"
"XLMUSDT","XLM","267357529.32615","1169885757","0.23001","XLM/USDT:USDT"
"NEARUSDT","NEAR","263347427.11","116009356","2.167","NEAR/USDT:USDT"
"BSBUSDT","BSB","231881741.76779","410004577","0.59892","BSB/USDT:USDT"
"LABUSDT","LAB","230342533.19246","16896833","14.334","LAB/USDT:USDT"
"AGTUSDT","AGT","227110186.351651","8815436527","0.026657","AGT/USDT:USDT"
"BEATUSDT","BEAT","223365139.826","122176070","1.685","BEAT/USDT:USDT"
"ENAUSDT","ENA","223267642.14739","2433181381","0.09151","ENA/USDT:USDT"
"ADAUSDT","ADA","210004543.8341","1248658411","0.1645","ADA/USDT:USDT"
"SUIUSDT","SUI","205229620.45311","263672195","0.7458","SUI/USDT:USDT"
"HUSDT","H","202300937.62061","996659288","0.25343","H/USDT:USDT"
"1000PEPEUSDT","1000PEPE","182629534.9866938","62128899567","0.0028697","1000PEPE/USDT:USDT"
"TAOUSDT","TAO","175838768.63","702066.205","241.19","TAO/USDT:USDT"
"FILUSDT","FIL","137827043.68","171517213.8","0.785","FIL/USDT:USDT"
"SYNUSDT","SYN","137625587.94842","1688373451","0.0948","SYN/USDT:USDT"
"LINKUSDT","LINK","122719226.935","15077276.82","7.947","LINK/USDT:USDT"
"PAXGUSDT","PAXG","121555766.116","28302.865","4292.21","PAXG/USDT:USDT"
"AVAXUSDT","AVAX","111931877.526","16459874","6.613","AVAX/USDT:USDT"
"ONDOUSDT","ONDO","106455749.72447","287646886.2","0.3582","ONDO/USDT:USDT"
"SIRENUSDT","SIREN","90049854.36946","1881930353","0.04932","SIREN/USDT:USDT"
"BRUSDT","BR","88330958.66965","460071965","0.1842","BR/USDT:USDT"
"DOTUSDT","DOT","86624219.928","86113605.5","0.973","DOT/USDT:USDT"
"JTOUSDT","JTO","85864398.2577","117586294","0.7076","JTO/USDT:USDT"
"VELVETUSDT","VELVET","81203301.15756","226387776","0.353","VELVET/USDT:USDT"
"IDUSDT","ID","81014095.20667","2502956106","0.03117","ID/USDT:USDT"
"TRUMPUSDT","TRUMP","80322063.1303","42133317.26","1.864","TRUMP/USDT:USDT"
"HOMEUSDT","HOME","79967429.256969","2543966935","0.0328","HOME/USDT:USDT"
"BCHUSDT","BCH","79414473.25","374469.275","207.11","BCH/USDT:USDT"
"SPXUSDT","SPX","74775505.2589","168661796","0.3928","SPX/USDT:USDT"
"SKYAIUSDT","SKYAI","74330783.70927","203578487","0.37075","SKYAI/USDT:USDT"
"AAVEUSDT","AAVE","71438741.872","952358.2","73.21","AAVE/USDT:USDT"
"LITUSDT","LIT","67920805.33862","38594815.4","1.6266","LIT/USDT:USDT"
"INJUSDT","INJ","66648586.1997","12277108.5","5.225","INJ/USDT:USDT"
"EVAAUSDT","EVAA","53666666.48624","81913495.6","0.6681","EVAA/USDT:USDT"
"LTCUSDT","LTC","52928671.24","1175093.726","44.26","LTC/USDT:USDT"
"TACUSDT","TAC","51798392.847032","2384384155","0.024128","TAC/USDT:USDT"
"BIOUSDT","BIO","50774818.6543","1452002273","0.03512","BIO/USDT:USDT"
"BLESSUSDT","BLESS","50376789.552728","6800275527","0.006784","BLESS/USDT:USDT"
