rank,baseAsset,symbol,avg_quote_volume_usdt,min_daily_quote_volume_usdt,max_daily_quote_volume_usdt,total_30d_quote_volume_usdt,window_start_utc,window_end_utc,first_kline_date_utc
1,USDC,USDCUSDT,1751172067.26,490522901.55,3611180008.00,52535162017.90,2026-05-09,2026-06-07,2018-12-15
2,BTC,BTCUSDT,1274700283.63,515907532.59,3379021750.50,38241008508.87,2026-05-09,2026-06-07,2017-08-17
3,ETH,ETHUSDT,666192033.58,197997124.86,2055119895.18,19985761007.47,2026-05-09,2026-06-07,2017-08-17
4,SOL,SOLUSDT,217506049.02,81945760.26,459201300.25,6525181470.56,2026-05-09,2026-06-07,2020-08-11
5,USD1,USD1USDT,191829440.72,53108151.95,412057471.20,5754883221.58,2026-05-09,2026-06-07,2025-05-22
6,ZEC,ZECUSDT,190251011.16,72295474.42,986797486.52,5707530334.76,2026-05-09,2026-06-07,2019-03-21
7,XRP,XRPUSDT,143838060.06,58866931.94,314025795.81,4315141801.75,2026-05-09,2026-06-07,2018-05-04
8,BNB,BNBUSDT,132539582.37,48408849.31,394144069.03,3976187471.01,2026-05-09,2026-06-07,2017-11-06
9,NEAR,NEARUSDT,93038769.54,13496943.06,227259719.92,2791163086.35,2026-05-09,2026-06-07,2020-10-14
10,DOGE,DOGEUSDT,87799995.12,34002701.27,267889917.81,2633999853.69,2026-05-09,2026-06-07,2019-07-05
11,SUI,SUIUSDT,79950928.40,20075632.94,281777994.34,2398527852.06,2026-05-09,2026-06-07,2023-05-03
12,TRX,TRXUSDT,45663217.81,25250804.92,98610400.33,1369896534.25,2026-05-09,2026-06-07,2018-06-11
13,TON,TONUSDT,43678023.15,16185856.17,102722376.98,1310340694.46,2026-05-09,2026-06-07,2024-08-08
14,ADA,ADAUSDT,32029903.05,14869060.56,91932735.70,960897091.52,2026-05-09,2026-06-07,2018-04-17
15,TAO,TAOUSDT,29673090.30,11975821.99,54937268.75,890192709.13,2026-05-09,2026-06-07,2024-04-11
16,LINK,LINKUSDT,28290625.99,13650441.60,61285397.87,848718779.77,2026-05-09,2026-06-07,2019-01-16
