pair,tag,open,close,is_short,profit,mfe_before_exit,duration_min,mfe_after_24h,mfe_after_72h,mfe_after_120h,hit10_24h,hit10_72h,hit10_120h
NEAR/USDT:USDT,short_pullback_restart,2025-06-21 14:00:00+00:00,2025-06-22 00:35:00+00:00,True,0.014685673618340932,0.07097791798107256,635,0.13735343383584597,0.13735343383584597,0.13735343383584597,True,True,True
SOL/USDT:USDT,short_pullback_restart,2025-06-21 18:00:00+00:00,2025-06-22 00:35:00+00:00,True,0.006694550045985613,0.06224130001533035,395,0.10132718747516511,0.10132718747516511,0.10132718747516511,True,True,True
TAO/USDT:USDT,short_pullback_restart,2025-09-23 18:00:00+00:00,2025-09-26 02:50:00+00:00,True,0.011877495954084985,0.06733692647871758,3410,0.06183405513164231,0.06289351453638403,0.06289351453638403,False,False,False
BNB/USDT:USDT,long_1d_center_compression,2025-10-03 00:00:00+00:00,2025-10-03 17:00:00+00:00,False,0.01909869866723054,0.07183910680074423,1020,0.09393992171673182,0.13690405257995608,0.24933312555572873,False,True,True
BTC/USDT:USDT,short_pullback_restart,2025-11-04 06:00:00+00:00,2025-11-05 18:15:00+00:00,True,0.0002471665240776542,0.05334780076206802,2175,0.03916562914013011,0.05004334677419364,0.05004334677419364,False,False,False
SUI/USDT:USDT,short_pullback_restart,2025-11-19 06:00:00+00:00,2025-11-19 21:20:00+00:00,True,0.01897763178073125,0.07584195173693975,920,0.0962642707559278,0.23858952831628755,0.23858952831628755,False,True,True
DOGE/USDT:USDT,short_pullback_restart,2025-11-19 06:00:00+00:00,2025-11-19 23:10:00+00:00,True,0.00822758281296085,0.06365181910914663,1030,0.07078797836653661,0.1746019825773506,0.1746019825773506,False,True,True
TAO/USDT:USDT,short_pullback_restart,2026-01-25 05:00:00+00:00,2026-01-26 04:20:00+00:00,True,0.012559466061891884,0.06887789827124635,1400,0.027971722813754596,0.044980703544337475,0.13746982134234664,False,False,True
ETH/USDT:USDT,short_pullback_restart,2026-01-25 04:00:00+00:00,2026-01-26 08:20:00+00:00,True,0.0017128365272966078,0.05653071853168834,1700,0.0239350037246151,0.0239350037246151,0.11649074063530729,False,False,True
DOGE/USDT:USDT,short_pullback_restart,2026-02-10 07:00:00+00:00,2026-02-12 06:25:00+00:00,True,0.00609925045440366,0.06216554707958544,2845,0.02935010482180278,0.02935010482180278,0.02935010482180278,False,False,False
ADA/USDT:USDT,short_compression_breakdown,2026-02-22 13:00:00+00:00,2026-02-23 09:30:00+00:00,True,0.007127866868161667,0.0630595562475671,1230,0.06888454011741674,0.0777426992896606,0.0777426992896606,False,False,False
XRP/USDT:USDT,short_pullback_restart,2026-02-22 13:00:00+00:00,2026-02-23 11:15:00+00:00,True,0.00343971360539714,0.059518434913468754,1335,0.0664192668888215,0.07365611894776958,0.10935161112424163,False,False,True
TAO/USDT:USDT,short_compression_breakdown,2026-02-22 13:00:00+00:00,2026-02-23 12:35:00+00:00,True,0.004747910318994658,0.06084479728501324,1415,0.07051125244618395,0.0738604993558678,0.0738604993558678,False,False,False
XRP/USDT:USDT,short_pullback_restart,2026-03-26 06:00:00+00:00,2026-03-30 08:35:00+00:00,True,0.014312418225912928,0.07289170595965055,5915,0.05704059096793834,0.06539760515812088,0.08513798764756464,False,False,False
BNB/USDT:USDT,short_pullback_restart,2026-04-01 14:00:00+00:00,2026-04-05 23:15:00+00:00,True,0.014663724261278207,0.07122706803805778,6315,0.02520416547884552,0.03231907061564954,0.03231907061564954,False,False,False
