pair,open_date,enter_tag,bucket,base_profit_abs,a1_profit_abs,delta_abs,base_profit_pct,a1_profit_pct,base_exit,a1_exit,base_stake,a1_stake,a1_partial_exits
LINK/USDT:USDT,2023-06-19 11:00:00+00:00,short_compression_breakdown,same,-6.9212246,-6.9212246,0.0,-2.5567502156155038,-2.5567502156155038,trailing_stop_loss,trailing_stop_loss,270.8394,270.8394,0
NEAR/USDT:USDT,2023-07-05 11:00:00+00:00,short_compression_breakdown,loss_to_profit,-1.61958337,0.00634236,1.62592573,-1.039113483893415,0.004069214291639856,stale_loss_72h,trailing_stop_loss,155.94,155.94,0
NEAR/USDT:USDT,2023-07-10 01:00:00+00:00,short_compression_breakdown,same,-7.31778422,-7.31778422,0.0,-3.97528692566336,-3.97528692566336,stop_loss,stop_loss,184.174,184.174,0
NEAR/USDT:USDT,2023-07-27 19:00:00+00:00,short_pullback_restart,same,-7.28130984,-7.28130984,0.0,-2.7591380964883077,-2.7591380964883077,stop_loss,stop_loss,264.03,264.03,0
ZEC/USDT:USDT,2023-07-30 07:00:00+00:00,short_pullback_restart,loss_to_profit,-5.37047115,0.21434249,5.58481364,-1.5875279009852583,0.06325363655283082,stop_loss,trailing_stop_loss,338.46068,339.03144,0
SUI/USDT:USDT,2023-07-30 20:00:00+00:00,short_pullback_restart,loss_to_less_loss,-7.43880996,-0.45279074,6.98601922,-2.9803609854194613,-0.18114209405415607,trailing_stop_loss,trailing_stop_loss,249.71912,250.08944,0
NEAR/USDT:USDT,2023-07-31 20:00:00+00:00,short_compression_breakdown,loss_to_profit,-7.355584,0.124304,7.479888000000001,-3.3795295884533014,0.05711158297738142,stop_loss,trailing_stop_loss,217.76,217.76,0
ETH/USDT:USDT,2023-08-02 15:00:00+00:00,short_pullback_restart,loss_to_more_loss,-0.11475038,-0.11730039,-0.0025500100000000053,-0.0346462979234592,-0.03464629838291412,stale_loss_72h,stale_loss_72h,331.371,338.7348,0
ZEC/USDT:USDT,2023-08-04 09:00:00+00:00,short_pullback_restart,loss_to_profit,-0.6568895,0.14277446,0.79966396,-0.2048495865264699,0.04353909726767473,stale_loss_72h,trailing_stop_loss,320.8296,328.08646,0
ADA/USDT:USDT,2023-08-06 14:00:00+00:00,short_pullback_restart,loss_to_more_loss,-4.2779301,-4.91750183,-0.6395717300000001,-1.4517619743190004,-1.4517619749620614,stop_loss,stop_loss,294.819,338.8959,0
ADA/USDT:USDT,2023-08-15 19:00:00+00:00,short_pullback_restart,profit_to_more_profit,32.66442434,37.97819922,5.313774880000004,9.993906771496617,11.263685369886527,roi,trailing_stop_loss,327.0069,168.8148,1
BTC/USDT:USDT,2023-08-17 14:00:00+00:00,short_compression_breakdown,profit_to_less_profit,31.21722703,15.34289383,-15.8743332,10.000033122846688,4.914896712410528,roi,trailing_stop_loss,312.3274,312.3274,0
ETH/USDT:USDT,2023-08-17 15:00:00+00:00,short_pullback_restart,profit_to_less_profit,29.50739757,15.36835732,-14.139040249999999,9.999793599748052,4.912278686993994,roi,trailing_stop_loss,295.22768,313.01248,0
LINK/USDT:USDT,2023-08-21 11:00:00+00:00,short_pullback_restart,loss_to_profit,-7.53001595,0.05106105,7.5810770000000005,-2.09486492526136,0.014144947310682719,stop_loss,trailing_stop_loss,359.63096,361.16496,0
