strategy_label,strategy_name,pair,open_date,close_date,final_profit,profit_abs,exit_reason,hours_to_5pct,adverse_before_5pct,overall_mfe,future_mfe_after_5pct,future_close_min_after_5pct,node_time,node_close_profit,target_reach10,pair_1h_body_ratio,pair_1h_close_position,pair_1h_ret_1h,pair_1h_ret_3h,pair_1h_ret_6h,pair_1h_ret_12h,pair_1h_ret_24h,pair_1h_atr_pct,pair_1h_close_vs_ema20,pair_1h_close_vs_ema50,pair_1h_close_vs_ema200,pair_1h_range_width_24h,pair_1h_range_position_24h,pair_1h_center_slope_3,pair_1h_close_vs_center,pair_4h_ema50_slope_3,pair_4h_ema50_slope_6,pair_4h_close_vs_ema50,pair_4h_close_vs_ema200,pair_4h_trend_down,pair_4h_trend_up,pair_1d_ema50_slope_3,pair_1d_close_vs_ema50,pair_1d_center_slope_3,pair_1d_close_vs_center,btc_1h_ret_6h,btc_1h_ret_24h,btc_4h_ema50_slope_3,btc_4h_close_vs_ema50,btc_4h_trend_down,btc_4h_trend_up,btc_1d_ema50_slope_3,btc_1d_close_vs_ema50,btc_1d_center_slope_3,btc_1d_close_vs_center
Baseline,DualTrendBaselineStrategy,SOL/USDT:USDT,2022-11-18 15:00:00+00:00,2022-11-20 04:35:00+00:00,-0.003510271699070976,-0.8206362,trailing_stop_loss,11.583333333333334,0.004319654427645776,0.06427347881135023,0.06427347881135023,0.004468608028598996,2022-11-19T02:30:00+00:00,0.04922916511506663,0,0.49901768172888417,0.4970530451866386,-0.019302662699321016,-0.030399034472354258,-0.02532605398847443,-0.04274649985105761,-0.06168333454996722,0.01574273711351662,-0.031043839301668874,-0.050460616273067305,-0.17868663213483904,0.09413412167418696,0.20909090909090788,-0.006294431654312205,-0.01823403312779104,-0.020302337951675256,-0.03912844585189616,-0.17720038375150082,-0.4592885640752783,1,0,,-0.49035232169676946,-0.036642438452520465,-0.06270079246091242,-0.0008357735113910802,-0.01718131760892838,-0.002945944672115639,-0.024974529491521902,1,0,,-0.10830891671320109,0.0018859183299029247,-0.000990258205238681
Baseline,DualTrendBaselineStrategy,DOGE/USDT:USDT,2022-11-18 18:00:00+00:00,2022-11-20 20:30:00+00:00,0.05492096210677852,15.30524803,partial_exit,48.083333333333336,0.022889842632331965,0.06688125894134467,0.06688125894134467,0.03803051979017642,2022-11-20T18:00:00+00:00,0.050429184549356194,0,0.03164556962024972,0.9240506329113954,0.0007451564828615531,-0.01695742344760276,-0.015155218772916257,-0.05455825413586768,-0.04002859185132235,0.013464879622735165,-0.02613028641887727,-0.0370965561070854,-0.0706254775234042,0.0828989823777613,0.21856287425149729,-0.007770881188602807,-0.007733228253373969,-0.007540385016419973,-0.011012020766192046,-0.06842573758521553,-0.08545807165477792,1,0,,-0.07475728007541593,-0.023868529475542966,-0.08351977912124531,0.0038021202269165055,-0.0021005368707416316,-0.002640436550403965,-0.019310143661853463,1,0,,-0.12627993626715006,-0.0006510179170233776,-0.020875427358398424
Baseline,DualTrendBaselineStrategy,NEAR/USDT:USDT,2022-11-18 18:00:00+00:00,2022-11-20 21:30:00+00:00,0.09975799466800546,15.33670352,roi,41.583333333333336,0.01244343891402716,0.1057692307692308,0.1057692307692308,0.0384615384615385,2022-11-20T11:30:00+00:00,0.06165158371040723,1,0.6760563380281701,0.29577464788732283,-0.027906976744186074,-0.028471818710052332,-0.044571428571428595,-0.042930738408700764,-0.036311239193083655,0.012816131237183842,-0.0355371801311718,-0.05039588990619415,-0.14204773880265498,0.06758373205741626,0.18584070796460098,-0.014607170099160904,-0.02929906722916764,-0.014400129901548604,-0.028772814376584546,-0.1407767006855637,-0.34316868456999083,1,0,,-0.418801158610678,-0.07367008464661762,-0.1263326028007874,-0.009724395522701323,-0.009106561163336191,-0.0022894145129570263,-0.024721081216391605,1,0,,-0.12627993626715006,-0.0006510179170233776,-0.020875427358398424
Baseline,DualTrendBaselineStrategy,NEAR/USDT:USDT,2022-12-11 15:00:00+00:00,2022-12-13 13:30:00+00:00,0.00020619167920194,0.0710511,trailing_stop_loss,11.916666666666666,0.007692307692307765,0.07988165680473373,0.07988165680473373,0.002366863905325446,2022-12-12T02:50:00+00:00,0.06982248520710052,0,0.5972222222222225,0.3749999999999996,-0.026977314530962637,-0.02757352941176472,-0.04856115107913672,-0.0609467455621302,-0.06316410861865407,0.01282743721307047,-0.0462560814847931,-0.05788053033986118,-0.06683140270541221,0.0957781978575929,0.17763157894736795,-0.02138930133632977,-0.02382514557533011,-0.0043258812985481855,-0.004897351323765035,-0.05670950945039932,-0.1638905097566511,1,0,-0.0263420530357822,-0.22376649301769602,-0.028626767383304386,-0.024964109108310817,-0.011711780225694635,-0.01427212734051797,0.00011719721543702358,-0.0072683827944513,0,0,-0.003273739500637535,-0.021977231662409058,0.004671078849485033,0.004299413574780253
Baseline,DualTrendBaselineStrategy,BNB/USDT:USDT,2022-12-14 14:00:00+00:00,2022-12-16 09:10:00+00:00,0.057718235090271734,11.98740235,partial_exit,43.083333333333336,0.015674794337804644,0.07062921514859558,0.07062921514859558,0.0495812643592974,2022-12-16T09:00:00+00:00,0.0495812643592974,0,0.8776009791921667,0.1223990208078333,-0.027686604626018463,-0.0370936902485659,-0.041090673673787936,-0.027085506742397847,-0.05434333571187133,0.011434812209236339,-0.03510199178499407,-0.048073586744071584,-0.08622359096941756,0.06175536139793491,0.06430868167202568,-0.006323148020768388,-0.03164771154023627,-0.007337112652909454,-0.014489742183210357,-0.08631158881214018,-0.12049571236203704,1,0,-0.014487824566343701,-0.1897186442281924,-0.0642626222971645,-0.12525589506406865,-0.022377991721635904,-0.037463471984354624,-0.00023784193691627753,-0.018440529925337734,0,0,-0.0022484871945339944,-0.05299618923799165,0.010147807288712452,-0.04551279646685702
Baseline,DualTrendBaselineStrategy,XRP/USDT:USDT,2023-01-01 00:00:00+00:00,2023-01-02 01:05:00+00:00,0.10011863182688589,34.52367753,roi,25.166666666666668,0.0023605783416937825,0.12422543523163167,0.12422543523163167,0.05281794039539679,2023-01-02T01:05:00+00:00,0.05281794039539679,1,0.2889447236180907,0.7035175879396977,-0.03448275862068961,-0.04018912529550833,-0.04160519327235168,-0.039621525724423456,-0.04132231404958686,0.01268912737508796,-0.03593998438016244,-0.041983281060301914,-0.06199316884613759,0.13208128078817732,0.652680652680652,-0.012738226492361004,-0.02841758899192348,-0.003948505245855753,-0.007584537698554453,-0.05091526426899673,-0.10022096908305622,1,0,-0.011561630091512688,-0.07566989545868874,-0.04175443876015639,0.0242796576901938,-0.0023861027590819095,0.00036857115235866544,-0.00020923817116681823,0.00037000983867074844,0,0,-0.0039030076843438867,-0.027246182227741556,-0.005148550810140651,0.005086342380678399
Baseline,DualTrendBaselineStrategy,DOGE/USDT:USDT,2023-03-01 20:00:00+00:00,2023-03-03 01:30:00+00:00,0.09996622759663354,33.12603586,roi,29.416666666666668,0.014049790485580504,0.11449346807986205,0.11449346807986205,0.03413852600443688,2023-03-03T01:20:00+00:00,0.03413852600443688,1,0.7887323943661977,0.2089201877934277,-0.08352003983071932,-0.0850006213495712,-0.08907583817889397,-0.08180571143534099,-0.0930032027593003,0.013794842940571567,-0.07880032105408796,-0.08737906728756972,-0.10364319858405047,0.12793698220833896,0.18895966029724037,-0.013930274135875997,-0.07292689682959375,-0.005032710796056259,-0.007811038231493138,-0.08478605716673582,-0.11230444204362844,1,0,-0.006706219420550671,-0.08707805748306285,-0.011916388316687176,-0.0429163517363389,-0.05623577159520132,-0.058090950865428814,-0.002292013707670067,-0.05002455194737265,1,0,0.004341536691051486,-0.0009759898821941615,-0.0019025849069984613,-0.03960977108266639
Baseline,DualTrendBaselineStrategy,BNB/USDT:USDT,2023-03-02 03:00:00+00:00,2023-03-10 09:40:00+00:00,0.09999902585756017,34.28931257,roi,105.16666666666667,0.007910968087959285,0.1033118798605524,0.1033118798605524,0.01759855189058729,2023-03-06T12:05:00+00:00,0.050080450522928394,1,0.4624999999999636,0.9749999999999875,0.0025711468019158357,-0.0009476344236980516,-0.004372158097236789,-0.014130848889966519,-0.022962861261756062,0.005372512609470255,-0.006775816083590347,-0.013504347207271672,-0.0365433027949007,0.03105568241700345,0.17647058823529374,-0.002701717319971042,0.0005975815523058259,-0.004127192517780537,-0.00761989381275191,-0.02497639060506962,-0.049831188994136855,1,0,-0.005197467530231239,-0.043960993146274,-0.02985883220171137,-0.012571577660903999,-0.0003527116381447648,-0.0008969170150957551,-0.0023221471207042423,-0.013443077664606284,0,0,0.00010239113872277856,0.0013494219702196997,-0.027166381441774634,-0.010391644031844893
Baseline,DualTrendBaselineStrategy,SOL/USDT:USDT,2023-05-24 04:00:00+00:00,2023-05-25 12:05:00+00:00,0.00029754945622638136,0.07405754,trailing_stop_loss,9.916666666666666,0.0021487772434258465,0.05197994474572794,0.05197994474572794,0.0013813567993451869,2023-05-24T13:50:00+00:00,0.0311572700296735,0,0.36373276776246105,0.6097560975609763,-0.017687284693300498,-0.016878505634745022,-0.01571354971664085,-0.03680362994706332,-0.03651217913157501,0.011190040004486493,-0.0246308008644891,-0.03195847312390698,-0.0525585688403285,0.08453284480502478,0.35603715170278627,-0.0051103415913987815,-0.013392319212297332,-0.005086410760844444,-0.0074408796493498006,-0.048287194942354894,-0.08978063114633228,1,0,-0.009533884890193177,-0.09316766099485074,-0.029669332407258775,-0.027551278804760493,-0.008708305518260517,-0.02929878295103161,-0.0020342036391963942,-0.025464706355777578,1,0,-0.0031618824146982657,-0.04188023754767445,-0.0028860935146721722,-0.021197262575110565
Baseline,DualTrendBaselineStrategy,LINK/USDT:USDT,2023-05-23 19:00:00+00:00,2023-05-28 00:50:00+00:00,0.0013074665167600887,0.48789688,trailing_stop_loss,30.5,0.006785934608266439,0.05151141270820476,0.05151141270820476,0.001696483652066644,2023-05-25T01:25:00+00:00,0.0441085749537322,0,0.18439716312056595,0.6595744680851061,-0.003988513082322842,-0.01327643432906589,-0.012027219496755781,-0.002715654952076596,-0.037168414558914176,0.009519232969497252,-0.012684870221196465,-0.023159789585087354,-0.03859407866158959,0.056062790325164126,0.2657142857142859,-0.003217571103046657,-0.008911278800258104,-0.0036253234439160087,-0.0074936764662949015,-0.033164156369775544,-0.07297558368186241,1,0,-0.00894777792662673,-0.08346072082110245,-0.013783908517511878,-0.021172824741839125,-0.0047977257484298486,-0.03723051287344792,-0.0031552652653569105,-0.02743038702013345,1,0,-0.003580116513212495,-0.035110575122237364,-0.005635331234037033,-0.010560038767255198
