strategy_label,rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5
Baseline,pair_4h_ema50_slope_3 <= -0.005 AND pair_1h_ret_6h <= -0.02,2,28,0.6829268292682927,0.5357142857142857,0.07229965156794421,0.06281252836824992,0.055243053880348544,0.05875001937343897
Baseline,pair_1h_ret_6h <= -0.02 AND pair_1h_range_position_24h <= 0.4,2,28,0.6829268292682927,0.5357142857142857,0.07229965156794421,0.06279068278812597,0.055243053880348544,0.058735100440671394
Baseline,pair_4h_ema50_slope_3 <= -0.005 AND pair_1h_range_position_24h <= 0.3,2,29,0.7073170731707317,0.4827586206896552,0.019343986543313707,0.060801353459910765,0.055243053880348544,0.05763998171554664
Baseline,pair_1h_ret_6h <= -0.02 AND btc_1d_close_vs_ema50 <= -0.01,2,25,0.6097560975609756,0.52,0.05658536585365853,0.06233821696599136,0.055243053880348544,0.05752330302804351
Baseline,pair_1h_ret_6h <= -0.02 AND btc_1d_close_vs_ema50 <= 0.0,2,27,0.6585365853658537,0.5185185185185185,0.055103884372177,0.061424211595818554,0.055243053880348544,0.05752326129480734
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_1h_range_position_24h <= 0.4,2,16,0.3902439024390244,0.5625,0.09908536585365851,0.06886018663072074,0.055243053880348544,0.057360072831500776
Baseline,pair_1h_ret_6h <= -0.01 AND pair_1h_range_position_24h <= 0.3,2,30,0.7317073170731707,0.4666666666666667,0.0032520325203251876,0.05882640467932139,0.055243053880348544,0.05645834488730834
Baseline,pair_4h_ema50_slope_3 <= -0.005 AND btc_1d_close_vs_ema50 <= -0.01,2,30,0.7317073170731707,0.4666666666666667,0.0032520325203251876,0.05874720429010257,0.055243053880348544,0.05640039338300189
Baseline,pair_1h_ret_6h <= -0.01 AND pair_1h_range_position_24h <= 0.2,2,23,0.5609756097560976,0.4782608695652174,0.01484623541887592,0.06138916605507049,0.055243053880348544,0.05638904437235662
Baseline,pair_1h_range_position_24h <= 0.2,1,25,0.6097560975609756,0.48,0.016585365853658496,0.06047642453111656,0.055243053880348544,0.056388063738485705
Baseline,pair_4h_ema50_slope_3 <= -0.0025 AND pair_1h_range_position_24h <= 0.2,2,25,0.6097560975609756,0.48,0.016585365853658496,0.06047642453111656,0.055243053880348544,0.056388063738485705
Baseline,pair_4h_close_vs_ema50 <= -0.02 AND pair_1h_range_position_24h <= 0.2,2,25,0.6097560975609756,0.48,0.016585365853658496,0.06047642453111656,0.055243053880348544,0.056388063738485705
Baseline,pair_4h_close_vs_ema50 <= -0.01 AND pair_1h_range_position_24h <= 0.2,2,25,0.6097560975609756,0.48,0.016585365853658496,0.06047642453111656,0.055243053880348544,0.056388063738485705
Baseline,pair_4h_close_vs_ema50 <= 0.0 AND pair_1h_range_position_24h <= 0.2,2,25,0.6097560975609756,0.48,0.016585365853658496,0.06047642453111656,0.055243053880348544,0.056388063738485705
Baseline,pair_4h_ema50_slope_3 <= -0.005 AND pair_1h_range_position_24h <= 0.2,2,23,0.5609756097560976,0.4782608695652174,0.01484623541887592,0.06137849546700659,0.055243053880348544,0.05638305843271102
Baseline,pair_1h_ret_6h <= -0.02 AND pair_1h_range_position_24h <= 0.2,2,20,0.4878048780487805,0.5,0.036585365853658514,0.06307677023487715,0.055243053880348544,0.056378912309696175
Baseline,adverse_before_5pct <= 0.016 AND pair_1h_range_position_24h <= 0.2,2,21,0.5121951219512195,0.5714285714285714,0.10801393728222991,0.062345207980008366,0.055243053880348544,0.05632315530683355
Baseline,pair_1h_ret_6h <= -0.02 AND pair_1h_range_position_24h <= 0.5,2,30,0.7317073170731707,0.5,0.036585365853658514,0.05863685904706505,0.055243053880348544,0.05631965296126712
Baseline,pair_1h_ret_6h <= -0.02 AND btc_1d_close_vs_ema50 <= -0.02,2,24,0.5853658536585366,0.5,0.036585365853658514,0.06076770588323297,0.055243053880348544,0.05630304734628272
Baseline,pair_1h_ret_6h <= -0.02 AND pair_1h_range_position_24h <= 0.3,2,24,0.5853658536585366,0.5,0.036585365853658514,0.060753620773389604,0.055243053880348544,0.056294802403935376
