trades,profit_pct,profit_factor,max_drawdown_pct,winrate_pct,avg_duration,spr_profit_pct,spr_trades,spr_roi_count,spr_partial_count,variant,strategy,window,file
321,144.67,2.21,7.13,50.16,"1 day, 9:27:00",70.16,193,35,0,baseline,DualTrendRawBreakevenGuardStrategy,3y,backtest-result-2026-07-03_02-36-35.zip
335,155.07,2.22,5.77,52.84,"1 day, 4:08:00",75.49,202,2,64,current,DualTrendRawBreakevenGuardStrongRunnerStructureStrategy,3y,backtest-result-2026-07-03_03-33-47.zip
333,153.01,2.19,5.78,51.95,"1 day, 4:38:00",80.0,202,10,52,v2a,DualTrendRawBreakevenGuardStrongRunnerStructureImpulseV2AStrategy,3y,backtest-result-2026-07-03_04-32-47.zip
333,156.34,2.21,5.78,52.55,"1 day, 4:32:00",83.04,202,8,56,v2b,DualTrendRawBreakevenGuardStrongRunnerStructureImpulseV2BStrategy,3y,backtest-result-2026-07-03_04-39-16.zip
127,41.72,2.36,4.85,53.54,"1 day, 13:20:00",23.92,82,14,0,baseline,DualTrendRawBreakevenGuardStrategy,1y,backtest-result-2026-07-03_02-31-23.zip
135,47.75,2.41,4.84,54.81,"1 day, 7:09:00",27.65,85,0,27,current,DualTrendRawBreakevenGuardStrongRunnerStructureStrategy,1y,backtest-result-2026-07-03_03-28-05.zip
133,43.28,2.29,4.84,53.38,"1 day, 7:38:00",27.23,85,4,21,v2a,DualTrendRawBreakevenGuardStrongRunnerStructureImpulseV2AStrategy,1y,backtest-result-2026-07-03_04-29-33.zip
133,43.3,2.29,4.84,54.14,"1 day, 7:30:00",27.36,85,2,24,v2b,DualTrendRawBreakevenGuardStrongRunnerStructureImpulseV2BStrategy,1y,backtest-result-2026-07-03_04-36-14.zip
10,1.2,1.53,2.19,60.0,14:16:00,1.96,9,2,0,baseline,DualTrendRawBreakevenGuardStrategy,pressure,backtest-result-2026-07-03_02-28-35.zip
20,1.91,1.38,3.3,35.0,"1 day, 6:47:00",3.61,11,0,3,current,DualTrendRawBreakevenGuardStrongRunnerStructureStrategy,pressure,backtest-result-2026-07-03_03-26-10.zip
20,1.91,1.38,3.3,35.0,"1 day, 6:47:00",3.61,11,0,3,v2a,DualTrendRawBreakevenGuardStrongRunnerStructureImpulseV2AStrategy,pressure,backtest-result-2026-07-03_04-27-28.zip
20,1.91,1.38,3.3,35.0,"1 day, 6:47:00",3.61,11,0,3,v2b,DualTrendRawBreakevenGuardStrongRunnerStructureImpulseV2BStrategy,pressure,backtest-result-2026-07-03_04-34-10.zip
