window,pair,open_date,enter_tag,profit_ratio,profit_abs,exit_reason,month,year
3y,ZEC/USDT:USDT,2023-08-17 15:00:00+00:00,short_pullback_restart,0.00022277056131061784,0.06616785,trailing_stop_loss,2023-08,2023
3y,ADA/USDT:USDT,2023-08-17 16:30:00+00:00,short_pullback_restart,0.1001782942753428,19.4269845,roi,2023-08,2023
3y,XRP/USDT:USDT,2024-01-25 13:00:00+00:00,short_pullback_restart,-0.017044180112125204,-6.32469792,trailing_stop_loss,2024-01,2024
3y,BTC/USDT:USDT,2024-01-24 21:00:00+00:00,short_pullback_restart,-0.027792764069790032,-7.69017117,stop_loss,2024-01,2024
3y,DOGE/USDT:USDT,2024-09-03 14:00:00+00:00,short_pullback_restart,0.062321304847244414,21.44711145,partial_exit,2024-09,2024
3y,XRP/USDT:USDT,2024-09-05 04:00:00+00:00,short_pullback_restart,0.05393917860896013,22.55433438,partial_exit,2024-09,2024
3y,BTC/USDT:USDT,2025-09-25 18:00:00+00:00,short_compression_breakdown,-0.013090221309412174,-4.27027248,stale_loss_72h,2025-09,2025
3y,XRP/USDT:USDT,2025-09-25 18:00:00+00:00,short_compression_breakdown,-0.03132180688283109,-8.78806094,stale_loss_72h,2025-09,2025
3y,SUI/USDT:USDT,2025-09-30 16:00:00+00:00,short_compression_breakdown,-0.03880209879658117,-14.13243988,stop_loss,2025-09,2025
3y,SOL/USDT:USDT,2026-01-29 15:15:00+00:00,short_compression_breakdown,-0.00032641366278256294,-0.14471759,trailing_stop_loss,2026-01,2026
3y,BTC/USDT:USDT,2026-01-29 15:05:00+00:00,short_compression_breakdown,0.10000037811223837,77.81316832,roi,2026-01,2026
3y,XRP/USDT:USDT,2026-04-02 02:00:00+00:00,short_pullback_restart,-0.0003503246938004716,-0.20227595,trailing_stop_loss,2026-04,2026
3y,XRP/USDT:USDT,2026-04-05 06:00:00+00:00,short_pullback_restart,-0.019159940941228245,-16.77447565,stop_loss,2026-04,2026
3y,BNB/USDT:USDT,2026-06-05 06:25:00+00:00,short_pullback_restart,5.435568686228506e-05,0.02209861,trailing_stop_loss,2026-06,2026
1y,BTC/USDT:USDT,2025-09-25 18:00:00+00:00,short_compression_breakdown,-0.013090221309412174,-2.84684832,stale_loss_72h,2025-09,2025
1y,XRP/USDT:USDT,2025-09-25 18:00:00+00:00,short_compression_breakdown,-0.03132180690571341,-5.09639012,stale_loss_72h,2025-09,2025
1y,SUI/USDT:USDT,2025-09-30 16:00:00+00:00,short_compression_breakdown,-0.03880209878934725,-8.19485229,stop_loss,2025-09,2025
1y,SOL/USDT:USDT,2026-01-29 15:15:00+00:00,short_compression_breakdown,-0.0003264136610236699,-0.08368285,trailing_stop_loss,2026-01,2026
1y,BTC/USDT:USDT,2026-01-29 15:05:00+00:00,short_compression_breakdown,0.10000037812251945,43.22953796,roi,2026-01,2026
1y,XRP/USDT:USDT,2026-04-02 02:00:00+00:00,short_pullback_restart,-0.0003503246933810718,-0.11708022,trailing_stop_loss,2026-04,2026
1y,XRP/USDT:USDT,2026-04-05 06:00:00+00:00,short_pullback_restart,-0.01915994093329722,-9.70773928,stop_loss,2026-04,2026
1y,BNB/USDT:USDT,2026-06-05 06:25:00+00:00,short_pullback_restart,5.4355690461828544e-05,0.01276117,trailing_stop_loss,2026-06,2026
