window,pair,open_date,baseline_exit_reason,candidate_exit_reason,baseline_profit_ratio,candidate_profit_ratio,profit_delta_ratio,baseline_mfe_ratio,candidate_mfe_ratio,baseline_duration_h,candidate_duration_h,baseline_adverse_ratio,candidate_adverse_ratio,group
3y,ADA/USDT:USDT,2023-08-15 19:00:00+00:00,roi,partial_exit,0.0999390677055922,0.05142150034086832,-0.04851756736472388,0.23803363518758092,0.057848194546794574,50.666666666666664,18.666666666666668,0.0,0.0,missed_runner
3y,ADA/USDT:USDT,2024-01-18 11:00:00+00:00,trailing_stop_loss,partial_exit,0.0006514049497732282,0.05003367226513217,0.04938226731535894,0.09532908704883236,0.05565786781256388,44.333333333333336,16.5,0.014731537119596627,0.014731537119596627,rescued_trade
3y,ADA/USDT:USDT,2024-07-07 14:00:00+00:00,trailing_stop_loss,partial_exit,0.0001916411291960772,0.050321978673031835,0.05013033754383576,0.08040048543689338,0.058246656760772675,18.25,10.833333333333334,0.01825329963493383,0.01825329963493383,rescued_trade
3y,ADA/USDT:USDT,2024-08-30 12:00:00+00:00,roi,partial_exit,0.100124491791728,0.050390696825563026,-0.04973379496616497,0.11566571337782028,0.0546710723941124,108.91666666666667,58.333333333333336,0.009683850754770518,0.009683850754770518,missed_runner
3y,ADA/USDT:USDT,2025-11-02 15:00:00+00:00,roi,partial_exit,0.10003342899893136,0.05363827409278373,-0.04639515490614763,0.1437833714721588,0.05971731448763262,24.5,24.416666666666668,0.020340113371123625,0.020340113371123625,missed_runner
3y,ADA/USDT:USDT,2026-01-29 03:00:00+00:00,roi,partial_exit,0.09989936722754521,0.052956673650477654,-0.046942693577067554,0.11521323997453847,0.05989110707803991,49.666666666666664,12.25,0.00742009132420085,0.00742009132420085,missed_runner
3y,ADA/USDT:USDT,2026-05-31 15:00:00+00:00,roi,partial_exit,0.09994425666849761,0.052527895909717695,-0.04741636075877992,0.11705685618729089,0.056484410302756416,56.416666666666664,47.166666666666664,0.01582549187339599,0.01582549187339599,missed_runner
3y,BNB/USDT:USDT,2024-08-03 16:00:00+00:00,roi,partial_exit,0.0999930482952648,0.05460332346009517,-0.04538972483516963,0.1274125548187539,0.061285947907941285,32.916666666666664,23.166666666666668,0.003833505590529196,0.003833505590529196,missed_runner
3y,BNB/USDT:USDT,2024-08-31 17:00:00+00:00,trailing_stop_loss,partial_exit,-3.923184971226506e-05,0.0505119879525153,0.050551219802227564,0.06290611919473799,0.05514553117394483,56.916666666666664,36.583333333333336,0.00285039192889025,0.00285039192889025,rescued_trade
3y,BNB/USDT:USDT,2025-02-27 15:00:00+00:00,trailing_stop_loss,partial_exit,-0.0003202176453068244,0.05466254489314938,0.05498276253845621,0.07734648652512699,0.05997573541047596,48.583333333333336,13.083333333333334,0.01073253267865426,0.01073253267865426,rescued_trade
