scenario,pair,open_date,close_date,year,exit_reason,profit_abs,profit_ratio,order_count,source_zip
baseline,BTC/USDT:USDT,2023-12-16 16:00:00+00:00,2023-12-16 20:00:00+00:00,2023,structure_exit_long_1d,-2.79415053,-0.007282418909916588,2,corrected_positive13_five_year-2026-07-20_05-54-29.zip
baseline,BNB/USDT:USDT,2023-12-21 09:00:00+00:00,2023-12-24 22:10:00+00:00,2023,trailing_stop_loss,0.99570624,0.003508181971926264,2,corrected_positive13_five_year-2026-07-20_05-54-29.zip
baseline,BNB/USDT:USDT,2024-02-07 17:00:00+00:00,2024-02-14 09:45:00+00:00,2024,roi,44.51143387,0.10005015579089897,2,corrected_positive13_five_year-2026-07-20_05-54-29.zip
baseline,BTC/USDT:USDT,2025-01-06 05:00:00+00:00,2025-01-07 15:00:00+00:00,2025,trailing_stop_loss,-0.23627289,-0.0003960734940607304,2,corrected_positive13_five_year-2026-07-20_05-54-29.zip
baseline,BNB/USDT:USDT,2025-01-17 09:00:00+00:00,2025-01-18 03:50:00+00:00,2025,stop_loss,-13.0576509,-0.021071840954826174,2,corrected_positive13_five_year-2026-07-20_05-54-29.zip
baseline,BNB/USDT:USDT,2025-06-10 21:00:00+00:00,2025-06-12 20:15:00+00:00,2025,stop_loss,-16.17607995,-0.021750813432835817,2,corrected_positive13_five_year-2026-07-20_05-54-29.zip
baseline,BNB/USDT:USDT,2025-08-07 23:00:00+00:00,2025-08-14 09:35:00+00:00,2025,roi,63.01887406,0.10005282804323529,2,corrected_positive13_five_year-2026-07-20_05-54-29.zip
fee1p5x,BTC/USDT:USDT,2023-12-16 16:00:00+00:00,2023-12-16 20:00:00+00:00,2023,structure_exit_long_1d,-2.98539941,-0.007780872534822891,2,fee1p5x-2026-07-27_04-49-43.zip
fee1p5x,BNB/USDT:USDT,2023-12-21 09:00:00+00:00,2023-12-24 22:10:00+00:00,2023,trailing_stop_loss,0.83000686,0.003007925128651156,2,fee1p5x-2026-07-27_04-49-43.zip
fee1p5x,BNB/USDT:USDT,2024-02-07 17:00:00+00:00,2024-02-14 11:00:00+00:00,2024,roi,43.00222015,0.1000854176791064,2,fee1p5x-2026-07-27_04-49-43.zip
fee1p5x,BTC/USDT:USDT,2025-01-06 05:00:00+00:00,2025-01-07 15:00:00+00:00,2025,trailing_stop_loss,-0.53469114,-0.0008963236876779014,2,fee1p5x-2026-07-27_04-49-43.zip
