scenario,year,trades,wins,profit_abs,profit_ratio_sum
baseline,2023,2,1,-1.79844429,-0.003774236937990324
baseline,2024,1,1,44.51143387,0.10005015579089897
baseline,2025,4,1,33.548870320000006,0.056834100161512566
fee1p5x,2023,2,1,-2.1553925499999997,-0.004772947406171735
fee1p5x,2024,1,1,43.00222015,0.1000854176791064
fee1p5x,2025,4,1,30.462968819999997,0.05536429393816435
fee2x,2023,2,1,-2.4912724500000003,-0.005771657864435339
fee2x,2024,1,1,42.39319088,0.10008761641776104
fee2x,2025,4,1,29.0464306,0.05390690323118577
fee2x_slip_heavy,2023,2,1,-3.8031727499999146,-0.009766499709194425
fee2x_slip_heavy,2024,1,1,41.50798328000007,0.0979976978039518
fee2x_slip_heavy,2025,4,1,24.389797600000158,0.0458435854452579
fee2x_slip_light,2023,2,1,-2.8848425399999953,-0.006970110417863113
fee2x_slip_light,2024,1,1,42.12762860000006,0.09946064083361836
fee2x_slip_light,2025,4,1,27.649440700000184,0.05148790789540767
fee2x_slip_medium,2023,2,1,-3.1472225999999273,-0.007769078786814773
fee2x_slip_medium,2024,1,1,41.95058708000007,0.09904265711085651
fee2x_slip_medium,2025,4,1,26.71811410000025,0.049875244338222144
