scenario,strategy,trades,profit_abs,profit_pct,profit_factor,max_drawdown,winrate,reported_or_static,source_zip
baseline,DualTrendPyramidSecondAdd20V1Strategy,477,2617.27398475,2.61727398475,2.404562790906074,0.04798498146682011,0.5157232704402516,freqtrade_reported,corrected_positive13_five_year-2026-07-20_05-54-29.zip
baseline,DualTrendPyramidSecondAdd20LongMicroV1Strategy,481,2773.67985273,2.7736798527300004,2.428967175066414,0.04777790591598423,0.5155925155925156,freqtrade_reported,corrected_positive13_five_year-2026-07-20_05-54-29.zip
fee1p5x,DualTrendPyramidSecondAdd20V1Strategy,473,2329.6331601399997,2.3296331601399998,2.254792160866002,0.06097041465294327,0.321353065539112,freqtrade_reported,fee1p5x-2026-07-27_04-49-43.zip
fee1p5x,DualTrendPyramidSecondAdd20LongMicroV1Strategy,477,2471.51256281,2.47151256281,2.281715284263092,0.06077610944062066,0.3228511530398323,freqtrade_reported,fee1p5x-2026-07-27_04-49-43.zip
fee2x,DualTrendPyramidSecondAdd20V1Strategy,471,2139.1537420900004,2.1391537420900004,2.1180988619423653,0.06274125542481862,0.2823779193205945,freqtrade_reported,fee2x-2026-07-27_04-40-27.zip
fee2x,DualTrendPyramidSecondAdd20LongMicroV1Strategy,475,2256.60347214,2.25660347214,2.13944659319615,0.06258149335591613,0.28421052631578947,freqtrade_reported,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_light,DualTrendPyramidSecondAdd20V1Strategy,471,2022.6923189680135,2.0226923189680135,2.014009095905461,0.09079913354799976,0.2802547770700637,post_trade_slippage_0.0300%_per_side,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_light,DualTrendPyramidSecondAdd20LongMicroV1Strategy,475,2136.718436526014,2.136718436526014,2.035168650758689,0.09079913354799976,0.28210526315789475,post_trade_slippage_0.0300%_per_side,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_medium,DualTrendPyramidSecondAdd20V1Strategy,471,1945.051370220021,1.945051370220021,1.9492063793119867,0.09366587823999942,0.2802547770700637,post_trade_slippage_0.0500%_per_side,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_medium,DualTrendPyramidSecondAdd20LongMicroV1Strategy,475,2056.7950794500216,2.056795079450022,1.9702118086259484,0.09366587823999942,0.28210526315789475,post_trade_slippage_0.0500%_per_side,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_heavy,DualTrendPyramidSecondAdd20V1Strategy,471,1750.9489983500198,1.7509489983500197,1.8010692697551485,0.10316219080803743,0.2760084925690021,post_trade_slippage_0.1000%_per_side,fee2x-2026-07-27_04-40-27.zip
fee2x_slip_heavy,DualTrendPyramidSecondAdd20LongMicroV1Strategy,475,1856.9866867600203,1.8569866867600204,1.8216131450131683,0.10645779446492327,0.27789473684210525,post_trade_slippage_0.1000%_per_side,fee2x-2026-07-27_04-40-27.zip
