pair,side,entry_tag,open_date,close_date,open_rate,close_rate,profit_abs,profit_ratio,exit_reason,trade_duration,is_short,stake_amount,amount,max_rate,min_rate,fee_open,fee_close,initial_stop_loss_abs,stop_loss_abs,funding_fees
SOL/USDT:USDT,short,short_pullback_restart,2025-06-19 15:00:00+00:00,2025-06-19 22:00:00+00:00,143.09,147.37,-7.65298697,-0.03093091650426101,stop_loss,420,True,247.5457,1.73,147.44,142.83,0.0005,0.0005,151.67,147.37,0.0026609303000000007
NEAR/USDT:USDT,short,short_pullback_restart,2025-06-21 14:00:00+00:00,2025-06-22 13:00:00+00:00,2.037,1.831,20.61383132,0.10024518385947033,roi,1380,True,205.737,101.0,2.054,1.824,0.0005,0.0005,2.159,2.108,0.003165319800000001
ETH/USDT:USDT,short,short_pullback_restart,2025-06-22 14:00:00+00:00,2025-06-23 14:00:00+00:00,2198.9,2304.88,-7.56770416,-0.049190113920287916,trailing_stop_loss,1440,True,153.923,0.07,2317.0,2111.0,0.0005,0.0005,2330.83,2304.88,0.00852813563876435
SOL/USDT:USDT,short,short_pullback_restart,2025-06-21 18:00:00+00:00,2025-06-23 22:00:00+00:00,138.58,142.79,-7.59469369,-0.03133205342543032,stop_loss,3120,True,242.515,1.75,146.88,125.83,0.0005,0.0005,146.89,142.79,0.019005059712463825
BNB/USDT:USDT,short,short_pullback_restart,2025-06-22 14:00:00+00:00,2025-06-23 22:00:00+00:00,616.16,636.1,-7.6094681,-0.03339460239078251,stop_loss,1920,True,227.9792,0.37,642.56,600.91,0.0005,0.0005,653.12,636.1,0.0
LINK/USDT:USDT,short,short_compression_breakdown,2025-07-01 19:00:00+00:00,2025-07-02 15:00:00+00:00,12.848,13.278,-7.5593412,-0.03452560030284477,stop_loss,1200,True,219.0584,17.05,13.372,12.716,0.0005,0.0005,13.618,13.278,-0.0051170479945584465
ETH/USDT:USDT,long,long_1d_center_compression,2025-07-10 00:00:00+00:00,2025-07-14 03:00:00+00:00,2767.69,3049.98,34.05993027,0.10000094533236327,roi,5940,False,340.42587,0.123,3051.91,2754.08,0.0005,0.0005,2601.63,2712.35,-0.30395302933423146
BTC/USDT:USDT,long,long_1d_center_compression,2025-07-10 00:00:00+00:00,2025-07-14 05:00:00+00:00,111199.8,122580.2,33.37662783,0.10000002354941873,roi,6060,False,333.5994,0.003,122814.9,110432.2,0.0005,0.0005,104527.9,108975.9,-0.41390216924107537
BNB/USDT:USDT,long,long_1d_center_compression,2025-07-11 00:00:00+00:00,2025-07-15 08:00:00+00:00,686.3,679.17,-3.39457707,-0.011497042210454975,swing_exit_long_1d,6240,False,295.109,0.43,708.0,675.0,0.0005,0.0005,645.13,672.58,-0.03510101696
ETH/USDT:USDT,long,long_1d_center_compression,2025-08-08 00:00:00+00:00,2025-08-09 22:00:00+00:00,3908.4,4305.73,35.97485195,0.09999886952862781,roi,2760,False,359.5728,0.092,4325.24,3876.7,0.0005,0.0005,3673.9,3830.24,-0.20165806561553293
BNB/USDT:USDT,long,long_1d_center_compression,2025-08-14 00:00:00+00:00,2025-08-14 13:00:00+00:00,848.29,831.34,-7.90947695,-0.02118037513946787,stop_loss,780,False,373.2476,0.44,870.15,821.0,0.0005,0.0005,797.4,831.34,-0.0819583543091519
BTC/USDT:USDT,long,long_1d_center_compression,2025-08-11 00:00:00+00:00,2025-08-15 14:00:00+00:00,119255.3,117723.2,-5.39706489,-0.015077925834035404,swing_exit_long_1d,6600,False,357.7659,0.003,124545.6,117004.0,0.0005,0.0005,112100.0,116870.2,-0.44529714023644906
BTC/USDT:USDT,short,short_pullback_restart,2025-08-21 17:00:00+00:00,2025-08-22 14:00:00+00:00,112350.8,114093.8,-5.5101393,-0.01635619787271634,trailing_stop_loss,1260,True,337.0524,0.003,116099.9,111625.9,0.0005,0.0005,119091.8,114093.8,0.05852760312000001
XRP/USDT:USDT,short,short_compression_breakdown,2025-08-22 04:00:00+00:00,2025-08-22 14:00:00+00:00,2.8314,2.9241,-8.15723606,-0.03371264982198041,stop_loss,600,True,242.0847,85.5,3.0395,2.7812,0.0005,0.0005,3.0012,2.9241,0.014661567560694148
NEAR/USDT:USDT,short,short_pullback_restart,2025-08-21 12:00:00+00:00,2025-08-22 15:00:00+00:00,2.481,2.574,-7.8677194,-0.038226207017253086,stop_loss,1620,True,205.923,83.0,2.613,2.367,0.0005,0.0005,2.629,2.574,0.06106310000000001
