period,entry_tag,pair,trades,profit_abs,profit_pct,pf,winrate_pct,avg_profit_pct
3y,short_pullback_restart,ADA/USDT:USDT,17,200.0951,20.0095,2.99,35.2941,2.0835
3y,short_pullback_restart,BNB/USDT:USDT,11,57.2744,5.7274,1.68,45.4545,1.1670
3y,short_pullback_restart,BTC/USDT:USDT,17,31.6642,3.1664,1.25,29.4118,0.4617
3y,short_pullback_restart,DOGE/USDT:USDT,13,33.4636,3.3464,1.30,30.7692,1.1031
3y,short_pullback_restart,ETH/USDT:USDT,18,154.4979,15.4498,2.46,33.3333,1.9757
3y,short_pullback_restart,LINK/USDT:USDT,12,73.7001,7.3700,1.85,33.3333,1.5070
3y,short_pullback_restart,NEAR/USDT:USDT,15,63.5186,6.3519,1.50,33.3333,0.7409
3y,short_pullback_restart,SOL/USDT:USDT,11,110.5135,11.0513,2.12,36.3636,1.7329
3y,short_pullback_restart,SUI/USDT:USDT,11,73.9526,7.3953,1.88,36.3636,1.7942
3y,short_pullback_restart,TAO/USDT:USDT,8,67.7736,6.7774,2.65,62.5000,2.3688
3y,short_pullback_restart,XRP/USDT:USDT,23,55.3674,5.5367,1.38,21.7391,0.0947
3y,short_pullback_restart,ZEC/USDT:USDT,10,117.0720,11.7072,3.68,50.0000,3.8808
3y,short_compression_breakdown,ADA/USDT:USDT,13,45.6918,4.5692,1.57,30.7692,1.1016
3y,short_compression_breakdown,BNB/USDT:USDT,1,17.7242,1.7724,inf,100.0000,10.0009
3y,short_compression_breakdown,BTC/USDT:USDT,7,94.1740,9.4174,4.86,42.8571,1.6851
3y,short_compression_breakdown,DOGE/USDT:USDT,5,88.1500,8.8150,9.39,60.0000,5.2467
3y,short_compression_breakdown,ETH/USDT:USDT,6,96.5472,9.6547,4.79,50.0000,3.8590
3y,short_compression_breakdown,LINK/USDT:USDT,7,-40.4392,-4.0439,0.38,14.2857,-1.3908
3y,short_compression_breakdown,NEAR/USDT:USDT,6,5.2030,0.5203,1.08,16.6667,-0.6626
3y,short_compression_breakdown,SOL/USDT:USDT,9,-15.3607,-1.5361,0.79,22.2222,0.1243
3y,short_compression_breakdown,SUI/USDT:USDT,7,30.9173,3.0917,1.96,42.8571,1.6884
3y,short_compression_breakdown,TAO/USDT:USDT,4,19.9747,1.9975,1.44,25.0000,0.5132
3y,short_compression_breakdown,XRP/USDT:USDT,10,11.3775,1.1377,1.13,30.0000,0.2514
3y,short_compression_breakdown,ZEC/USDT:USDT,3,105.2821,10.5282,inf,100.0000,10.0042
3y,long_1d_center_compression,ADA/USDT:USDT,2,40.1753,4.0175,6.62,50.0000,3.9563
3y,long_1d_center_compression,BNB/USDT:USDT,7,101.2182,10.1218,3.18,42.8571,3.2119
3y,long_1d_center_compression,BTC/USDT:USDT,13,86.4999,8.6500,1.99,30.7692,1.7871
3y,long_1d_center_compression,DOGE/USDT:USDT,2,34.3382,3.4338,5.81,50.0000,3.9521
3y,long_1d_center_compression,ETH/USDT:USDT,6,94.7134,9.4713,3.16,33.3333,1.9134
3y,long_1d_center_compression,LINK/USDT:USDT,1,-7.1684,-0.7168,0.00,0.0000,-2.1406
3y,long_1d_center_compression,NEAR/USDT:USDT,2,-16.7279,-1.6728,0.00,0.0000,-2.2072
3y,long_1d_center_compression,PAXG/USDT:USDT,5,73.3545,7.3355,2.57,40.0000,1.5537
3y,long_1d_center_compression,SOL/USDT:USDT,5,71.1381,7.1138,3.20,40.0000,2.7249
3y,long_1d_center_compression,SUI/USDT:USDT,1,-8.8656,-0.8866,0.00,0.0000,-2.1463
3y,long_1d_center_compression,XRP/USDT:USDT,3,26.6345,2.6635,2.32,33.3333,1.9021
1y,short_pullback_restart,ADA/USDT:USDT,7,202.3069,20.2307,6.36,57.1429,4.7890
1y,short_pullback_restart,BNB/USDT:USDT,6,13.1552,1.3155,1.24,50.0000,0.3516
1y,short_pullback_restart,BTC/USDT:USDT,6,-1.2667,-0.1267,0.98,50.0000,0.6079
1y,short_pullback_restart,DOGE/USDT:USDT,6,-37.5035,-3.7503,0.50,16.6667,-0.2182
1y,short_pullback_restart,ETH/USDT:USDT,7,27.6476,2.7648,1.40,28.5714,0.9056
1y,short_pullback_restart,LINK/USDT:USDT,3,68.0618,6.8062,3.90,66.6667,5.4315
1y,short_pullback_restart,NEAR/USDT:USDT,7,66.6248,6.6625,1.97,42.8571,2.0145
1y,short_pullback_restart,SOL/USDT:USDT,7,65.9191,6.5919,1.87,28.5714,0.8494
1y,short_pullback_restart,SUI/USDT:USDT,4,-10.9613,-1.0961,0.75,25.0000,0.0131
1y,short_pullback_restart,TAO/USDT:USDT,4,35.5603,3.5560,2.66,75.0000,1.8326
1y,short_pullback_restart,XRP/USDT:USDT,11,94.8102,9.4810,2.31,36.3636,1.2612
1y,short_pullback_restart,ZEC/USDT:USDT,1,-19.3320,-1.9332,0.00,0.0000,-4.2614
1y,short_compression_breakdown,ADA/USDT:USDT,6,-0.7575,-0.0757,0.98,33.3333,0.9609
1y,short_compression_breakdown,BTC/USDT:USDT,2,86.1542,8.6154,111.27,50.0000,4.9520
1y,short_compression_breakdown,ETH/USDT:USDT,2,51.9076,5.1908,4.17,50.0000,2.8690
1y,short_compression_breakdown,LINK/USDT:USDT,2,-37.2959,-3.7296,0.00,0.0000,-3.9711
1y,short_compression_breakdown,NEAR/USDT:USDT,3,32.3365,3.2336,1.92,33.3333,1.5102
1y,short_compression_breakdown,SOL/USDT:USDT,2,-42.0452,-4.2045,0.00,0.0000,-3.6500
1y,short_compression_breakdown,SUI/USDT:USDT,2,-16.7227,-1.6723,0.09,50.0000,-1.2010
1y,short_compression_breakdown,TAO/USDT:USDT,4,19.9747,1.9975,1.44,25.0000,0.5132
1y,short_compression_breakdown,XRP/USDT:USDT,4,2.2773,0.2277,1.04,25.0000,0.0647
1y,short_compression_breakdown,ZEC/USDT:USDT,1,52.3429,5.2343,inf,100.0000,10.0003
1y,long_1d_center_compression,BNB/USDT:USDT,3,49.7678,4.9768,3.23,33.3333,2.2442
1y,long_1d_center_compression,BTC/USDT:USDT,3,36.7390,3.6739,2.22,33.3333,2.1380
1y,long_1d_center_compression,ETH/USDT:USDT,3,123.5316,12.3532,9.21,66.6667,5.9576
1y,long_1d_center_compression,PAXG/USDT:USDT,4,87.0336,8.7034,3.63,50.0000,2.4594
1y,long_1d_center_compression,SOL/USDT:USDT,1,70.7877,7.0788,inf,100.0000,9.9982
pressure,short_pullback_restart,BNB/USDT:USDT,2,-17.0805,-1.7080,0.24,50.0000,-1.0841
pressure,short_pullback_restart,NEAR/USDT:USDT,1,-19.8261,-1.9826,0.00,0.0000,-4.0951
pressure,short_pullback_restart,SUI/USDT:USDT,1,-22.1704,-2.2170,0.00,0.0000,-4.0449
pressure,short_pullback_restart,XRP/USDT:USDT,4,0.2553,0.0255,1.01,25.0000,-0.0240
pressure,short_compression_breakdown,ADA/USDT:USDT,2,-23.4605,-2.3460,0.00,0.0000,-1.2780
pressure,short_compression_breakdown,BTC/USDT:USDT,1,-0.7813,-0.0781,0.00,0.0000,-0.0960
pressure,short_compression_breakdown,SOL/USDT:USDT,2,-42.0452,-4.2045,0.00,0.0000,-3.6500
pressure,short_compression_breakdown,TAO/USDT:USDT,1,-15.4298,-1.5430,0.00,0.0000,-1.9684
pressure,short_compression_breakdown,XRP/USDT:USDT,1,-21.8116,-2.1812,0.00,0.0000,-3.3683
pressure,short_compression_breakdown,ZEC/USDT:USDT,1,52.3429,5.2343,inf,100.0000,10.0003
pressure,long_1d_center_compression,BTC/USDT:USDT,1,-19.2202,-1.9220,0.00,0.0000,-2.0782
strong,short_pullback_restart,ADA/USDT:USDT,3,35.5628,3.5563,2.88,33.3333,2.1310
strong,short_pullback_restart,BNB/USDT:USDT,2,63.2238,6.3224,inf,100.0000,5.3162
strong,short_pullback_restart,BTC/USDT:USDT,1,53.4943,5.3494,inf,100.0000,10.0001
strong,short_pullback_restart,DOGE/USDT:USDT,1,-3.7330,-0.3733,0.00,0.0000,-0.7110
strong,short_pullback_restart,ETH/USDT:USDT,2,-29.9669,-2.9967,0.00,0.0000,-2.1167
strong,short_pullback_restart,LINK/USDT:USDT,1,44.2622,4.4262,inf,100.0000,9.9959
strong,short_pullback_restart,NEAR/USDT:USDT,2,94.6359,9.4636,inf,100.0000,9.9993
strong,short_pullback_restart,SOL/USDT:USDT,1,46.8402,4.6840,inf,100.0000,10.0002
strong,short_pullback_restart,TAO/USDT:USDT,2,28.3693,2.8369,2.32,50.0000,2.8248
strong,short_pullback_restart,XRP/USDT:USDT,2,1.3473,0.1347,1.27,50.0000,0.1345
strong,short_pullback_restart,ZEC/USDT:USDT,1,-19.3320,-1.9332,0.00,0.0000,-4.2614
strong,short_compression_breakdown,ADA/USDT:USDT,1,-21.2548,-2.1255,0.00,0.0000,-2.6494
strong,short_compression_breakdown,BTC/USDT:USDT,1,86.9355,8.6936,inf,100.0000,10.0000
strong,short_compression_breakdown,LINK/USDT:USDT,1,-22.3811,-2.2381,0.00,0.0000,-4.4897
strong,short_compression_breakdown,NEAR/USDT:USDT,1,-18.6187,-1.8619,0.00,0.0000,-2.2745
strong,short_compression_breakdown,TAO/USDT:USDT,1,-15.0108,-1.5011,0.00,0.0000,-2.8906
strong,long_1d_center_compression,PAXG/USDT:USDT,1,84.7870,8.4787,inf,100.0000,10.0000
repair,short_pullback_restart,ADA/USDT:USDT,1,95.2662,9.5266,inf,100.0000,9.9944
repair,short_pullback_restart,BTC/USDT:USDT,2,-45.9455,-4.5946,0.00,0.0000,-2.6016
repair,short_pullback_restart,DOGE/USDT:USDT,2,-36.0782,-3.6078,0.00,0.0000,-2.5044
repair,short_pullback_restart,ETH/USDT:USDT,2,47.7374,4.7737,8.11,50.0000,4.5055
repair,short_pullback_restart,LINK/USDT:USDT,2,23.7996,2.3800,2.01,50.0000,3.1493
repair,short_pullback_restart,SOL/USDT:USDT,1,95.2829,9.5283,inf,100.0000,9.9975
repair,short_pullback_restart,XRP/USDT:USDT,1,54.5631,5.4563,inf,100.0000,9.9994
repair,short_compression_breakdown,ADA/USDT:USDT,1,6.0875,0.6088,inf,100.0000,1.1459
