period,model,pair,side,entry_tag,open_date,close_date,open_rate,close_rate,profit_abs,profit_ratio,duration_h,exit_reason,activated,activation_date,original_close_date,original_profit_abs,original_profit_ratio,mae_pct,mfe_pct,stake_amount
3y,baseline,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,A_giveback50_floor1,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-07-30T20:00:00+00:00,0.6172,0.6036499999999999,5.355472480000025,0.02095398574206102,0.0,counterfactual_A_giveback50_floor1,True,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,0.08101101749838885,4.390797148412187,255.58252
3y,B_giveback60_floor1.5,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,C_giveback70_floor2,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,D_atr1h_1.5,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,D_atr1h_2.0,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,D_atr1h_2.5,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,D_atr1h_3.0,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,D_atr4h_1.5,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,D_atr4h_2.0,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,D_atr4h_2.5,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,D_atr4h_3.0,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,E_min24h_profit_protect,SUI/USDT:USDT,short,short_pullback_restart,2023-07-30T20:00:00+00:00,2023-08-01T00:00:00+00:00,0.6172,0.6348,-7.61347307,-0.0298036098511566,28.0,trailing_stop_loss,False,,2023-08-01T00:00:00+00:00,-7.61347307,-0.0298036098511566,3.191834089436172,4.390797148412187,255.58252
3y,baseline,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,A_giveback50_floor1,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T02:00:00+00:00,1.361,1.339,3.3641570000000027,0.01516458486407055,6.0,counterfactual_A_giveback50_floor1,True,2023-08-01T02:00:00+00:00,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,1.5429831006612718,3.23291697281411,221.843
3y,B_giveback60_floor1.5,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,C_giveback70_floor2,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,D_atr1h_1.5,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,D_atr1h_2.0,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,D_atr1h_2.5,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,D_atr1h_3.0,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,D_atr4h_1.5,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,D_atr4h_2.0,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,D_atr4h_2.5,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,D_atr4h_3.0,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,E_min24h_profit_protect,NEAR/USDT:USDT,short,short_compression_breakdown,2023-07-31T20:00:00+00:00,2023-08-01T19:00:00+00:00,1.361,1.406,-7.4935012,-0.033795295884533005,23.0,stop_loss,False,,2023-08-01T19:00:00+00:00,-7.4935012,-0.033795295884533005,3.4533431300514277,3.23291697281411,221.843
3y,baseline,ZEC/USDT:USDT,short,short_pullback_restart,2023-07-30T07:00:00+00:00,2023-08-01T23:00:00+00:00,30.04,30.51,-5.49773801,-0.01587527898795786,64.0,stop_loss,False,,2023-08-01T23:00:00+00:00,-5.49773801,-0.01587527898795786,1.6644474034620507,4.760319573901464,346.48136
3y,A_giveback50_floor1,ZEC/USDT:USDT,short,short_pullback_restart,2023-07-30T07:00:00+00:00,2023-07-30T19:00:00+00:00,30.04,29.580000000000002,4.959158639999969,0.014312916111850777,12.0,counterfactual_A_giveback50_floor1,True,2023-07-30T19:00:00+00:00,2023-08-01T23:00:00+00:00,-5.49773801,-0.01587527898795786,0.7989347536617909,3.0625832223701672,346.48136
3y,B_giveback60_floor1.5,ZEC/USDT:USDT,short,short_pullback_restart,2023-07-30T07:00:00+00:00,2023-08-01T23:00:00+00:00,30.04,30.51,-5.49773801,-0.01587527898795786,64.0,stop_loss,False,,2023-08-01T23:00:00+00:00,-5.49773801,-0.01587527898795786,1.6644474034620507,4.760319573901464,346.48136
3y,C_giveback70_floor2,ZEC/USDT:USDT,short,short_pullback_restart,2023-07-30T07:00:00+00:00,2023-08-01T23:00:00+00:00,30.04,30.51,-5.49773801,-0.01587527898795786,64.0,stop_loss,False,,2023-08-01T23:00:00+00:00,-5.49773801,-0.01587527898795786,1.6644474034620507,4.760319573901464,346.48136
