pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,max_open_trades_config
NEAR/USDT:USDT,2025-08-29 08:00:00+00:00,2025-09-01 09:00:00+00:00,short,short_pullback_restart,-0.24372823,-0.0015634627300314086,4380,2.437,2.439,True,155.968,4
LINK/USDT:USDT,2025-09-24 04:00:00+00:00,2025-09-28 22:00:00+00:00,short,short_pullback_restart,-0.12736763,-0.0005996000027141762,6840,21.274,21.292,True,212.52726,4
SOL/USDT:USDT,2025-11-06 13:00:00+00:00,2025-11-07 19:00:00+00:00,short,short_pullback_restart,-8.55440527,-0.038017494343389614,1800,157.43,163.263,True,225.1249,4
XRP/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-21 07:00:00+00:00,short,short_pullback_restart,24.93920805,0.09999128348022635,900,2.0847,1.8744,True,249.53859,4
NEAR/USDT:USDT,2025-12-15 15:00:00+00:00,2025-12-18 17:00:00+00:00,short,short_pullback_restart,-0.98482359,-0.007242203334931218,4440,1.582,1.592,True,136.052,4
SUI/USDT:USDT,2025-12-21 02:00:00+00:00,2025-12-21 09:00:00+00:00,short,short_pullback_restart,-1.22406924,-0.019307486328170642,420,1.4416,1.4681,True,63.4304,4
TAO/USDT:USDT,2025-12-21 13:00:00+00:00,2025-12-22 12:00:00+00:00,short,short_compression_breakdown,-2.08918239,-0.03362893819982611,1380,220.41,227.58,True,62.15562,4
ADA/USDT:USDT,2026-01-22 15:00:00+00:00,2026-01-23 17:00:00+00:00,short,short_pullback_restart,-4.27117279,-0.029336495683751455,1560,0.3579,0.368,True,145.6653,4
TAO/USDT:USDT,2026-01-25 05:00:00+00:00,2026-01-28 06:00:00+00:00,short,short_pullback_restart,-1.22723182,-0.007382766379512942,4380,235.57,237.12,True,166.31242,4
XRP/USDT:USDT,2026-01-29 03:00:00+00:00,2026-01-31 08:00:00+00:00,short,short_pullback_restart,28.42677767,0.10000445914600645,3180,1.8735,1.683,True,284.3973,4
BNB/USDT:USDT,2026-02-03 18:00:00+00:00,2026-02-05 11:00:00+00:00,short,short_pullback_restart,23.27994445,0.10000420875675889,2460,751.31,675.5,True,232.9061,4
SOL/USDT:USDT,2026-02-10 19:00:00+00:00,2026-02-13 18:00:00+00:00,short,short_compression_breakdown,-9.29433398,-0.03214459136382933,4260,82.89,85.42,True,289.2861,4
SUI/USDT:USDT,2026-02-22 13:00:00+00:00,2026-02-25 15:00:00+00:00,short,short_compression_breakdown,-4.35398889,-0.014913684278610166,4440,0.9261,0.9386,True,292.09194,4
LINK/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 11:00:00+00:00,short,short_pullback_restart,-11.50461365,-0.03826380708032342,2100,8.819,9.149,True,300.81609,4
ETH/USDT:USDT,2026-03-27 11:00:00+00:00,2026-03-30 11:00:00+00:00,short,short_pullback_restart,-6.3365083,-0.04685682737947602,4320,1989.69,2080.02,True,135.29892,4
BNB/USDT:USDT,2026-06-05 06:00:00+00:00,2026-06-08 07:00:00+00:00,short,short_pullback_restart,-4.76299289,-0.020371120933744116,4380,584.82,596.2,True,233.928,4
SOL/USDT:USDT,2026-06-10 09:00:00+00:00,2026-06-11 11:00:00+00:00,short,short_compression_breakdown,-11.66975298,-0.035588414447609476,1560,63.58,65.77,True,328.0728,4
