pair,start,end,candles_1h
ETH/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
ZEC/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
BTC/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
ADA/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
BNB/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
SOL/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
DOGE/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
XRP/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
TAO/USDT:USDT,2024-04-11T14:00:00+00:00,2026-06-18T23:00:00+00:00,19162
SUI/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
PAXG/USDT:USDT,2025-03-27T10:00:00+00:00,2026-06-18T23:00:00+00:00,10766
NEAR/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
LINK/USDT:USDT,2023-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,26328
