pair,variant,side,extreme_candles,extreme_episodes,all_market_confirmations,confirmations_within_72h_of_extreme,auditable_signals
ETH/USDT:USDT,A,long,2,2,0,0,0
ETH/USDT:USDT,A,short,3,2,0,0,0
ETH/USDT:USDT,B,long,0,0,0,0,0
ETH/USDT:USDT,B,short,3,2,0,0,0
ETH/USDT:USDT,C,long,0,0,0,0,0
ETH/USDT:USDT,C,short,0,0,0,0,0
ZEC/USDT:USDT,A,long,0,0,0,0,0
ZEC/USDT:USDT,A,short,1,1,0,0,0
ZEC/USDT:USDT,B,long,0,0,0,0,0
ZEC/USDT:USDT,B,short,1,1,0,0,0
ZEC/USDT:USDT,C,long,0,0,0,0,0
ZEC/USDT:USDT,C,short,0,0,0,0,0
BTC/USDT:USDT,A,long,1,1,0,0,0
BTC/USDT:USDT,A,short,1,1,0,0,0
BTC/USDT:USDT,B,long,0,0,0,0,0
BTC/USDT:USDT,B,short,1,1,0,0,0
BTC/USDT:USDT,C,long,0,0,0,0,0
BTC/USDT:USDT,C,short,0,0,0,0,0
ADA/USDT:USDT,A,long,0,0,0,0,0
ADA/USDT:USDT,A,short,5,2,1,0,0
ADA/USDT:USDT,B,long,0,0,0,0,0
ADA/USDT:USDT,B,short,5,2,1,0,0
ADA/USDT:USDT,C,long,0,0,0,0,0
ADA/USDT:USDT,C,short,0,0,1,0,0
BNB/USDT:USDT,A,long,0,0,0,0,0
BNB/USDT:USDT,A,short,3,2,0,0,0
BNB/USDT:USDT,B,long,0,0,0,0,0
BNB/USDT:USDT,B,short,1,1,0,0,0
BNB/USDT:USDT,C,long,0,0,0,0,0
BNB/USDT:USDT,C,short,0,0,0,0,0
SOL/USDT:USDT,A,long,0,0,0,0,0
SOL/USDT:USDT,A,short,0,0,0,0,0
SOL/USDT:USDT,B,long,0,0,0,0,0
SOL/USDT:USDT,B,short,0,0,0,0,0
SOL/USDT:USDT,C,long,0,0,0,0,0
SOL/USDT:USDT,C,short,0,0,0,0,0
DOGE/USDT:USDT,A,long,0,0,0,0,0
DOGE/USDT:USDT,A,short,0,0,0,0,0
DOGE/USDT:USDT,B,long,0,0,0,0,0
DOGE/USDT:USDT,B,short,0,0,0,0,0
DOGE/USDT:USDT,C,long,0,0,0,0,0
DOGE/USDT:USDT,C,short,0,0,0,0,0
XRP/USDT:USDT,A,long,1,1,0,0,0
XRP/USDT:USDT,A,short,6,2,0,0,0
XRP/USDT:USDT,B,long,1,1,0,0,0
XRP/USDT:USDT,B,short,0,0,0,0,0
XRP/USDT:USDT,C,long,0,0,0,0,0
XRP/USDT:USDT,C,short,0,0,0,0,0
TAO/USDT:USDT,A,long,0,0,0,0,0
TAO/USDT:USDT,A,short,0,0,0,0,0
TAO/USDT:USDT,B,long,0,0,0,0,0
TAO/USDT:USDT,B,short,0,0,0,0,0
TAO/USDT:USDT,C,long,0,0,0,0,0
TAO/USDT:USDT,C,short,0,0,0,0,0
SUI/USDT:USDT,A,long,0,0,0,0,0
SUI/USDT:USDT,A,short,1,1,0,0,0
SUI/USDT:USDT,B,long,0,0,0,0,0
SUI/USDT:USDT,B,short,0,0,0,0,0
SUI/USDT:USDT,C,long,0,0,0,0,0
SUI/USDT:USDT,C,short,0,0,0,0,0
PAXG/USDT:USDT,A,long,1,1,0,0,0
PAXG/USDT:USDT,A,short,0,0,3,0,0
PAXG/USDT:USDT,B,long,0,0,0,0,0
PAXG/USDT:USDT,B,short,0,0,3,0,0
PAXG/USDT:USDT,C,long,0,0,0,0,0
PAXG/USDT:USDT,C,short,0,0,3,0,0
NEAR/USDT:USDT,A,long,0,0,0,0,0
NEAR/USDT:USDT,A,short,0,0,0,0,0
NEAR/USDT:USDT,B,long,0,0,0,0,0
NEAR/USDT:USDT,B,short,0,0,0,0,0
NEAR/USDT:USDT,C,long,0,0,0,0,0
NEAR/USDT:USDT,C,short,0,0,0,0,0
LINK/USDT:USDT,A,long,1,1,0,0,0
LINK/USDT:USDT,A,short,2,1,0,0,0
LINK/USDT:USDT,B,long,0,0,0,0,0
LINK/USDT:USDT,B,short,0,0,0,0,0
LINK/USDT:USDT,C,long,0,0,0,0,0
LINK/USDT:USDT,C,short,0,0,0,0,0
