sample,timerange,scenario,trades,profit_abs,profit_pct,profit_factor,maxdd_pct,winrate_pct,avg_profit_pct,source_zip
3y,2023-06-18 -> 2026-06-18,baseline,291,1993.4454,199.3445,2.0048,7.6582,35.0515,1.5280,backtest-result-2026-06-19_03-08-28.zip
3y,2023-06-18 -> 2026-06-18,fee2x,291,1812.4721,181.2472,1.9083,8.2315,34.7079,1.4593,backtest-result-2026-06-19_03-10-59.zip
3y,2023-06-18 -> 2026-06-18,fee2x + light slippage,291,1736.3557,173.6356,1.8487,9.6139,34.3643,1.3987,backtest-result-2026-06-19_03-10-59.zip
3y,2023-06-18 -> 2026-06-18,fee2x + medium slippage,291,1685.6114,168.5611,1.8105,9.8204,34.3643,1.3589,backtest-result-2026-06-19_03-10-59.zip
3y,2023-06-18 -> 2026-06-18,fee2x + heavy slippage,291,1558.7508,155.8751,1.7203,10.8895,34.3643,1.2594,backtest-result-2026-06-19_03-10-59.zip
1y,2025-06-18 -> 2026-06-18,baseline,111,512.3353,51.2335,1.9995,7.6518,39.6396,1.5235,backtest-result-2026-06-19_03-09-26.zip
1y,2025-06-18 -> 2026-06-18,fee2x,111,482.2661,48.2266,1.9103,8.2487,38.7387,1.4525,backtest-result-2026-06-19_03-11-58.zip
1y,2025-06-18 -> 2026-06-18,fee2x + light slippage,111,461.5392,46.1539,1.8500,8.7083,38.7387,1.3922,backtest-result-2026-06-19_03-11-58.zip
1y,2025-06-18 -> 2026-06-18,fee2x + medium slippage,111,447.7213,44.7721,1.8114,9.0192,38.7387,1.3523,backtest-result-2026-06-19_03-11-58.zip
1y,2025-06-18 -> 2026-06-18,fee2x + heavy slippage,111,413.1766,41.3177,1.7200,9.8126,38.7387,1.2527,backtest-result-2026-06-19_03-11-58.zip
