pair,entry_tag,matrix,quick_reverse_1h_5h,false_breakdown,range_market,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate,avg_profit,avg_duration,avg_MAE,avg_MFE
ADA/USDT:USDT,long_1d_center_compression,quick_reverse_3y,False,,,1,47.3261,4.7326,inf,0.0000,100.0000,10.0002,3.0000,1.5537,10.4187
ADA/USDT:USDT,long_1d_center_compression,quick_reverse_3y,True,,,1,-7.1508,-0.7151,0.0000,0.7151,0.0000,-2.0875,1.0000,2.8457,1.1754
ADA/USDT:USDT,short_compression_breakdown,quick_reverse_3y,False,,,9,67.6330,6.7633,2.1596,4.0420,44.4444,2.3762,57.4444,2.0853,6.4825
ADA/USDT:USDT,short_compression_breakdown,quick_reverse_3y,True,,,4,-21.9412,-2.1941,0.0000,2.1941,0.0000,-1.7663,59.5000,3.0602,3.6457
ADA/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,9,259.5830,25.9583,7.3513,3.2517,66.6667,5.8413,50.4444,1.7821,9.0774
ADA/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,8,-59.4879,-5.9488,0.0000,5.9488,0.0000,-2.1439,26.0000,2.7408,3.0685
BNB/USDT:USDT,long_1d_center_compression,quick_reverse_3y,False,,,7,101.2182,10.1218,3.1837,4.3096,42.8571,3.2119,61.5714,1.5731,6.7267
BNB/USDT:USDT,short_compression_breakdown,quick_reverse_3y,False,,,1,17.7242,1.7724,inf,0.0000,100.0000,10.0009,24.0000,1.1967,13.3831
BNB/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,6,111.8031,11.1803,5.5879,1.4306,66.6667,3.7683,60.5000,2.1465,7.2706
BNB/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,5,-54.5287,-5.4529,0.0901,5.9931,20.0000,-1.9547,48.6000,3.0578,3.2616
BTC/USDT:USDT,long_1d_center_compression,quick_reverse_3y,False,,,11,107.6513,10.7651,2.6348,2.6382,36.3636,2.5034,96.9091,1.4847,5.8325
BTC/USDT:USDT,long_1d_center_compression,quick_reverse_3y,True,,,2,-21.1514,-2.1151,0.0000,2.1151,0.0000,-2.1530,48.5000,2.2942,1.3756
BTC/USDT:USDT,short_compression_breakdown,quick_reverse_3y,False,,,4,117.7653,11.7765,151.7286,0.0699,75.0000,5.0070,91.5000,0.5602,9.1447
BTC/USDT:USDT,short_compression_breakdown,quick_reverse_3y,True,,,3,-23.5912,-2.3591,0.0000,2.3591,0.0000,-2.7441,10.0000,3.2633,0.8348
BTC/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,11,96.5425,9.6543,2.5434,3.4667,45.4545,1.7043,65.3636,1.7490,6.1662
BTC/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,6,-64.8783,-6.4878,0.0000,6.4878,0.0000,-1.8165,14.3333,2.9022,0.5868
DOGE/USDT:USDT,long_1d_center_compression,quick_reverse_3y,False,,,1,41.4745,4.1475,inf,0.0000,100.0000,10.0009,16.0000,0.5762,11.3562
DOGE/USDT:USDT,long_1d_center_compression,quick_reverse_3y,True,,,1,-7.1363,-0.7136,0.0000,0.7136,0.0000,-2.0967,0.0000,2.7999,0.1439
DOGE/USDT:USDT,short_compression_breakdown,quick_reverse_3y,False,,,2,59.2096,5.9210,inf,0.0000,100.0000,10.0007,16.5000,0.6461,11.3802
DOGE/USDT:USDT,short_compression_breakdown,quick_reverse_3y,True,,,3,28.9404,2.8940,3.7540,1.0509,33.3333,2.0774,66.3333,2.4888,4.9460
DOGE/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,4,-12.2339,-1.2234,0.6369,3.2986,25.0000,1.0645,36.0000,1.8851,5.3921
DOGE/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,9,45.6975,4.5698,1.5883,3.7861,33.3333,1.1202,24.8889,2.9284,5.6122
ETH/USDT:USDT,long_1d_center_compression,quick_reverse_3y,False,,,4,115.9862,11.5986,6.1356,1.3297,50.0000,3.9266,43.2500,1.4379,5.7335
