pair,entry_tag,matrix,period,btc_4h_regime,btc_1d_regime,range_market,false_breakdown,quick_reverse_1h_5h,duration_bucket,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate,avg_profit,avg_duration,avg_MAE,avg_MFE
ADA/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,2,40.1753,4.0175,6.6183,0.7151,50.0000,3.9563,2.0000,2.1997,5.7971
ADA/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,13,45.6918,4.5692,1.5693,4.2073,30.7692,1.1016,58.0769,2.3853,5.6097
ADA/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,17,200.0951,20.0095,2.9938,3.4281,35.2941,2.0835,38.9412,2.2333,6.2497
BNB/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,7,101.2182,10.1218,3.1837,4.3096,42.8571,3.2119,61.5714,1.5731,6.7267
BNB/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,1,17.7242,1.7724,inf,0.0000,100.0000,10.0009,24.0000,1.1967,13.3831
BNB/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,11,57.2744,5.7274,1.6794,4.9509,45.4545,1.1670,55.0909,2.5607,5.4483
BTC/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,13,86.4999,8.6500,1.9943,4.1237,30.7692,1.7871,89.4615,1.6093,5.1468
BTC/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,7,94.1740,9.4174,4.8639,2.2877,42.8571,1.6851,56.5714,1.7187,5.5833
BTC/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,17,31.6642,3.1664,1.2485,4.5941,29.4118,0.4617,47.3529,2.1560,4.1970
DOGE/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,2,34.3382,3.4338,5.8117,0.7136,50.0000,3.9521,8.0000,1.6881,5.7500
DOGE/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,5,88.1500,8.8150,9.3884,0.8707,60.0000,5.2467,46.4000,1.7517,7.5197
DOGE/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,13,33.4636,3.3464,1.3005,5.3005,30.7692,1.1031,28.3077,2.6074,5.5445
ETH/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,6,94.7134,9.4713,3.1596,2.8818,33.3333,1.9134,31.5000,1.7583,4.0055
ETH/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,6,96.5472,9.6547,4.7852,1.5697,50.0000,3.8590,46.3333,1.8450,6.4384
ETH/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,18,154.4979,15.4498,2.4580,2.8185,33.3333,1.9757,40.2222,2.0527,5.7476
LINK/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,1,-7.1684,-0.7168,0.0000,0.7168,0.0000,-2.1406,34.0000,2.0190,0.7555
LINK/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,7,-40.4392,-4.0439,0.3775,4.7075,14.2857,-1.3908,32.4286,3.7650,2.7841
LINK/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,12,73.7001,7.3700,1.8471,2.7998,33.3333,1.5070,30.6667,3.1588,5.3846
NEAR/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,2,-16.7279,-1.6728,0.0000,1.6728,0.0000,-2.2072,21.5000,2.6805,4.4312
NEAR/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,6,5.2030,0.5203,1.0834,3.3849,16.6667,-0.6626,29.6667,2.6650,4.7732
NEAR/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,15,63.5186,6.3519,1.5010,4.7224,33.3333,0.7409,35.5333,3.2505,5.0062
PAXG/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,5,73.3545,7.3355,2.5682,4.6776,40.0000,1.5537,280.0000,4.8228,7.4512
SOL/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,5,71.1381,7.1138,3.1998,3.1314,40.0000,2.7249,41.2000,1.9051,5.3058
SOL/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,9,-15.3607,-1.5361,0.7888,5.1563,22.2222,0.1243,37.2222,2.7671,5.1948
SOL/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,11,110.5135,11.0513,2.1223,7.2951,36.3636,1.7329,34.2727,2.9674,5.9925
SUI/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,1,-8.8656,-0.8866,0.0000,0.8866,0.0000,-2.1463,0.0000,3.2005,4.3219
SUI/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,7,30.9173,3.0917,1.9569,1.7543,42.8571,1.6884,51.5714,2.6615,5.8073
SUI/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,11,73.9526,7.3953,1.8816,2.0226,36.3636,1.7942,48.5455,2.3358,6.7911
TAO/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,4,19.9747,1.9975,1.4444,2.8980,25.0000,0.5132,36.5000,3.0867,4.5782
TAO/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,8,67.7736,6.7774,2.6517,1.9723,62.5000,2.3688,49.6250,2.8709,6.3321
XRP/USDT:USDT,long_1d_center_compression,base_3y,,,,,,,,3,26.6345,2.6635,2.3210,1.0094,33.3333,1.9021,21.3333,1.9045,7.7271
XRP/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,10,11.3775,1.1377,1.1313,3.8767,30.0000,0.2514,49.2000,3.0010,4.9904
XRP/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,23,55.3674,5.5367,1.3804,8.3485,21.7391,0.0947,65.8261,1.9986,4.0839
ZEC/USDT:USDT,short_compression_breakdown,base_3y,,,,,,,,3,105.2821,10.5282,inf,0.0000,100.0000,10.0042,48.3333,1.3742,11.2516
ZEC/USDT:USDT,short_pullback_restart,base_3y,,,,,,,,10,117.0720,11.7072,3.6829,2.9615,50.0000,3.8808,37.4000,1.9292,9.0804
ADA/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,2,40.1753,4.0175,6.6183,0.7151,50.0000,3.9563,2.0000,2.1997,5.7971
ADA/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,13,45.6918,4.5692,1.5693,4.2073,30.7692,1.1016,58.0769,2.3853,5.6097
ADA/USDT:USDT,short_pullback_restart,period,3y,,,,,,,17,200.0951,20.0095,2.9938,3.4281,35.2941,2.0835,38.9412,2.2333,6.2497
BNB/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,7,101.2182,10.1218,3.1837,4.3096,42.8571,3.2119,61.5714,1.5731,6.7267
BNB/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,1,17.7242,1.7724,inf,0.0000,100.0000,10.0009,24.0000,1.1967,13.3831
BNB/USDT:USDT,short_pullback_restart,period,3y,,,,,,,11,57.2744,5.7274,1.6794,4.9509,45.4545,1.1670,55.0909,2.5607,5.4483
BTC/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,13,86.4999,8.6500,1.9943,4.1237,30.7692,1.7871,89.4615,1.6093,5.1468
BTC/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,7,94.1740,9.4174,4.8639,2.2877,42.8571,1.6851,56.5714,1.7187,5.5833
BTC/USDT:USDT,short_pullback_restart,period,3y,,,,,,,17,31.6642,3.1664,1.2485,4.5941,29.4118,0.4617,47.3529,2.1560,4.1970
DOGE/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,2,34.3382,3.4338,5.8117,0.7136,50.0000,3.9521,8.0000,1.6881,5.7500
DOGE/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,5,88.1500,8.8150,9.3884,0.8707,60.0000,5.2467,46.4000,1.7517,7.5197
DOGE/USDT:USDT,short_pullback_restart,period,3y,,,,,,,13,33.4636,3.3464,1.3005,5.3005,30.7692,1.1031,28.3077,2.6074,5.5445
ETH/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,6,94.7134,9.4713,3.1596,2.8818,33.3333,1.9134,31.5000,1.7583,4.0055
ETH/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,6,96.5472,9.6547,4.7852,1.5697,50.0000,3.8590,46.3333,1.8450,6.4384
ETH/USDT:USDT,short_pullback_restart,period,3y,,,,,,,18,154.4979,15.4498,2.4580,2.8185,33.3333,1.9757,40.2222,2.0527,5.7476
LINK/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,1,-7.1684,-0.7168,0.0000,0.7168,0.0000,-2.1406,34.0000,2.0190,0.7555
LINK/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,7,-40.4392,-4.0439,0.3775,4.7075,14.2857,-1.3908,32.4286,3.7650,2.7841
LINK/USDT:USDT,short_pullback_restart,period,3y,,,,,,,12,73.7001,7.3700,1.8471,2.7998,33.3333,1.5070,30.6667,3.1588,5.3846
NEAR/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,2,-16.7279,-1.6728,0.0000,1.6728,0.0000,-2.2072,21.5000,2.6805,4.4312
NEAR/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,6,5.2030,0.5203,1.0834,3.3849,16.6667,-0.6626,29.6667,2.6650,4.7732
NEAR/USDT:USDT,short_pullback_restart,period,3y,,,,,,,15,63.5186,6.3519,1.5010,4.7224,33.3333,0.7409,35.5333,3.2505,5.0062
PAXG/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,5,73.3545,7.3355,2.5682,4.6776,40.0000,1.5537,280.0000,4.8228,7.4512
SOL/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,5,71.1381,7.1138,3.1998,3.1314,40.0000,2.7249,41.2000,1.9051,5.3058
SOL/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,9,-15.3607,-1.5361,0.7888,5.1563,22.2222,0.1243,37.2222,2.7671,5.1948
SOL/USDT:USDT,short_pullback_restart,period,3y,,,,,,,11,110.5135,11.0513,2.1223,7.2951,36.3636,1.7329,34.2727,2.9674,5.9925
SUI/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,1,-8.8656,-0.8866,0.0000,0.8866,0.0000,-2.1463,0.0000,3.2005,4.3219
SUI/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,7,30.9173,3.0917,1.9569,1.7543,42.8571,1.6884,51.5714,2.6615,5.8073
SUI/USDT:USDT,short_pullback_restart,period,3y,,,,,,,11,73.9526,7.3953,1.8816,2.0226,36.3636,1.7942,48.5455,2.3358,6.7911
TAO/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,4,19.9747,1.9975,1.4444,2.8980,25.0000,0.5132,36.5000,3.0867,4.5782
TAO/USDT:USDT,short_pullback_restart,period,3y,,,,,,,8,67.7736,6.7774,2.6517,1.9723,62.5000,2.3688,49.6250,2.8709,6.3321
XRP/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,3,26.6345,2.6635,2.3210,1.0094,33.3333,1.9021,21.3333,1.9045,7.7271
XRP/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,10,11.3775,1.1377,1.1313,3.8767,30.0000,0.2514,49.2000,3.0010,4.9904
XRP/USDT:USDT,short_pullback_restart,period,3y,,,,,,,23,55.3674,5.5367,1.3804,8.3485,21.7391,0.0947,65.8261,1.9986,4.0839
ZEC/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,3,105.2821,10.5282,inf,0.0000,100.0000,10.0042,48.3333,1.3742,11.2516
