variant,label,family,window,strategy_name,trades,profit_total_pct,profit_total_abs,profit_factor,max_drawdown_pct,winrate_pct,holding_avg,trades_per_day,rejected_signals
raw_3y,Raw,baseline,3y,DualTrendRawStrategy,373,189.65864038600003,1896.5864038600002,1.7702676878767074,9.75667334921658,31.36729222520107,"2 days, 2:10:00",0.34,36
raw_be_3y,Raw + Breakeven,baseline,3y,DualTrendRawBreakevenStrategy,395,132.499480994,1324.9948099399999,1.9500764743839445,5.465098306636345,47.34177215189874,"1 day, 11:46:00",0.36,24
raw_be_guard_3y,Raw + Breakeven + Guard,baseline,3y,DualTrendRawBreakevenGuardStrategy,387,140.52463291100003,1405.24632911,2.018077409257597,5.468632347261995,47.54521963824289,"1 day, 12:24:00",0.35,12
raw_1y,Raw,baseline,1y,DualTrendRawStrategy,145,42.588230013,425.88230013,1.6798081314063043,9.746297757575297,33.10344827586207,"2 days, 7:55:00",0.4,36
raw_be_1y,Raw + Breakeven,baseline,1y,DualTrendRawBreakevenStrategy,156,35.320338934,353.20338934,2.02811340838498,5.485117265559506,51.92307692307693,"1 day, 12:52:00",0.43,24
raw_be_guard_1y,Raw + Breakeven + Guard,baseline,1y,DualTrendRawBreakevenGuardStrategy,154,36.312460138999995,363.12460138999995,2.078407766920048,5.491160929182981,51.94805194805194,"1 day, 13:13:00",0.42,12
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,profit_lock,3y,DualTrendRawBreakevenProfitLockResearchStrategy,423,65.702300918,657.02300918,1.581321753325199,9.349290584275282,56.02836879432624,23:26:00,0.39,0
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,profit_lock,3y,DualTrendRawBreakevenGuardProfitLockResearchStrategy,415,71.058193739,710.58193739,1.6382012983343814,7.970806969170605,56.867469879518076,23:49:00,0.38,0
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,profit_lock,1y,DualTrendRawBreakevenProfitLockResearchStrategy,168,24.976937458000002,249.76937458,1.746306400653782,3.6724812395367255,60.71428571428571,"1 day, 2:24:00",0.46,0
raw_be_guard_profit_lock_1y,Raw + Breakeven + Guard + ProfitLock,profit_lock,1y,DualTrendRawBreakevenGuardProfitLockResearchStrategy,166,26.001255311999998,260.01255312,1.7950491958548935,3.2362356333421096,61.44578313253012,"1 day, 2:36:00",0.45,0
raw_be_profit_lock_strong,Raw + Breakeven + ProfitLock,profit_lock,strong_2026_01_01_2026_02_28,DualTrendRawBreakevenProfitLockResearchStrategy,42,9.804885186,98.04885186,2.805672655709051,1.4651960667439994,78.57142857142857,"1 day, 2:35:00",0.72,0
raw_be_profit_lock_pressure,Raw + Breakeven + ProfitLock,profit_lock,pressure_2026_03_01_2026_05_31,DualTrendRawBreakevenProfitLockResearchStrategy,24,-0.46278745100000035,-4.627874510000003,0.9057349756533971,2.655772049548716,62.5,"1 day, 6:35:00",0.26,0
raw_be_profit_lock_repair,Raw + Breakeven + ProfitLock,profit_lock,repair_2026_06_01_2026_06_18,DualTrendRawBreakevenProfitLockResearchStrategy,12,0.2480232729999999,2.480232729999999,1.1658937480270573,1.4717179287228275,75.0,10:22:00,0.71,9
raw_be_guard_profit_lock_strong,Raw + Breakeven + Guard + ProfitLock,profit_lock,strong_2026_01_01_2026_02_28,DualTrendRawBreakevenGuardProfitLockResearchStrategy,30,9.923144581,99.23144581,2.8815307613773147,1.462799875656166,76.66666666666667,"1 day, 2:59:00",0.52,192
raw_be_guard_profit_lock_pressure,Raw + Breakeven + Guard + ProfitLock,profit_lock,pressure_2026_03_01_2026_05_31,DualTrendRawBreakevenGuardProfitLockResearchStrategy,21,-0.4719845990000002,-4.719845990000002,0.903861611589039,2.660373524082828,57.14285714285714,"1 day, 3:33:00",0.23,48
raw_be_guard_profit_lock_repair,Raw + Breakeven + Guard + ProfitLock,profit_lock,repair_2026_06_01_2026_06_18,DualTrendRawBreakevenProfitLockResearchStrategy,12,0.2480232729999999,2.480232729999999,1.1658937480270573,1.4717179287228275,75.0,10:22:00,0.71,9
raw_be_strong,Raw + Breakeven,baseline,strong_2026_01_01_2026_02_28,DualTrendRawBreakevenStrategy,30,8.900363802,89.00363802,2.681656841581314,2.8079482302932597,53.333333333333336,"1 day, 8:10:00",0.52,204
raw_be_pressure,Raw + Breakeven,baseline,pressure_2026_03_01_2026_05_31,DualTrendRawBreakevenStrategy,18,-1.5463567189999996,-15.463567189999996,0.6367978248977301,3.301935836192188,33.33333333333333,"2 days, 0:37:00",0.2,72
raw_be_repair,Raw + Breakeven,baseline,repair_2026_06_01_2026_06_18,DualTrendRawBreakevenStrategy,11,1.401371882,14.013718820000001,1.6165322340665373,2.193313900560722,63.63636363636363,14:20:00,0.65,12
raw_be_guard_strong,Raw + Breakeven + Guard,baseline,strong_2026_01_01_2026_02_28,DualTrendRawBreakevenGuardStrategy,30,8.900363802,89.00363802,2.681656841581314,2.8079482302932597,53.333333333333336,"1 day, 8:10:00",0.52,192
raw_be_guard_pressure,Raw + Breakeven + Guard,baseline,pressure_2026_03_01_2026_05_31,DualTrendRawBreakevenGuardStrategy,18,-1.5463567189999996,-15.463567189999996,0.6367978248977301,3.301935836192188,33.33333333333333,"2 days, 0:37:00",0.2,72
raw_be_guard_repair,Raw + Breakeven + Guard,baseline,repair_2026_06_01_2026_06_18,DualTrendRawBreakevenGuardStrategy,10,1.1951661130000002,11.951661130000002,1.525812201024674,2.193313900560722,60.0,14:16:00,0.59,12
