variant,label,window,family,key,trades,profit_mean,profit_mean_pct,profit_total_abs,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,BNB/USDT:USDT,27,0.012980564360754373,1.3,128.94174543,0.12894174543,12.89,21:17:00,19,0,8,0.7037037037037037,0.04121677924070899,4.775620201111111,0.8124903057349837,0.4662344066965921,0.16225284928744854,20.482443110276748,1.7578,3.7421547818555707,0.010973563107816843,12.356839499999992
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,TRX/USDT:USDT,33,0.007826746986221678,0.78,116.75595099,0.11675595099,11.68,"3 days, 20:16:00",13,0,20,0.3939393939393939,0.03746034585861446,3.538059120909091,0.9281450900547976,0.5537163520702565,0.1628529917455077,12.10860099993366,1.6015,2.531439398590416,0.01680818946974715,18.35472829999999
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,ETH/USDT:USDT,37,0.0074099373880459,0.74,116.71183633,0.11671183633,11.67,19:48:00,19,0,18,0.5135135135135135,0.03744669738141737,3.154373954864865,0.5693662686187091,0.502439634304106,0.1481923314243371,5.605905355417428,1.3786,2.1703639966051247,0.03629150837452841,36.788823429999994
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,ADA/USDT:USDT,36,0.007478360676442643,0.75,100.94736447999999,0.10094736448,10.09,16:35:00,21,0,15,0.5833333333333334,0.0325461760565704,2.804093457777779,0.43470611829758643,0.4657820593717318,0.1349843468584844,6.994788888508046,1.2726,2.043294683914207,0.025156849494888427,25.79019244
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,XRP/USDT:USDT,48,0.0054879748352446205,0.55,100.60750159,0.10060750159,10.06,21:47:00,29,0,19,0.6041666666666666,0.03244001293065368,2.095989616458333,0.3483733773824289,0.4618052560059728,0.18920802277353582,9.547896769325895,1.5503,1.8801011639135041,0.0183678586009179,19.92156827999999
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,DOGE/USDT:USDT,28,0.010922260336238786,1.09,82.44291942999999,0.08244291942999998,8.24,16:23:00,20,0,8,0.7142857142857143,0.02673382751095721,2.944389979642856,0.39547109141206227,0.7644282013264496,0.1327363101967419,3.580994998580435,1.4131,2.384148819942218,0.04013151231999996,40.13151232
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,ZEC/USDT:USDT,15,0.017169186562281485,1.72,81.76164028000001,0.08176164028,8.18,11:15:00,14,0,1,0.9333333333333333,0.026518573400909906,5.450776018666667,0.531729045078726,-100.0,0.12386235844209918,14.947872116013064,1.7725,8.975935676180887,0.00953467951760656,10.251040579999994
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,SOL/USDT:USDT,35,0.0007757847855049033,0.08,16.8590932,0.0168590932,1.69,15:13:00,18,0,17,0.5142857142857142,0.005583296118090164,0.48168837714285706,0.0736755587232023,0.06937620084565754,0.02508215274349545,0.5636100779492004,0.2397,1.1516849738418875,0.05214243872410026,52.94540753
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,BTC/USDT:USDT,42,0.0017615699993419475,0.18,10.974103459999997,0.010974103459999997,1.1,"1 day, 2:53:00",20,0,22,0.47619047619047616,0.003641402725008014,0.26128817761904743,0.046628145304902446,0.0566030502140798,0.023698521921118338,0.7305417944376579,0.2073,1.0890173683093591,0.026185439121721114,27.156001709999998
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,TAO/USDT:USDT,16,5.713460446537307e-06,0.0,9.17345348,0.00917345348,0.92,13:58:00,11,0,5,0.6875,0.0030457292163235117,0.5733408424999995,0.06671842218029567,0.1665933628225454,0.022508561304224125,0.5159505485184068,0.3126,1.2134989509769463,0.03099278920891657,31.147390270000002
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,BCH/USDT:USDT,2,0.00850334139504714,0.85,8.39770103,0.00839770103,0.84,13:42:00,2,0,0,1.0,0.0027888838433451912,4.198850515,100.0,-100.0,0.03509843298057368,-100.0,1.0068,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,AVAX/USDT:USDT,1,0.003336347735430996,0.33,1.0952364,0.0010952364,0.11,"1 day, 10:20:00",1,0,0,1.0,0.00036461255825082084,1.0952364,100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,HYPE/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,AAVE/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,ONDO/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,WLD/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,DASH/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,UNI/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,ARB/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,APT/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,ICP/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,CRV/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,DOT/USDT:USDT,2,-0.0008567220614978899,-0.09,-0.5187154599999999,-0.0005187154599999999,-0.05,21:45:00,1,0,1,0.5,-0.00017277728431375206,-0.25935772999999995,-0.2653342079126553,-100.0,-0.012591263129084717,-0.925037030010937,-0.3612,0.46933158417468934,0.000977475659999982,0.97747566
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,LTC/USDT:USDT,3,-0.0073067347246558965,-0.73,-7.2590712,-0.0072590712,-0.73,18:33:00,0,0,3,0.0,-0.0024233586015812714,-2.4196904,-1.0,-0.03813763593638749,-0.03813763593638749,-1.7431544867283593,-1.0314,0.0,0.007259071199999994,7.2590712
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,LDO/USDT:USDT,2,-0.0107319200188608,-1.07,-7.351381470000001,-0.0073513814700000004,-0.74,3:42:00,0,0,2,0.0,-0.0024542513212314487,-3.6756907350000003,-1.0,-0.03559322286899796,-0.03559322286899796,-1.7431544867283628,-1.0209,0.0,0.007351381469999979,7.351381470000001
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,APE/USDT:USDT,1,-0.021182368501236608,-2.12,-7.54155709,-0.0075415570900000005,-0.75,0:35:00,0,0,1,0.0,-0.0025179018740625336,-7.54155709,-1.0,-100.0,-100.0,-1.7431544867283648,-100.0,0.0,0.007541557089999969,7.54155709
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,FIL/USDT:USDT,1,-0.02103939111450803,-2.1,-8.24154528,-0.00824154528,-0.82,0:35:00,0,0,1,0.0,-0.002752253505311608,-8.24154528,-1.0,-100.0,-100.0,-1.7431544867283641,-100.0,0.0,0.008241545279999969,8.24154528
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,SUI/USDT:USDT,26,-0.0007629334865494325,-0.08,-12.774778900000008,-0.012774778900000009,-1.28,8:42:00,14,0,12,0.5384615384615384,-0.004272628616254437,-0.49133765000000107,-0.06630227052765414,-0.052580804150537036,-0.02428767678357903,-0.39568161376538563,-0.2679,0.8563450805234163,0.05627861488075497,57.79736128
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,LINK/USDT:USDT,32,-0.004427376466910377,-0.44,-31.92609733999999,-0.031926097339999994,-3.19,19:39:00,14,0,18,0.4375,-0.010747575661066544,-0.9976905418750008,-0.1504840087236975,-0.12840490833242527,-0.05780009499128022,-1.053708378033137,-0.5769,0.7324728733800935,0.05281548574742101,53.98028857
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,NEAR/USDT:USDT,36,-0.004936169285568871,-0.49,-42.03239018,-0.04203239018,-4.2,10:31:00,21,0,15,0.5833333333333334,-0.01419894112866149,-1.167566393888889,-0.1601970172423386,-0.2102137279826678,-0.10246141509218144,-1.554776666806807,-0.966,0.6155271586183872,0.04712506374350432,47.34386047999999
raw_be_profit_lock_3y,Raw + Breakeven + ProfitLock,3y,profit_lock,TOTAL,423,0.003957375010570552,0.4,657.02300918,0.65702300918,65.7,23:26:00,237,0,186,0.5602836879432624,0.1831581707091967,1.5532458845862882,0.2556166574905132,2.8810467785132774,1.0521183858496124,12.250048236410251,2.9312,1.581321753325199,0.09349290584275283,97.69631339
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,ETH/USDT:USDT,35,0.009759929386098156,0.98,139.57962662,0.13957962662,13.96,20:20:00,19,0,16,0.5428571428571428,0.04447400096267229,3.9879893319999997,0.7733073098180581,0.5932844314495511,0.17172110779718766,8.446960944255643,1.6412,2.691609740227002,0.0288043065434065,29.199021889999997
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,BNB/USDT:USDT,27,0.012980564358989692,1.3,131.5600476,0.13156004759999998,13.16,21:17:00,19,0,8,0.7037037037037037,0.04202037216621246,4.872594355555554,0.8092017236143814,0.46170898803489907,0.16192182770674698,20.112281708141982,1.7543,3.7310558171985377,0.011402459978237956,12.871707810000004
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,TRX/USDT:USDT,33,0.007581046013785086,0.76,116.48116033,0.11648116033,11.65,"3 days, 21:52:00",13,0,20,0.3939393939393939,0.037375323499974966,3.52973213121212,0.8767993128064713,0.5563331433488479,0.15905130044556626,9.892172865868428,1.5641,2.446718866130678,0.02052578942985743,21.32067288
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,ADA/USDT:USDT,35,0.007820832993867892,0.78,105.77142913999998,0.10577142913999998,10.58,16:46:00,21,0,14,0.6,0.034050719819667785,3.022040832571428,0.43631740807377417,0.4910348423477227,0.13612547622642118,7.178082067366002,1.301,2.0907935201844356,0.025685961729428695,26.356115110000005
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,XRP/USDT:USDT,48,0.005487974835141836,0.55,102.72320299999998,0.10272320299999999,10.27,21:47:00,29,0,19,0.6041666666666666,0.03310054033997978,2.140066729166667,0.3481368100447322,0.4600483126894971,0.18906491348765794,9.53116977541788,1.5491,1.879503520113008,0.018787034164723725,20.405908740000015
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,DOGE/USDT:USDT,28,0.010922260330843378,1.09,85.42726229,0.08542726229,8.54,16:23:00,20,0,8,0.7142857142857143,0.02767568461045289,3.0509736532142866,0.40319790360419017,0.7559227280005072,0.13381225966392268,3.674441872700794,1.4246,2.4111926626146656,0.04052667608000002,40.52667608000001
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,ZEC/USDT:USDT,15,0.017169186561516434,1.72,83.50004966999998,0.08350004966999998,8.35,11:15:00,14,0,1,0.9333333333333333,0.027067655144027647,5.566669977999999,0.5306863718928447,-100.0,0.12371477272101997,14.938629344235121,1.7703,8.960295578392673,0.009743429793341174,10.489566480000008
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,SOL/USDT:USDT,33,0.0033904094532797493,0.34,25.88792095,0.02588792095,2.59,15:31:00,18,0,15,0.5454545454545454,0.008548055129106169,0.7844824530303023,0.11175210399741253,0.10455255975201876,0.03665653210571961,1.0031540492380944,0.3605,1.2458546287943078,0.044984761403630565,45.68035978
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,BTC/USDT:USDT,40,0.0033430247938683474,0.33,25.589049170000003,0.025589049170000003,2.56,"1 day, 3:36:00",20,0,20,0.5,0.008450194929187527,0.6397262292499999,0.11471987100599534,0.12547919044341513,0.054367844441323435,1.7246458405702414,0.4869,1.2294397420119905,0.02586366709181841,27.156001709999998
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,TAO/USDT:USDT,16,5.713463025665191e-06,0.0,9.581208569999998,0.009581208569999998,0.96,13:58:00,11,0,5,0.6875,0.0031806808378251894,0.5988255356249996,0.06802879258538996,0.1683755343044703,0.022888083305674538,0.5269871206061149,0.3178,1.2176921362732478,0.031692476066334234,31.85159728
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,BCH/USDT:USDT,2,0.008503341395966682,0.85,8.60785877,0.00860785877,0.86,13:42:00,2,0,0,1.0,0.0028584783855756246,4.303929385,100.0,-100.0,0.035102339017948625,-100.0,1.0069,0.0,0.0,0.0
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,AVAX/USDT:USDT,1,0.003336347735430996,0.33,1.0952364,0.0010952364,0.11,"1 day, 10:20:00",1,0,0,1.0,0.00036461255825082084,1.0952364,100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,HYPE/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,AAVE/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,ONDO/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
raw_be_guard_profit_lock_3y,Raw + Breakeven + Guard + ProfitLock,3y,profit_lock,WLD/USDT:USDT,0,0.0,0.0,0.0,0.0,0.0,0:00,0,0,0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0
