variant,label,window,family,pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,SOL/USDT:USDT,247.5457,247.5457,1.73,2025-06-19 15:00:00+00:00,2025-06-19 22:35:00+00:00,143.09,147.37,0.0005,0.0005,455,-0.03093091650426101,-7.65298697,stop_loss,151.67,-0.06,147.37,-0.029975832995732477,142.83,147.43,False,short_pullback_restart,1.0,True,1750345200000,1750372500000,"[{'amount': 1.73, 'safe_price': 143.09, 'ft_order_side': 'sell', 'order_filled_timestamp': 1750345200000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 247.66947285}, {'amount': 1.73, 'safe_price': 147.37, 'ft_order_side': 'buy', 'order_filled_timestamp': 1750372500000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 255.07757504999998}]",0.0026609303000000007,3
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,SOL/USDT:USDT,242.515,242.515,1.75,2025-06-21 18:00:00+00:00,2025-06-21 21:30:00+00:00,138.58,135.22,0.0005,0.0005,210,0.023269680734435624,5.640425,profit_giveback_guard,146.89,-0.06,138.44,-0.02473293856402692,130.46,139.58,False,short_pullback_restart,1.0,True,1750528800000,1750541400000,"[{'amount': 1.75, 'safe_price': 138.58, 'ft_order_side': 'sell', 'order_filled_timestamp': 1750528800000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 242.6362575}, {'amount': 1.75, 'safe_price': 135.22, 'ft_order_side': 'buy', 'order_filled_timestamp': 1750541400000, 'ft_is_entry': False, 'ft_order_tag': 'profit_giveback_guard', 'cost': 236.75331749999998}]",0.0,5
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,NEAR/USDT:USDT,205.737,205.737,101.0,2025-06-21 14:00:00+00:00,2025-06-22 00:05:00+00:00,2.037,1.981,0.0005,0.0005,605,0.026479493945293805,5.44508774,profit_giveback_guard,2.159,-0.06,2.034,-0.023108597285067756,1.902,2.054,False,short_pullback_restart,1.0,True,1750514400000,1750550700000,"[{'amount': 101.0, 'safe_price': 2.037, 'ft_order_side': 'sell', 'order_filled_timestamp': 1750514400000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 205.8398685}, {'amount': 101.0, 'safe_price': 1.981, 'ft_order_side': 'buy', 'order_filled_timestamp': 1750550700000, 'ft_is_entry': False, 'ft_order_tag': 'profit_giveback_guard', 'cost': 200.1810405}]",-0.0080032602,6
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,ETH/USDT:USDT,151.7241,151.7241,0.069,2025-06-22 14:00:00+00:00,2025-06-22 14:50:00+00:00,2198.9,2197.38,0.0005,0.0005,50,-0.00030855393133831,-0.04679166,profit_lock_pullback_restart,2330.83,-0.06,2306.19,-0.048794549973850465,2155.1,2212.0,False,short_pullback_restart,1.0,True,1750600800000,1750603800000,"[{'amount': 0.069, 'safe_price': 2198.9, 'ft_order_side': 'sell', 'order_filled_timestamp': 1750600800000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 151.79996205}, {'amount': 0.069, 'safe_price': 2197.38, 'ft_order_side': 'buy', 'order_filled_timestamp': 1750603800000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_pullback_restart', 'cost': 151.69502961}]",0.0,6
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,BNB/USDT:USDT,227.9792,227.9792,0.37,2025-06-22 14:00:00+00:00,2025-06-22 22:40:00+00:00,616.16,614.46,0.0005,0.0005,520,0.001761283783932995,0.4013353,profit_lock_pullback_restart,653.12,-0.06,615.54,-0.02190394289034603,600.91,618.54,False,short_pullback_restart,1.0,True,1750600800000,1750632000000,"[{'amount': 0.37, 'safe_price': 616.16, 'ft_order_side': 'sell', 'order_filled_timestamp': 1750600800000, 'ft_is_entry': True, 'ft_order_tag': 'short_pullback_restart', 'cost': 228.0931896}, {'amount': 0.37, 'safe_price': 614.46, 'ft_order_side': 'buy', 'order_filled_timestamp': 1750632000000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_pullback_restart', 'cost': 227.4638751}]",0.0,6
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,LINK/USDT:USDT,222.14192,222.14192,17.29,2025-07-01 19:00:00+00:00,2025-07-02 15:10:00+00:00,12.848,13.278,0.0005,0.0005,1210,-0.034525600307995834,-7.66574835,stop_loss,13.618,-0.06,13.278,-0.03354424349546137,12.716,13.315,False,short_compression_breakdown,1.0,True,1751396400000,1751469000000,"[{'amount': 17.29, 'safe_price': 12.848, 'ft_order_side': 'sell', 'order_filled_timestamp': 1751396400000, 'ft_is_entry': True, 'ft_order_tag': 'short_compression_breakdown', 'cost': 222.25299095999998}, {'amount': 17.29, 'safe_price': 13.278, 'ft_order_side': 'buy', 'order_filled_timestamp': 1751469000000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 229.69140830999999}]",-0.005189076822634342,2
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,BTC/USDT:USDT,333.5994,333.5994,0.003,2025-07-10 00:00:00+00:00,2025-07-10 21:15:00+00:00,111199.8,113622.7,0.0005,0.0005,1275,0.02056320710775675,6.86330349,profit_giveback_guard,104527.9,-0.06,111311.0,-0.021218899072404263,110432.2,117500.0,False,long_1d_center_compression,1.0,False,1752105600000,1752182100000,"[{'amount': 0.003, 'safe_price': 111199.8, 'ft_order_side': 'buy', 'order_filled_timestamp': 1752105600000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 333.76619969999996}, {'amount': 0.003, 'safe_price': 113622.7, 'ft_order_side': 'sell', 'order_filled_timestamp': 1752182100000, 'ft_is_entry': False, 'ft_order_tag': 'profit_giveback_guard', 'cost': 341.03853405}]",-0.068162759289,3
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,ETH/USDT:USDT,307.21359,307.21359,0.111,2025-07-10 00:00:00+00:00,2025-07-14 03:40:00+00:00,2767.69,3049.98,0.0005,0.0005,5980,0.10000094532046044,30.73701024,roi,2601.63,-0.06,2770.46,-0.020215697300203006,2754.08,3051.91,False,long_1d_center_compression,1.0,False,1752105600000,1752464400000,"[{'amount': 0.111, 'safe_price': 2767.69, 'ft_order_side': 'buy', 'order_filled_timestamp': 1752105600000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 307.367196795}, {'amount': 0.111, 'safe_price': 3049.98, 'ft_order_side': 'sell', 'order_filled_timestamp': 1752464400000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 338.71705389}]",-0.274299075252843,0
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,BNB/USDT:USDT,336.287,336.287,0.49,2025-07-11 00:00:00+00:00,2025-07-14 18:55:00+00:00,686.3,689.87,0.0005,0.0005,5455,0.004078224234369596,1.37213952,profit_lock_long_center,645.13,-0.06,686.99,-0.021791140412080523,679.47,708.0,False,long_1d_center_compression,1.0,False,1752192000000,1752519300000,"[{'amount': 0.49, 'safe_price': 686.3, 'ft_order_side': 'buy', 'order_filled_timestamp': 1752192000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 336.45514349999996}, {'amount': 0.49, 'safe_price': 689.87, 'ft_order_side': 'sell', 'order_filled_timestamp': 1752519300000, 'ft_is_entry': False, 'ft_order_tag': 'profit_lock_long_center', 'cost': 338.20531815}]",-0.03999883328000001,0
raw_be_profit_lock_1y,Raw + Breakeven + ProfitLock,1y,profit_lock,TRX/USDT:USDT,344.9772,344.9772,1213.0,2025-07-03 00:00:00+00:00,2025-07-17 09:35:00+00:00,0.2844,0.31359,0.0005,0.0005,20735,0.1000163150371737,34.52059999,roi,0.26734,-0.06,0.28469,-0.019681818181818356,0.28086,0.31378,False,long_1d_center_compression,1.0,False,1751500800000,1752744900000,"[{'amount': 1213.0, 'safe_price': 0.2844, 'ft_order_side': 'buy', 'order_filled_timestamp': 1751500800000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 345.1496886}, {'amount': 1213.0, 'safe_price': 0.31359, 'ft_order_side': 'sell', 'order_filled_timestamp': 1752744900000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 380.574862335}]",-0.5241890745223041,3
