rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,rejected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5,proxy_half_profit_from_reach5
adverse_before_5pct <= 0.0125,1,84,0.6942148760330579,0.75,0.06404958677685946,0.07373310981194192,0.052569080468641324,0.06726146447556075,0.06647587788597621,0.058237938942988114
node_body_ratio >= 0.2,1,106,0.8760330578512396,0.6981132075471698,0.012162794324029225,0.06843754738241019,0.05895047860049148,0.06726146447556075,0.06615190101268992,0.05807595050634495
adverse_before_5pct <= 0.0125 AND node_body_ratio >= 0.2,2,75,0.6198347107438017,0.7733333333333333,0.08738292011019277,0.07588030472644977,0.053209007544763445,0.06726146447556075,0.06604151119408043,0.058020755597040216
node_body_ratio >= 0.3,1,100,0.8264462809917356,0.71,0.024049586776859422,0.06867905208532368,0.06051104728621353,0.06726146447556075,0.06543723312836668,0.05771861656418334
node_close_vs_ema20 <= -0.01,1,84,0.6942148760330579,0.7380952380952381,0.052144824872097595,0.07203685835138246,0.056420029730452036,0.06726146447556075,0.06529831488856302,0.05764915744428151
adverse_before_5pct <= 0.0125 AND node_body_ratio >= 0.3,2,73,0.6033057851239669,0.7808219178082192,0.09487150458507865,0.0752195338931502,0.05515856723631013,0.06726146447556075,0.06521509069586748,0.05760754534793374
adverse_before_5pct <= 0.0175,1,99,0.8181818181818182,0.696969696969697,0.011019283746556474,0.06853013914767059,0.06155242845106654,0.06726146447556075,0.06516102293900321,0.0575805114695016
adverse_before_5pct <= 0.015,1,94,0.7768595041322314,0.7021276595744681,0.016177246351327557,0.06930306820918551,0.060153658884422735,0.06726146447556075,0.0649957719972185,0.05749788599860925
node_body_ratio >= 0.4,1,90,0.743801652892562,0.7222222222222222,0.03627180899908167,0.07015322174496728,0.05886604014502567,0.06726146447556075,0.06498999964501699,0.05749499982250849
node_close_vs_ema20 <= -0.005,1,96,0.7933884297520661,0.6979166666666666,0.011966253443526087,0.06879869232239838,0.06135850954370428,0.06726146447556075,0.06491466498305987,0.05745733249152994
adverse_before_5pct <= 0.0125 AND node_close_vs_ema20 <= -0.005,2,63,0.5206611570247934,0.7936507936507936,0.10770038042765306,0.07861785258224585,0.05492607739416145,0.06726146447556075,0.0649002042370371,0.057450102118518545
node_ret_3h <= -0.01 AND node_close_vs_ema20 <= -0.01,2,83,0.6859504132231405,0.7349397590361446,0.04898934581300407,0.07169699903031365,0.0575733232112321,0.06726146447556075,0.06488306545054573,0.05744153272527286
node_close_profit >= 0.047 AND node_body_ratio >= 0.4,2,82,0.6776859504132231,0.7317073170731707,0.04575690385003017,0.07164235518946765,0.0580503609232437,0.06726146447556075,0.06466672004575494,0.05733336002287747
node_close_profit >= 0.047 AND node_body_ratio >= 0.2,2,93,0.768595041322314,0.6989247311827957,0.012974317959655202,0.06905593839393108,0.06130124753240222,0.06726146447556075,0.06464629975731893,0.05732314987865947
node_close_profit >= 0.047,1,97,0.8016528925619835,0.6907216494845361,0.004771236261395528,0.06822623848309635,0.06336216952843778,0.06726146447556075,0.06461111680049872,0.057305558400249354
adverse_before_5pct <= 0.0125 AND node_close_vs_ema20 <= -0.01,2,55,0.45454545454545453,0.8363636363636363,0.15041322314049577,0.08196364906452284,0.05500964398475902,0.06726146447556075,0.06452893139296494,0.05726446569648247
node_ret_3h <= -0.01 AND node_close_vs_ema20 <= -0.005,2,95,0.7851239669421488,0.6947368421052632,0.008786428882122665,0.06846767664158054,0.06285415079202697,0.06726146447556075,0.06449941554504257,0.05724970777252128
adverse_before_5pct <= 0.0125 AND node_ret_3h <= -0.01,2,64,0.5289256198347108,0.78125,0.09529958677685946,0.07736372813604425,0.055918571944491575,0.06726146447556075,0.06447337686534571,0.05723668843267286
adverse_before_5pct <= 0.0125 AND node_body_ratio >= 0.4,2,65,0.5371900826446281,0.8,0.1140495867768595,0.07678948211084365,0.05620215829175027,0.06726146447556075,0.06439104410913088,0.05719552205456544
node_close_profit >= 0.047 AND node_body_ratio >= 0.3,2,90,0.743801652892562,0.7111111111111111,0.025160697887970596,0.06921021901049586,0.06160379001929757,0.06726146447556075,0.06428859265243493,0.057144296326217474
adverse_before_5pct <= 0.015 AND node_close_vs_ema20 <= -0.01,2,62,0.512396694214876,0.7903225806451613,0.10437216742202071,0.07774605712586262,0.056243756944735095,0.06726146447556075,0.0642169879487891,0.057108493974394554
adverse_before_5pct <= 0.015 AND node_body_ratio >= 0.2,2,84,0.6942148760330579,0.7142857142857143,0.02833530106257376,0.07037816390792469,0.06018571441289672,0.06726146447556075,0.06414682453112128,0.05707341226556063
node_ret_3h <= -0.015 AND node_close_vs_ema20 <= -0.01,2,79,0.6528925619834711,0.7341772151898734,0.0482268019667329,0.07155286872855372,0.05918953742826447,0.06726146447556075,0.06407170768227888,0.05703585384113944
adverse_before_5pct <= 0.0175 AND node_body_ratio >= 0.2,2,88,0.7272727272727273,0.7045454545454546,0.018595041322314043,0.06911091369529247,0.062329599889609524,0.06726146447556075,0.06389884632384907,0.056949423161924535
node_body_ratio >= 0.3 AND node_ret_3h <= -0.01,2,81,0.6694214876033058,0.7160493827160493,0.0300989694929088,0.0706863874530685,0.060325995446107596,0.06726146447556075,0.06384791226197148,0.05692395613098574
node_body_ratio >= 0.3 AND node_close_vs_ema20 <= -0.005,2,81,0.6694214876033058,0.7160493827160493,0.0300989694929088,0.0706863874530685,0.060325995446107596,0.06726146447556075,0.06384791226197148,0.05692395613098574
node_close_profit >= 0.048 AND node_body_ratio >= 0.2,2,83,0.6859504132231405,0.7108433734939759,0.024892960270835318,0.07015171532398588,0.06094854814873743,0.06726146447556075,0.06382307745364321,0.05691153872682161
