pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,mae_pct,mfe_pct,quick_reverse_1h,quick_reverse_2h,quick_reverse_3h,quick_reverse_4h,quick_reverse_5h,btc_4h_regime,btc_1d_regime,btc_regime_conflict,atr_pctile,atr_spike,late_trend_chase,range_market,false_breakout,false_breakdown,stop_too_tight,loss_label
DOGE/USDT:USDT,2026-05-31 15:00:00+00:00,2026-06-01 03:00:00+00:00,short,short_pullback_restart,-12.96294819,-0.015855933639604504,720,0.09997,0.10146,True,817.95454,1.5704711413424044,1.0203060918275553,False,False,False,False,False,down,range,False,0.041666666666666664,False,False,True,False,False,True,stop_too_tight
SOL/USDT:USDT,2026-05-31 15:00:00+00:00,2026-06-02 22:00:00+00:00,short,short_pullback_restart,95.28293221,0.09997453461087086,3300,81.92,73.67,True,953.5488,1.4160156249999958,10.559082031250007,False,False,False,False,False,down,range,False,0.07546296296296297,False,False,True,False,False,False,
ADA/USDT:USDT,2026-05-31 15:00:00+00:00,2026-06-02 23:00:00+00:00,short,short_pullback_restart,95.26620232,0.09994425667240606,3360,0.2338,0.2102,True,953.6702,1.5825491873395985,10.479041916167661,False,False,False,False,False,down,range,False,0.1398148148148148,False,False,True,False,False,False,
ETH/USDT:USDT,2026-06-05 03:00:00+00:00,2026-06-05 16:00:00+00:00,short,short_pullback_restart,54.45354214,0.10000165663225696,780,1729.52,1554.84,True,544.7988,1.0106850455617755,10.611036588186316,True,False,False,False,False,down,down,False,0.9,True,False,False,False,True,False,
XRP/USDT:USDT,2026-06-03 20:00:00+00:00,2026-06-05 18:00:00+00:00,short,short_pullback_restart,54.5631022,0.09999391211802426,2760,1.2033,1.0814,True,545.93721,1.3795395994348831,10.280063159644323,True,False,False,False,False,down,range,False,0.9013888888888889,True,False,False,False,True,False,
LINK/USDT:USDT,2026-06-05 03:00:00+00:00,2026-06-06 04:00:00+00:00,short,short_pullback_restart,47.28804312,0.09998612580014504,1500,7.798,7.012,True,473.18264,1.205437291613238,10.400102590407796,True,False,False,False,False,down,down,False,0.9726851851851852,True,True,False,False,True,False,
BTC/USDT:USDT,2026-06-07 20:00:00+00:00,2026-06-07 22:00:00+00:00,short,short_pullback_restart,-23.4204542,-0.029402379258000075,120,61303.7,63043.1,True,796.9481,4.8060720641657895,0.18595941191151596,False,True,True,True,True,down,down,False,0.8546296296296296,True,False,False,False,True,False,false_breakdown
LINK/USDT:USDT,2026-06-07 20:00:00+00:00,2026-06-07 22:00:00+00:00,short,short_pullback_restart,-23.48846993,-0.03700012304396943,120,7.591,7.864,True,635.13897,5.914899222763785,0.32933737320511597,False,True,True,True,True,down,down,False,0.8944444444444445,True,False,False,False,True,False,false_breakdown
BTC/USDT:USDT,2026-06-09 14:00:00+00:00,2026-06-11 17:00:00+00:00,short,short_pullback_restart,-22.52508709,-0.022628898410573698,3060,62244.4,63592.2,True,995.9104,2.2469491231339664,2.4942002814711044,False,False,False,False,False,down,down,False,0.7712962962962963,False,False,False,False,False,False,normal_loss
DOGE/USDT:USDT,2026-06-09 16:00:00+00:00,2026-06-11 18:00:00+00:00,short,short_pullback_restart,-23.11526256,-0.034232219395062075,3000,0.08407,0.08688,True,675.58652,3.4614012132746472,2.7358153919353043,True,True,True,True,True,down,down,False,0.6819444444444445,False,False,False,False,True,False,false_breakdown
ETH/USDT:USDT,2026-06-09 15:00:00+00:00,2026-06-12 16:00:00+00:00,short,short_pullback_restart,-6.71618649,-0.009891172042356514,4380,1644.91,1658.98,True,679.34783,2.9466657750272067,2.605613680991673,False,False,False,True,True,down,down,False,0.7856481481481481,False,False,False,False,True,False,false_breakdown
ADA/USDT:USDT,2026-06-17 09:00:00+00:00,2026-06-18 00:00:00+00:00,short,short_compression_breakdown,6.08751927,0.011458589415231773,900,0.1689,0.1668,True,531.5283,2.3090586145648397,3.197158081705144,False,False,False,False,False,up,down,False,0.7888888888888889,False,False,False,False,False,False,
