pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,max_open_trades_config
SOL/USDT:USDT,2025-06-19 15:00:00+00:00,2025-06-19 22:00:00+00:00,short,short_pullback_restart,-7.65298697,-0.03093091650426101,420,143.09,147.37,True,247.5457,4
NEAR/USDT:USDT,2025-06-21 14:00:00+00:00,2025-06-22 13:00:00+00:00,short,short_pullback_restart,20.61383132,0.10024518385947033,1380,2.037,1.831,True,205.737,4
ETH/USDT:USDT,2025-06-22 14:00:00+00:00,2025-06-23 14:00:00+00:00,short,short_pullback_restart,-7.56770416,-0.049190113920287916,1440,2198.9,2304.88,True,153.923,4
SOL/USDT:USDT,2025-06-21 18:00:00+00:00,2025-06-23 22:00:00+00:00,short,short_pullback_restart,-7.59469369,-0.03133205342543032,3120,138.58,142.79,True,242.515,4
BNB/USDT:USDT,2025-06-22 14:00:00+00:00,2025-06-23 22:00:00+00:00,short,short_pullback_restart,-7.6094681,-0.03339460239078251,1920,616.16,636.1,True,227.9792,4
LINK/USDT:USDT,2025-07-01 19:00:00+00:00,2025-07-02 15:00:00+00:00,short,short_compression_breakdown,-7.5593412,-0.03452560030284477,1200,12.848,13.278,True,219.0584,4
ETH/USDT:USDT,2025-07-10 00:00:00+00:00,2025-07-14 03:00:00+00:00,long,long_1d_center_compression,34.05993027,0.10000094533236327,5940,2767.69,3049.98,False,340.42587,4
BTC/USDT:USDT,2025-07-10 00:00:00+00:00,2025-07-14 05:00:00+00:00,long,long_1d_center_compression,33.37662783,0.10000002354941873,6060,111199.8,122580.2,False,333.5994,4
BNB/USDT:USDT,2025-07-11 00:00:00+00:00,2025-07-15 08:00:00+00:00,long,long_1d_center_compression,-3.39457707,-0.011497042210454975,6240,686.3,679.17,False,295.109,4
ETH/USDT:USDT,2025-08-08 00:00:00+00:00,2025-08-09 22:00:00+00:00,long,long_1d_center_compression,35.97485195,0.09999886952862781,2760,3908.4,4305.73,False,359.5728,4
BNB/USDT:USDT,2025-08-14 00:00:00+00:00,2025-08-14 13:00:00+00:00,long,long_1d_center_compression,-7.90947695,-0.02118037513946787,780,848.29,831.34,False,373.2476,4
BTC/USDT:USDT,2025-08-11 00:00:00+00:00,2025-08-15 14:00:00+00:00,long,long_1d_center_compression,-5.39706489,-0.015077925834035404,6600,119255.3,117723.2,False,357.7659,4
BTC/USDT:USDT,2025-08-21 17:00:00+00:00,2025-08-22 14:00:00+00:00,short,short_pullback_restart,-5.5101393,-0.01635619787271634,1260,112350.8,114093.8,True,337.0524,4
XRP/USDT:USDT,2025-08-22 04:00:00+00:00,2025-08-22 14:00:00+00:00,short,short_compression_breakdown,-8.15723606,-0.03371264982198041,600,2.8314,2.9241,True,242.0847,4
