pair,matched_trades,baseline_profit_abs,winner_profit_abs,delta_abs,improved_count,worsened_count,same_count
DOGE/USDT:USDT,23,176.699,196.341,19.642,2,21,0
SUI/USDT:USDT,19,15.351,19.461,4.11,7,11,1
ADA/USDT:USDT,34,177.204,179.719,2.515,11,19,4
NEAR/USDT:USDT,26,-15.485,-13.248,2.237,5,4,17
SOL/USDT:USDT,24,98.176,98.411,0.235,13,4,7
PAXG/USDT:USDT,5,95.171,95.251,0.081,2,0,3
ZEC/USDT:USDT,15,122.994,122.883,-0.111,7,5,3
TAO/USDT:USDT,13,129.868,129.479,-0.389,4,9,0
BTC/USDT:USDT,37,233.766,233.025,-0.741,0,3,34
XRP/USDT:USDT,41,353.359,352.4,-0.959,19,21,1
ETH/USDT:USDT,30,267.83,266.846,-0.984,6,8,16
LINK/USDT:USDT,23,-19.313,-20.547,-1.234,10,11,2
BNB/USDT:USDT,23,281.862,273.108,-8.754,4,5,14
