pair,open_date,enter_tag,baseline_profit_abs,winner_profit_abs,delta_abs,baseline_exit_reason,winner_exit_reason,direction
ADA/USDT:USDT,2023-08-06 14:00:00+00:00,short_pullback_restart,-4.918,-4.918,0.0,stop_loss,stop_loss,same
ADA/USDT:USDT,2023-08-15 19:00:00+00:00,short_pullback_restart,17.22,17.22,0.0,partial_exit,partial_exit,same
ADA/USDT:USDT,2023-08-17 16:30:00+00:00,short_pullback_restart,19.292,19.292,0.0,roi,roi,same
ADA/USDT:USDT,2023-08-26 09:00:00+00:00,short_pullback_restart,-4.818,-4.828,-0.01,stop_loss,stop_loss,worsened
ADA/USDT:USDT,2023-09-26 16:00:00+00:00,short_pullback_restart,-3.722,-3.732,-0.01,trailing_stop_loss,trailing_stop_loss,worsened
ADA/USDT:USDT,2023-10-12 10:00:00+00:00,short_pullback_restart,-6.89,-6.909,-0.019,stop_loss,stop_loss,worsened
ADA/USDT:USDT,2023-11-03 00:00:00+00:00,long_1d_center_compression,-7.185,-7.205,-0.02,stop_loss,stop_loss,worsened
ADA/USDT:USDT,2024-01-18 11:00:00+00:00,short_pullback_restart,13.493,13.519,0.026,partial_exit,partial_exit,improved
ADA/USDT:USDT,2024-04-25 11:00:00+00:00,short_compression_breakdown,0.12,0.12,0.0,trailing_stop_loss,trailing_stop_loss,improved
ADA/USDT:USDT,2024-05-08 00:00:00+00:00,short_compression_breakdown,-8.583,-8.598,-0.015,stop_loss,stop_loss,worsened
ADA/USDT:USDT,2024-06-02 18:00:00+00:00,short_pullback_restart,-11.514,-8.552,2.962,trailing_stop_loss,trailing_stop_loss,improved
ADA/USDT:USDT,2024-06-10 07:00:00+00:00,short_pullback_restart,-8.306,-8.351,-0.045,stop_loss,stop_loss,worsened
ADA/USDT:USDT,2024-06-14 16:05:00+00:00,short_compression_breakdown,-0.302,-0.304,-0.002,trailing_stop_loss,trailing_stop_loss,worsened
ADA/USDT:USDT,2024-06-21 14:00:00+00:00,short_pullback_restart,-8.599,-8.655,-0.056,stop_loss,stop_loss,worsened
ADA/USDT:USDT,2024-07-07 14:00:00+00:00,short_pullback_restart,11.954,12.007,0.053,partial_exit,partial_exit,improved
ADA/USDT:USDT,2024-08-30 12:00:00+00:00,short_pullback_restart,13.298,13.245,-0.053,partial_exit,partial_exit,worsened
ADA/USDT:USDT,2024-12-03 00:00:00+00:00,long_1d_center_compression,48.771,48.771,0.0,roi,roi,same
ADA/USDT:USDT,2025-03-18 14:00:00+00:00,short_compression_breakdown,-11.5,-11.443,0.057,stop_loss,stop_loss,improved
ADA/USDT:USDT,2025-03-23 19:00:00+00:00,short_pullback_restart,-13.012,-12.964,0.048,stop_loss,stop_loss,improved
ADA/USDT:USDT,2025-04-06 08:00:00+00:00,short_compression_breakdown,40.947,40.756,-0.191,roi,roi,worsened
ADA/USDT:USDT,2025-06-02 09:00:00+00:00,short_pullback_restart,-17.173,-17.088,0.085,trailing_stop_loss,trailing_stop_loss,improved
ADA/USDT:USDT,2025-06-12 20:00:00+00:00,short_compression_breakdown,31.834,31.701,-0.133,roi,roi,worsened
ADA/USDT:USDT,2025-11-02 15:00:00+00:00,short_pullback_restart,23.763,23.699,-0.064,partial_exit,partial_exit,worsened
ADA/USDT:USDT,2025-11-11 20:00:00+00:00,short_compression_breakdown,0.023,0.023,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
ADA/USDT:USDT,2025-12-15 15:00:00+00:00,short_pullback_restart,0.408,0.407,-0.001,trailing_stop_loss,trailing_stop_loss,worsened
ADA/USDT:USDT,2025-12-21 02:00:00+00:00,short_pullback_restart,0.08,0.079,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
ADA/USDT:USDT,2025-12-23 14:00:00+00:00,short_compression_breakdown,0.111,0.111,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
ADA/USDT:USDT,2026-01-20 09:00:00+00:00,short_pullback_restart,0.101,0.101,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
ADA/USDT:USDT,2026-01-22 15:00:00+00:00,short_pullback_restart,-14.136,-14.053,0.083,trailing_stop_loss,trailing_stop_loss,improved
ADA/USDT:USDT,2026-01-29 03:00:00+00:00,short_pullback_restart,26.559,26.503,-0.056,partial_exit,partial_exit,worsened
ADA/USDT:USDT,2026-02-10 07:00:00+00:00,short_pullback_restart,-0.086,-0.086,0.0,trailing_stop_loss,trailing_stop_loss,improved
ADA/USDT:USDT,2026-02-22 13:00:00+00:00,short_compression_breakdown,-0.145,-0.145,0.0,trailing_stop_loss,trailing_stop_loss,improved
ADA/USDT:USDT,2026-03-27 11:00:00+00:00,short_compression_breakdown,-0.272,-0.271,0.001,trailing_stop_loss,trailing_stop_loss,improved
ADA/USDT:USDT,2026-05-31 15:00:00+00:00,short_pullback_restart,50.388,50.266,-0.123,partial_exit,partial_exit,worsened
BNB/USDT:USDT,2024-02-09 00:00:00+00:00,long_1d_center_compression,1.354,1.354,0.0,trailing_stop_loss,trailing_stop_loss,same
BNB/USDT:USDT,2024-06-04 00:00:00+00:00,long_1d_center_compression,38.883,39.51,0.627,roi,roi,improved
BNB/USDT:USDT,2024-07-04 02:00:00+00:00,short_compression_breakdown,17.724,17.724,0.0,roi,roi,same
BNB/USDT:USDT,2024-08-03 16:00:00+00:00,short_pullback_restart,38.226,30.847,-7.379,roi,roi,worsened
BNB/USDT:USDT,2024-08-07 15:00:00+00:00,short_pullback_restart,-8.704,-8.704,0.0,stop_loss,stop_loss,same
BNB/USDT:USDT,2024-08-31 17:00:00+00:00,short_pullback_restart,24.078,23.803,-0.275,partial_exit,partial_exit,worsened
BNB/USDT:USDT,2024-11-24 00:00:00+00:00,long_1d_center_compression,-0.243,-0.243,0.0,trailing_stop_loss,trailing_stop_loss,same
BNB/USDT:USDT,2025-01-28 22:00:00+00:00,short_pullback_restart,-11.761,-11.761,0.0,stop_loss,stop_loss,same
BNB/USDT:USDT,2025-02-27 15:00:00+00:00,short_pullback_restart,-0.135,-0.133,0.002,trailing_stop_loss,trailing_stop_loss,improved
BNB/USDT:USDT,2025-03-02 15:00:00+00:00,short_pullback_restart,-9.281,-9.281,0.0,stop_loss,stop_loss,same
BNB/USDT:USDT,2025-05-22 00:00:00+00:00,long_1d_center_compression,0.005,0.005,0.0,trailing_stop_loss,trailing_stop_loss,same
BNB/USDT:USDT,2025-06-22 14:00:00+00:00,short_pullback_restart,0.001,0.005,0.005,trailing_stop_loss,trailing_stop_loss,improved
BNB/USDT:USDT,2025-07-11 00:00:00+00:00,long_1d_center_compression,-0.067,-0.067,0.0,trailing_stop_loss,trailing_stop_loss,same
BNB/USDT:USDT,2025-08-14 00:00:00+00:00,long_1d_center_compression,-0.148,-0.148,0.0,trailing_stop_loss,trailing_stop_loss,same
BNB/USDT:USDT,2025-10-03 00:00:00+00:00,long_1d_center_compression,65.489,65.489,0.0,roi,roi,same
BNB/USDT:USDT,2025-11-20 17:00:00+00:00,short_pullback_restart,27.681,27.681,0.0,partial_exit,partial_exit,same
BNB/USDT:USDT,2025-11-25 15:00:00+00:00,short_pullback_restart,-15.992,-15.992,0.0,stop_loss,stop_loss,same
