feature,direction,quantile,threshold,kept,removed,kept_delta_profit_abs,removed_positive_profit,removed_negative_profit,estimated_improvement,positive_profit_kill_pct,negative_loss_removed_pct
close_position,keep_ge,0.3,0.0863616606517245,46,20,179.64367160999996,33.62358414,-48.21437822,14.590794079999997,12.107527521746531,42.79817563881201
ret_3h,keep_ge,0.4,-0.019009975531714685,40,26,174.22457544000002,43.03295539000001,-52.20465329999999,9.17169790999999,15.495751123887056,46.34019982383351
close_position,keep_ge,0.4,0.12209302325582315,40,26,173.12655154000004,52.69150185,-60.76517586,8.073674010000005,18.973700309720563,53.939068908303334
close_position,keep_le,0.7,0.19553962564715033,46,20,171.24101138999998,39.57721867000001,-45.76535253,6.188133859999998,14.25137374665394,40.62426330199161
stop_distance_from_add,keep_le,0.7,0.06949200831614397,46,20,170.73303629999995,50.46468291,-56.14484167999999,5.680158769999991,18.171844341905334,49.83776384027239
ret_24h,keep_ge,0.3,-0.025397629661579768,46,20,169.77231178,28.46565264,-33.185086889999994,4.719434249999999,10.250206263801264,29.457212344974575
ret_24h,keep_ge,0.2,-0.027950863450240226,53,13,167.81378243999998,23.27714643,-26.038051339999996,2.7609049100000007,8.38187534843063,23.113045022728578
atr_pct,keep_le,0.8,0.011637648430101262,53,13,166.00914733000002,19.742424240000005,-20.698694040000003,0.9562697999999992,7.109056067209495,18.373488899427134
body_ratio,keep_le,0.8,0.8575248281130544,53,13,165.68789515999998,24.827016289999996,-25.462033920000003,0.6350176300000054,8.939968498373906,22.601735002309216
ret_12h,keep_le,0.8,-0.014558643236616264,53,13,165.60056242999997,41.26943389,-41.817118789999995,0.5476849000000001,14.860724084308583,37.11955770781037
close_position,keep_le,0.8,0.22253521126760628,53,13,165.36411411999998,37.35090085,-37.66213744000001,0.3112365900000026,13.449698227305074,33.43132966965384
add_profit,keep_le,0.7,0.007194370701752297,46,20,162.27592809999996,58.92179111,-56.14484167999999,-2.776949430000002,21.21716722775662,49.83776384027239
ret_6h,keep_ge,0.2,-0.02361148376710487,53,13,162.18548465999996,10.015193920000002,-7.147801050000002,-2.867392869999999,3.6063744875363715,6.3448468291620115
add_delay_h,keep_ge,0.2,0.25,53,13,161.43159817999998,43.99044544000001,-40.36916609000001,-3.621279349999998,15.840534032333217,35.83426198775511
ret_24h,keep_ge,0.4,-0.022373265363919592,40,26,160.57597225,40.14085849,-35.663953209999995,-4.476905280000004,14.454334995656652,31.657613139617357
close_position,keep_ge,0.2,0.056000000000000445,53,13,160.31750222,14.76586186,-10.03048655,-4.735375309999999,5.317044075606909,8.90370343781738
add_profit,keep_le,0.6,0.007032205462698698,40,26,159.47277984,76.06302122,-70.48292353,-5.580097690000009,27.38955844129532,62.565165250281964
stop_distance_from_add,keep_le,0.6,0.06894860452174568,40,26,158.96556823999998,76.57023282,-70.48292353,-6.087309290000007,27.57220043391512,62.565165250281964
ret_3h,keep_ge,0.2,-0.024070159212525533,53,13,158.86687658999995,20.722852800000005,-14.53685186,-6.186000940000005,7.462098911300129,12.903842424366143
ret_3h,keep_ge,0.3,-0.02167209201580922,46,20,157.75520467999996,32.00791975,-24.710246899999998,-7.297672850000001,11.52574239775794,21.93440060720148
ema20_distance,keep_le,0.8,0.021756834859660915,53,13,155.65927555999997,13.136278170000004,-3.7426762,-9.393601970000002,4.73024674628257,3.3222395326951806
ema20_distance,keep_le,0.7,0.02080023152619884,46,20,153.58157126999998,22.45523251000001,-10.98392625,-11.471306260000002,8.085912093428675,9.750037690131549
body_ratio,keep_le,0.7,0.815217391304347,46,20,151.55047217,50.40324898,-36.90084362,-13.50240536,18.1497225777547,32.75555642889084
atr_pct,keep_le,0.7,0.010802146653558758,46,20,151.22404538,49.25882397,-35.429991820000005,-13.828832149999998,17.737626197801376,31.449933998423614
add_profit,keep_ge,0.2,0.0052624093301094094,53,13,150.56270413,25.307191040000006,-10.817017639999998,-14.490173400000002,9.112874782744603,9.60187889870599
ema50_slope3_4h,keep_le,0.7,-0.002868347248336345,46,20,149.28513398,51.32767864,-35.559935089999996,-15.767743549999999,18.48260075944306,31.56527998229517
ret_6h,keep_ge,0.3,-0.021378434900013288,46,20,147.74858324000002,43.17488909000001,-25.8705948,-17.304294290000005,15.546860076813013,22.96439985347874
ret_6h,keep_ge,0.4,-0.020077438110287282,40,26,147.43260025,45.96973840000001,-28.34946112,-17.620277280000003,16.553258288231035,25.16480064812152
ema50_slope3_4h,keep_le,0.8,-0.0019137884916086145,53,13,147.18716314999998,42.827975300000006,-24.96226092,-17.865714380000004,15.421939775556325,22.15810442107601
add_delay_h,keep_ge,0.3,0.3333333333333333,48,18,145.56907719999998,59.85296642000001,-40.36916609000001,-19.48380033000001,21.552474452782153,35.83426198775511
distance_ema50_4h,keep_ge,0.2,0.02205987428312414,53,13,143.14959710999997,46.861916730000004,-24.95863631,-21.903280420000005,16.87452307784429,22.1548869846778
ema20_distance,keep_le,0.6,0.019543670542037657,40,26,141.26867107,37.95831331000001,-14.174106850000001,-23.78420646,13.668421580707275,12.581846679046283
add_delay_h,keep_le,0.8,1.0,54,12,140.62465458999998,31.216428060000002,-6.78820512,-24.42822294,11.240733893607773,6.025646409301406
stop_distance_from_add,keep_ge,0.2,0.06703464303871015,53,13,138.21278913999998,37.65710603,-10.817017639999998,-26.84008839,13.55995975173729,9.60187889870599
atr_pct,keep_le,0.6,0.010002255701582558,40,26,137.77302615000002,62.7098432,-35.429991820000005,-27.279851379999997,22.581208156365502,31.449933998423614
add_profit,keep_le,0.8,0.008459026403776259,53,13,137.73643581999997,49.73402652,-22.41758481,-27.31644171,17.90874204103132,19.899286634341752
stop_distance_from_add,keep_le,0.8,0.07090493931017892,53,13,137.31343597,50.062811870000004,-22.32337031,-27.739441560000003,18.02713446633902,19.815655799151386
ret_24h,keep_le,0.7,-0.009563581953328903,46,20,137.27728261999997,85.76048242000002,-57.98488751000001,-27.77559491000001,30.88152044871234,51.471106579993496
add_delay_h,keep_ge,0.4,0.4166666666666667,40,26,135.67976162,84.06931977999999,-54.69620387,-29.373115910000003,30.27254913493764,48.5518599726231
ret_3h,keep_ge,0.6,-0.015509601181683985,27,39,133.24811414,115.42044615000002,-83.61568276,-31.80476339000002,41.56178658749582,74.22264496687447
ret_12h,keep_ge,0.2,-0.028306354399862177,53,13,132.80460480999994,40.725940300000005,-8.47766758,-32.24827272000001,14.665017297922608,7.52532168808092
add_profit,keep_ge,0.3,0.005576459596494388,46,20,132.11229272999998,47.49981594,-14.55923114,-32.940584799999996,17.104224415126396,12.923707709193415
body_ratio,keep_le,0.6,0.7979797979798018,40,26,131.88476545999998,78.16324026000001,-44.99512819,-33.16811207000001,28.145827009292674,39.94056275867663
distance_ema50_4h,keep_ge,0.3,0.027922313679998575,46,20,130.56579768999998,59.4796022,-24.992522359999995,-34.48707984000001,21.4180296074479,22.184966416854397
stop_distance_from_add,keep_ge,0.3,0.06743043330490897,46,20,129.66918443,47.535837240000006,-12.152144139999999,-35.383693099999995,17.117195336944345,10.787022844487074
body_ratio,keep_le,0.3,0.6864033134408032,20,46,128.08603885,122.74878935000001,-85.78195066999999,-36.966838680000016,44.20065211156852,76.14556335586332
ret_24h,keep_le,0.8,-0.005170863309352569,53,13,127.26127836,71.30126441,-33.509665240000004,-37.791599170000005,25.674895858362873,29.74532891402937
ema20_distance,keep_le,0.4,0.014675972329430258,27,39,126.35691716,106.04617392,-67.35021355,-38.69596037,38.18620180306333,59.784370871108926
ret_3h,keep_le,0.8,-0.010170990566037763,53,13,125.72717821,53.68088498999999,-14.355185670000001,-39.325699319999984,19.329967611481862,12.742583858056797
add_profit,keep_ge,0.4,0.005979344084073272,40,26,122.49644178,70.11700920999999,-27.56057346,-42.556435750000006,25.24845701213309,24.464533344498676
stop_distance_from_add,keep_ge,0.4,0.06790010936930367,40,26,122.49644178,70.11700920999999,-27.56057346,-42.556435750000006,25.24845701213309,24.464533344498676
add_delay_h,keep_le,0.7,0.8333333333333334,50,16,122.32654618999999,49.514557079999996,-6.78822574,-42.72633134,17.829713217872005,6.025664712936426
ret_6h,keep_ge,0.6,-0.014995313964386137,27,39,121.72157298999997,107.45382755,-64.12252301000001,-43.331304540000005,38.693084263759594,56.919265652737586
ret_6h,keep_ge,0.7,-0.013509682255849309,20,46,119.84359742999997,132.08414741,-86.87486731000001,-45.20928010000001,47.56222427966899,77.11570628924036
atr_pct,keep_le,0.4,0.008943678994440388,27,39,118.84234256,122.25031138,-76.03977641,-46.210534970000005,44.02115501466089,67.49778440534195
body_ratio,keep_le,0.2,0.6529928840519059,14,52,118.20395873,146.95790725,-100.10898845,-46.848918800000014,52.91812137454212,88.86316134073132
ret_12h,keep_ge,0.3,-0.02619944232741994,46,20,118.13807136999998,68.65460628,-21.73980012,-46.914806160000005,24.721859857911397,19.29764145547922
ema20_slope3,keep_le,0.8,-0.001798048965289789,53,13,116.48420782,76.36479083,-27.79612112,-48.56866971000001,27.49822275986079,24.673620560722682
ret_24h,keep_le,0.6,-0.014496418036241021,40,26,115.81448168,116.86396859000001,-67.62557274,-49.23839585,42.08158505983555,60.028797355748154
atr_pct_rank_30d,keep_ge,0.3,0.15833333333333333,46,20,114.99376629,86.67092389,-36.611812650000005,-50.059111239999986,31.209361618442085,32.498993995114915
ema20_slope3,keep_le,0.7,-0.0019445337097054316,46,20,113.41776433999999,94.29450663,-42.65939344,-51.63511319000001,33.95454004601652,37.86721472917306
atr_pct_rank_30d,keep_le,0.6,0.4375,40,26,112.61850236999999,103.30851077,-50.874135609999996,-52.43437516000001,37.20039577489323,45.159146953518885
ret_3h,keep_le,0.7,-0.012709321269105511,46,20,112.52825106,71.54492029,-19.02029382,-52.524626469999994,25.762633984692652,16.883633174647017
