sample,pair,matched_trades,baseline_profit_abs,winner_profit_abs,delta_abs,improved,worsened,same
3y,XRP/USDT:USDT,41,354.655,363.858,9.203,15,13,13
3y,BNB/USDT:USDT,23,274.947,282.417,7.471,4,6,13
3y,SUI/USDT:USDT,20,28.305,34.467,6.162,5,6,9
3y,SOL/USDT:USDT,24,99.144,102.922,3.778,8,12,4
3y,ETH/USDT:USDT,30,268.116,270.321,2.205,12,7,11
3y,TAO/USDT:USDT,13,130.206,131.756,1.55,7,4,2
3y,DOGE/USDT:USDT,23,197.65,199.072,1.422,13,1,9
3y,ADA/USDT:USDT,34,180.446,181.347,0.901,10,8,16
3y,PAXG/USDT:USDT,5,95.805,96.277,0.472,2,3,0
3y,ZEC/USDT:USDT,15,123.597,123.849,0.252,3,3,9
3y,LINK/USDT:USDT,23,-20.527,-20.49,0.037,3,8,12
3y,BTC/USDT:USDT,37,230.529,230.529,0.0,0,0,37
3y,NEAR/USDT:USDT,26,-12.683,-13.018,-0.335,6,8,12
5y,BNB/USDT:USDT,38,342.481,349.767,7.285,12,10,16
5y,SUI/USDT:USDT,20,33.71,40.693,6.983,11,9,0
5y,SOL/USDT:USDT,36,122.875,125.68,2.805,8,16,12
5y,NEAR/USDT:USDT,39,36.886,38.311,1.425,16,9,14
5y,LINK/USDT:USDT,35,-31.005,-30.176,0.828,20,15,0
5y,TAO/USDT:USDT,13,154.699,155.522,0.823,9,4,0
5y,ETH/USDT:USDT,42,361.803,362.323,0.52,15,9,18
5y,PAXG/USDT:USDT,5,113.693,114.063,0.37,1,2,2
5y,BTC/USDT:USDT,63,194.649,194.98,0.331,2,0,61
5y,ADA/USDT:USDT,55,236.673,236.413,-0.26,28,19,8
5y,XRP/USDT:USDT,55,464.673,464.077,-0.596,31,23,1
5y,ZEC/USDT:USDT,29,198.445,197.417,-1.028,5,20,4
5y,DOGE/USDT:USDT,47,276.789,274.677,-2.112,25,19,3
