sample,pair,open_date,enter_tag,baseline_profit_abs,winner_profit_abs,delta_abs,baseline_exit_reason,winner_exit_reason,direction,winner_entry_order_count
3y,ADA/USDT:USDT,2023-08-06 14:00:00+00:00,short_pullback_restart,-4.884,-4.884,0.0,stop_loss,stop_loss,same,1
3y,ADA/USDT:USDT,2023-08-15 19:00:00+00:00,short_pullback_restart,17.087,17.087,0.0,partial_exit,partial_exit,same,1
3y,ADA/USDT:USDT,2023-08-17 16:30:00+00:00,short_pullback_restart,19.131,19.131,0.0,roi,roi,same,1
3y,ADA/USDT:USDT,2023-08-26 09:00:00+00:00,short_pullback_restart,-4.781,-4.781,0.0,stop_loss,stop_loss,same,1
3y,ADA/USDT:USDT,2023-09-26 16:00:00+00:00,short_pullback_restart,-3.696,-3.696,0.0,trailing_stop_loss,trailing_stop_loss,same,1
3y,ADA/USDT:USDT,2023-10-12 10:00:00+00:00,short_pullback_restart,-6.952,-6.952,0.0,stop_loss,stop_loss,same,1
3y,ADA/USDT:USDT,2023-11-03 00:00:00+00:00,long_1d_center_compression,-7.245,-7.245,0.0,stop_loss,stop_loss,same,1
3y,ADA/USDT:USDT,2024-01-18 11:00:00+00:00,short_pullback_restart,13.596,13.596,0.0,partial_exit,partial_exit,same,1
3y,ADA/USDT:USDT,2024-04-25 11:00:00+00:00,short_compression_breakdown,0.121,0.121,0.0,trailing_stop_loss,trailing_stop_loss,same,1
3y,ADA/USDT:USDT,2024-05-08 00:00:00+00:00,short_compression_breakdown,-8.658,-8.658,0.0,stop_loss,stop_loss,same,1
3y,ADA/USDT:USDT,2024-06-02 18:00:00+00:00,short_pullback_restart,-8.603,-8.603,0.0,trailing_stop_loss,trailing_stop_loss,same,1
3y,ADA/USDT:USDT,2024-06-10 07:00:00+00:00,short_pullback_restart,-8.396,-8.396,0.0,stop_loss,stop_loss,same,1
3y,ADA/USDT:USDT,2024-06-14 16:05:00+00:00,short_compression_breakdown,-0.305,-0.305,0.0,trailing_stop_loss,trailing_stop_loss,same,1
3y,ADA/USDT:USDT,2024-06-21 14:00:00+00:00,short_pullback_restart,-8.696,-8.696,0.0,stop_loss,stop_loss,same,1
3y,ADA/USDT:USDT,2024-07-07 14:00:00+00:00,short_pullback_restart,12.062,12.062,0.0,partial_exit,partial_exit,same,2
3y,ADA/USDT:USDT,2024-08-30 12:00:00+00:00,short_pullback_restart,13.333,13.333,0.0,partial_exit,partial_exit,same,1
3y,ADA/USDT:USDT,2024-12-03 00:00:00+00:00,long_1d_center_compression,49.012,49.253,0.241,roi,roi,improved,1
