sample,pair,open_date,second_add_time,hours_after_open,hours_after_first_add,open_rate,first_add_rate,second_add_rate,profit_at_first_add,profit_at_second_add,extra_drop_after_first_add,final_profit_ratio,baseline_profit_abs,winner_profit_abs,delta_abs,delta_direction,exit_reason,baseline_exit_reason,trade_duration_min
3y,XRP/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-05T16:55:00+00:00,12.92,0.92,0.55,0.5459,0.5403,0.00751,0.01795,0.01036,0.05565,26.85713,32.38371,5.52658,improved,partial_exit,partial_exit,2205
3y,TAO/USDT:USDT,2024-11-02 13:00:00+00:00,2024-11-02T13:55:00+00:00,0.92,0.58,448.88,444.24,439.98,0.01044,0.02023,0.00968,0.07445,28.21736,28.75957,0.54221,improved,roi,roi,3415
3y,SUI/USDT:USDT,2025-01-26 21:00:00+00:00,2025-01-26T21:50:00+00:00,0.83,0.67,4.0634,4.0519,3.988,0.00284,0.01891,0.01602,0.10001,50.31738,56.57906,6.26168,improved,roi,roi,495
3y,LINK/USDT:USDT,2025-02-06 15:00:00+00:00,2025-02-06T15:45:00+00:00,0.75,0.42,19.056,19.007,18.693,0.00258,0.01942,0.0168,3e-05,0.18451,0.01091,-0.1736,worsened,trailing_stop_loss,trailing_stop_loss,650
3y,ETH/USDT:USDT,2025-02-26 13:00:00+00:00,2025-02-26T14:25:00+00:00,1.42,0.42,2422.9,2415.74,2375.0,0.00296,0.02017,0.01715,0.0,0.00102,0.00207,0.00105,improved,trailing_stop_loss,trailing_stop_loss,105
3y,SOL/USDT:USDT,2025-04-05 14:00:00+00:00,2025-04-06T13:25:00+00:00,23.42,0.42,117.24,116.38,115.06,0.00739,0.01895,0.01147,0.05348,17.67205,20.7432,3.07115,improved,partial_exit,partial_exit,1685
3y,ETH/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-20T16:30:00+00:00,0.5,0.33,2941.14,2917.84,2888.81,0.00799,0.01811,0.01005,0.04953,26.24627,26.35394,0.10767,improved,partial_exit,partial_exit,660
3y,XRP/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-20T16:15:00+00:00,0.25,0.08,2.0746,2.0571,2.0374,0.00851,0.01826,0.00967,0.04908,31.24732,31.50589,0.25856,improved,partial_exit,partial_exit,660
3y,ADA/USDT:USDT,2025-12-15 15:00:00+00:00,2025-12-15T15:25:00+00:00,0.42,0.33,0.391,0.3899,0.3839,0.00282,0.01849,0.01563,-6e-05,0.40997,-0.03374,-0.44371,worsened,trailing_stop_loss,trailing_stop_loss,1185
3y,BNB/USDT:USDT,2026-04-01 14:00:00+00:00,2026-04-02T02:45:00+00:00,12.75,0.75,608.59,604.51,596.88,0.00675,0.01962,0.01278,0.05094,58.38168,66.30538,7.9237,improved,partial_exit,partial_exit,1370
3y,XRP/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-05T06:10:00+00:00,76.17,75.75,1.322,1.3186,1.298,0.00258,0.01849,0.01587,0.0003,-0.28058,0.26643,0.54701,improved,stale_loss_72h,trailing_stop_loss,5595
