column,op,threshold,removed_count,removed_improved,removed_worsened,removed_delta_abs,kept_count,kept_delta_abs,estimated_gain_if_removed
profit_at_second_add,<=,0.01793,4,1,3,-12.20294,27,53.87335,12.20294
profit_at_second_add,<,0.01795,4,1,3,-12.20294,27,53.87335,12.20294
ret_1h,>,0.00786,1,0,1,-10.77686,30,52.44727,10.77686
ret_3h,>,-0.00907,1,0,1,-10.77686,30,52.44727,10.77686
vol_ratio_24_1h,<,1.76309,1,0,1,-10.77686,30,52.44727,10.77686
ret_4h_1,>,-0.00604,1,0,1,-10.77686,30,52.44727,10.77686
dist_ema20_4h,>,-0.0149,1,0,1,-10.77686,30,52.44727,10.77686
close_position_1h,>,0.77215,3,2,1,-10.77314,28,52.44355,10.77314
close_position_1h,>=,0.89216,3,2,1,-10.77314,28,52.44355,10.77314
ret_1h,>,0.00062,3,2,1,-10.77314,28,52.44355,10.77314
ret_1h,>=,0.00786,3,2,1,-10.77314,28,52.44355,10.77314
ret_24h,>,-0.00987,3,2,1,-10.77314,28,52.44355,10.77314
ret_24h,>=,-0.00346,3,2,1,-10.77314,28,52.44355,10.77314
ema20_slope_3_4h,>,-0.00404,6,3,3,-10.1863,25,51.85671,10.1863
ema20_slope_3_4h,>=,-0.00401,6,3,3,-10.1863,25,51.85671,10.1863
dist_ema50_1h,>,-0.0226,4,2,2,-9.77885,27,51.44926,9.77885
dist_ema50_1h,>=,-0.01971,4,2,2,-9.77885,27,51.44926,9.77885
dist_ema20_4h,>,-0.02214,4,2,2,-9.77885,27,51.44926,9.77885
dist_ema20_4h,>=,-0.02142,4,2,2,-9.77885,27,51.44926,9.77885
close_position_1h,>,0.55844,6,4,2,-9.67211,25,51.34252,9.67211
close_position_1h,>=,0.74423,6,4,2,-9.67211,25,51.34252,9.67211
ret_3h,>,-0.01176,3,2,1,-9.58334,28,51.25375,9.58334
ret_3h,>=,-0.00907,3,2,1,-9.58334,28,51.25375,9.58334
ret_12h,>,-0.02043,3,2,1,-9.58334,28,51.25375,9.58334
