pair,open_date,close_date,profit_pct,profit_abs,exit_reason,mfe_pct,mae_pct,touched_5pct,hours_to_5pct,reached_10pct,hours_open_to_close,post5_extra_mfe_pct,post5_retrace_to_be,post5_retrace_to_lock1,post5_retrace_to_lock2,post5_retrace_to_lock3,post5_retrace_to_lock4,sim_be,sim_lock1,sim_lock2,sim_lock3,sim_lock4
NEAR/USDT:USDT,2022-11-18 18:00:00+00:00,2022-11-20 21:30:00+00:00,9.975799466800545,15.33670352,roi,10.57692307692308,1.244343891402716,True,41.5,True,51.5,5.5769230769230775,False,False,False,False,True,reach10_first,reach10_first,reach10_first,reach10_first,stop_first
SOL/USDT:USDT,2022-11-18 15:00:00+00:00,2022-11-21 00:05:00+00:00,9.998002619890563,23.37346958,roi,11.782229835406262,1.1767334475311035,True,11.5,True,57.083333333333336,6.782229835406262,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
DOGE/USDT:USDT,2022-11-18 18:00:00+00:00,2022-11-21 00:05:00+00:00,10.003208766124063,27.87671326,roi,10.586552217453505,2.2889842632331967,True,48.0,True,54.083333333333336,5.5865522174535,False,False,False,False,True,reach10_first,reach10_first,reach10_first,reach10_first,stop_first
ADA/USDT:USDT,2022-11-24 11:00:00+00:00,2022-11-26 01:20:00+00:00,-2.966318784216192,-7.88965589,stop_loss,1.7908538535337366,3.389830508474576,False,,False,,,,,,,,,,,,
TRX/USDT:USDT,2022-12-06 06:00:00+00:00,2022-12-06 22:25:00+00:00,-2.0148294816146395,-7.32412848,stop_loss,0.20908572514730847,1.8627637331305866,False,,False,,,,,,,,,,,,
NEAR/USDT:USDT,2022-12-11 15:00:00+00:00,2022-12-13 14:20:00+00:00,-1.4601508022069534,-5.22881258,stop_loss,7.988165680473373,2.899408284023678,True,11.833333333333334,False,47.333333333333336,2.9881656804733723,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
BNB/USDT:USDT,2022-12-14 14:00:00+00:00,2022-12-16 16:05:00+00:00,9.998629066997738,21.5750474,roi,10.831542281182841,1.5674794337804645,True,43.0,True,50.083333333333336,5.831542281182844,False,False,False,False,False,reach10_first,reach10_first,reach10_first,reach10_first,reach10_first
ADA/USDT:USDT,2022-12-16 09:00:00+00:00,2022-12-16 22:35:00+00:00,10.010388720549937,21.91929396,roi,12.94077370763437,0.03423485107839403,True,13.5,True,13.583333333333334,7.940773707634359,False,False,False,False,True,reach10_first,reach10_first,reach10_first,reach10_first,stop_first
NEAR/USDT:USDT,2022-12-16 09:00:00+00:00,2022-12-16 22:35:00+00:00,10.004892735197544,24.42933198,roi,14.240102171136659,0.0,True,7.083333333333333,True,13.583333333333334,9.240102171136657,False,False,False,False,True,reach10_first,reach10_first,reach10_first,reach10_first,stop_first
BNB/USDT:USDT,2022-12-22 14:00:00+00:00,2022-12-23 02:55:00+00:00,-2.3800086380749117,-8.14517967,trailing_stop_loss,1.1694943172459247,2.330752759018282,False,,False,,,,,,,,,,,,
