pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,entry_year,market_state_date,breadth_up_count,breadth_available_count,breadth_ratio_fixed13,breadth_rule_pass,breadth_state
BNB/USDT:USDT,345.5625,345.5625,0.97,2021-08-08 00:00:00+00:00,2021-08-08 02:15:00+00:00,356.25,349.13,0.0005,0.0005,135,-0.020965489185231945,-7.2485093,stop_loss,334.88,-0.06,349.13,-0.020000000000000018,348.5,358.73,False,long_1d_center_compression,1.0,False,1628380800000,1628388900000,"[{'amount': 0.97, 'safe_price': 356.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1628380800000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 345.73528124999996}, {'amount': 0.97, 'safe_price': 349.13, 'ft_order_side': 'sell', 'order_filled_timestamp': 1628388900000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 338.82542804999997}]",0.0,6,2021,2021-08-07 20:00:00+00:00,9,10,0.6923076923076923,True,pass
ZEC/USDT:USDT,343.9072,343.9072,2.08,2021-08-24 00:00:00+00:00,2021-08-24 04:10:00+00:00,165.34,165.51,0.0005,0.0005,250,-0.0003218054010000332,-0.11072653,trailing_stop_loss,155.42,-0.06,165.51,-0.02872453051643198,164.17,171.3,False,long_1d_center_compression,1.0,False,1629763200000,1629778200000,"[{'amount': 2.08, 'safe_price': 165.34, 'ft_order_side': 'buy', 'order_filled_timestamp': 1629763200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 344.07915360000004}, {'amount': 2.08, 'safe_price': 165.51, 'ft_order_side': 'sell', 'order_filled_timestamp': 1629778200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 344.4329304}]",-0.12024252656000001,1,2021,2021-08-23 20:00:00+00:00,10,10,0.7692307692307693,True,pass
ZEC/USDT:USDT,343.96957,343.96957,1.987,2021-09-06 00:00:00+00:00,2021-09-06 11:40:00+00:00,173.11,169.61,0.0005,0.0005,700,-0.02293457244630319,-7.89273942,stop_loss,162.73,-0.06,169.61,-0.02022646408781814,168.35,176.38,False,long_1d_center_compression,1.0,False,1630886400000,1630928400000,"[{'amount': 1.987, 'safe_price': 173.11, 'ft_order_side': 'buy', 'order_filled_timestamp': 1630886400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 344.14155478500004}, {'amount': 1.987, 'safe_price': 169.61, 'ft_order_side': 'sell', 'order_filled_timestamp': 1630928400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 337.18357753500004}]",-0.5977470986153948,0,2021,2021-09-05 20:00:00+00:00,10,10,0.7692307692307693,True,pass
XRP/USDT:USDT,341.25324,341.25324,245.4,2021-09-07 00:00:00+00:00,2021-09-07 06:50:00+00:00,1.3906,1.3628,0.0005,0.0005,410,-0.021376528367078335,-7.29845697,stop_loss,1.3072,-0.06,1.3628,-0.020000027355214445,1.3588,1.3937,False,long_1d_center_compression,1.0,False,1630972800000,1630997400000,"[{'amount': 245.4, 'safe_price': 1.3906, 'ft_order_side': 'buy', 'order_filled_timestamp': 1630972800000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 341.42386662}, {'amount': 245.4, 'safe_price': 1.3628, 'ft_order_side': 'sell', 'order_filled_timestamp': 1630997400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 334.59833556}]",-0.1384947879837291,1,2021,2021-09-06 20:00:00+00:00,9,10,0.6923076923076923,True,pass
BTC/USDT:USDT,338.0348,338.0348,0.005,2021-11-09 00:00:00+00:00,2021-11-10 13:30:00+00:00,67606.96,66254.83,0.0005,0.0005,2250,-0.023474436158153193,-7.93914392,stop_loss,63550.55,-0.06,66254.83,-0.02000000721079609,65850.0,68675.16,False,long_1d_center_compression,1.0,False,1636416000000,1636551000000,"[{'amount': 0.005, 'safe_price': 67606.96, 'ft_order_side': 'buy', 'order_filled_timestamp': 1636416000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 338.2038174}, {'amount': 0.005, 'safe_price': 66254.83, 'ft_order_side': 'sell', 'order_filled_timestamp': 1636551000000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 331.439787075}]",-0.8438394482191126,2,2021,2021-11-08 20:00:00+00:00,8,10,0.6153846153846154,True,pass
ZEC/USDT:USDT,338.15704,338.15704,1.688,2021-11-10 00:00:00+00:00,2021-11-10 00:00:00+00:00,200.33,198.83,0.0005,0.0005,0,-0.0088177473351755,-2.98327423,trailing_stop_loss,188.32,-0.06,200.54,-0.02418330900243315,198.83,205.5,False,long_1d_center_compression,1.0,False,1636502400000,1636502400000,"[{'amount': 1.688, 'safe_price': 200.33, 'ft_order_side': 'buy', 'order_filled_timestamp': 1636502400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 338.32611851999997}, {'amount': 1.688, 'safe_price': 198.83, 'ft_order_side': 'sell', 'order_filled_timestamp': 1636502400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 335.79285252}]",-0.11438318604855784,2,2021,2021-11-09 20:00:00+00:00,9,10,0.6923076923076923,True,pass
BTC/USDT:USDT,389.3232,389.3232,0.016,2023-02-16 00:00:00+00:00,2023-02-16 14:35:00+00:00,24332.7,24357.1,0.0005,0.0005,875,-0.00019884805713874865,-0.07745487,trailing_stop_loss,22872.8,-0.06,24357.1,-0.020350211157141196,24287.0,24934.1,False,long_1d_center_compression,1.0,False,1676505600000,1676558100000,"[{'amount': 0.016, 'safe_price': 24332.7, 'ft_order_side': 'buy', 'order_filled_timestamp': 1676505600000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 389.5178616}, {'amount': 0.016, 'safe_price': 24357.1, 'ft_order_side': 'sell', 'order_filled_timestamp': 1676558100000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 389.90845679999995}]",-0.07833646772059201,3,2023,2023-02-15 20:00:00+00:00,6,10,0.46153846153846156,False,reject
ETH/USDT:USDT,414.4308,414.4308,0.206,2023-04-14 00:00:00+00:00,2023-04-19 08:10:00+00:00,2011.8,2013.82,0.0005,0.0005,7690,-0.001759254368648032,-0.72945374,trailing_stop_loss,1891.1,-0.06,2013.82,-0.05778648026500499,2009.0,2146.1,False,long_1d_center_compression,1.0,False,1681430400000,1681891800000,"[{'amount': 0.206, 'safe_price': 2011.8, 'ft_order_side': 'buy', 'order_filled_timestamp': 1681430400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 414.6380154}, {'amount': 0.206, 'safe_price': 2013.82, 'ft_order_side': 'sell', 'order_filled_timestamp': 1681891800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 415.0543434599999}]",-0.730934878955058,2,2023,2023-04-13 20:00:00+00:00,10,10,0.7692307692307693,True,pass
BTC/USDT:USDT,396.888,396.888,0.012,2023-10-24 00:00:00+00:00,2023-11-09 02:20:00+00:00,33074.0,36587.2,0.0005,0.0005,23180,0.09999962741110346,39.70849645,roi,31089.6,-0.06,33107.1,-0.02180310237849037,32833.5,36888.0,False,long_1d_center_compression,1.0,False,1698105600000,1699496400000,"[{'amount': 0.012, 'safe_price': 33074.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1698105600000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 397.08644400000003}, {'amount': 0.012, 'safe_price': 36587.2, 'ft_order_side': 'sell', 'order_filled_timestamp': 1699496400000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 439.2659231999999}]",-2.031936354435504,3,2023,2023-10-23 20:00:00+00:00,7,11,0.5384615384615384,True,pass
ADA/USDT:USDT,419.9667,419.9667,1299.0,2023-11-03 00:00:00+00:00,2023-11-03 01:15:00+00:00,0.3233,0.3169,0.0005,0.0005,75,-0.020875481261994688,-8.77139048,stop_loss,0.304,-0.06,0.3169,-0.01999999154583787,0.3141,0.3271,False,long_1d_center_compression,1.0,False,1698969600000,1698974100000,"[{'amount': 1299.0, 'safe_price': 0.3233, 'ft_order_side': 'buy', 'order_filled_timestamp': 1698969600000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 420.1766833499999}, {'amount': 1299.0, 'safe_price': 0.3169, 'ft_order_side': 'sell', 'order_filled_timestamp': 1698974100000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 411.85892655}]",-0.041980580586,4,2023,2023-11-02 20:00:00+00:00,10,11,0.7692307692307693,True,pass
