comparison,pair,side,enter_tag,open_date,close_date,profit_abs,profit_ratio,exit_reason,difference
max4_unrestricted_vs_max3,BNB/USDT:USDT,short,short_pullback_restart,2021-12-17 15:30:00+00:00,2021-12-18 19:45:00+00:00,-6.46675925,-0.035722535844717594,stop_loss,base_only
max4_unrestricted_vs_max3,BTC/USDT:USDT,short,short_pullback_restart,2022-04-29 17:00:00+00:00,2022-05-01 15:50:00+00:00,0.00827832,3.584987534449936e-05,trailing_stop_loss,base_only
max4_unrestricted_vs_max3,ADA/USDT:USDT,short,short_compression_breakdown,2024-06-14 16:05:00+00:00,2024-06-14 16:05:00+00:00,-0.380276,-0.0010005002501250625,trailing_stop_loss,base_only
max4_unrestricted_vs_max3,NEAR/USDT:USDT,short,short_pullback_restart,2025-08-31 23:00:00+00:00,2025-09-01 09:05:00+00:00,-18.306597959999998,-0.017029199793518628,trailing_stop_loss,base_only
max4_unrestricted_vs_max3,BNB/USDT:USDT,short,short_pullback_restart,2021-12-17 15:00:00+00:00,2021-12-18 19:45:00+00:00,-7.120932,-0.0394788655164261,stop_loss,candidate_only
max4_unrestricted_vs_max3,DOGE/USDT:USDT,short,short_compression_breakdown,2021-12-29 13:00:00+00:00,2021-12-29 23:20:00+00:00,0.01501792,0.00010377524301602838,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,BNB/USDT:USDT,short,short_pullback_restart,2022-04-23 03:00:00+00:00,2022-04-25 07:05:00+00:00,4.46975679,0.05044856411324769,partial_exit,candidate_only
max4_unrestricted_vs_max3,BTC/USDT:USDT,short,short_pullback_restart,2022-04-29 11:00:00+00:00,2022-05-02 00:15:00+00:00,0.05046518,0.0002603303740064002,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,SOL/USDT:USDT,short,short_pullback_restart,2022-04-29 17:00:00+00:00,2022-04-30 01:50:00+00:00,0.01787009,9.517087780608243e-05,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,BNB/USDT:USDT,short,short_pullback_restart,2022-04-30 14:00:00+00:00,2022-05-04 15:55:00+00:00,-0.35348116,-0.0019112133457907363,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,SOL/USDT:USDT,short,short_compression_breakdown,2022-09-01 15:00:00+00:00,2022-09-01 22:00:00+00:00,-7.12398761,-0.03572859688604701,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,SOL/USDT:USDT,short,short_compression_breakdown,2022-09-16 14:00:00+00:00,2022-09-17 14:45:00+00:00,-6.73973082,-0.036752239117488705,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,BNB/USDT:USDT,short,short_pullback_restart,2022-09-18 10:00:00+00:00,2022-09-18 14:00:00+00:00,-3.8550575,-0.020064746331142337,stop_loss,candidate_only
max4_unrestricted_vs_max3,DOGE/USDT:USDT,short,short_pullback_restart,2023-05-24 04:00:00+00:00,2023-05-25 19:05:00+00:00,0.03151746,0.000430215216754256,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,BNB/USDT:USDT,short,short_pullback_restart,2023-08-17 16:30:00+00:00,2023-08-17 21:45:00+00:00,7.96433925,0.06225014364064073,partial_exit,candidate_only
max4_unrestricted_vs_max3,DOGE/USDT:USDT,short,short_pullback_restart,2023-08-24 15:00:00+00:00,2023-08-27 15:05:00+00:00,-4.02909345,-0.013791272172316555,stale_loss_72h,candidate_only
max4_unrestricted_vs_max3,BNB/USDT:USDT,short,short_pullback_restart,2023-10-12 10:00:00+00:00,2023-10-12 11:50:00+00:00,-0.60440355,-0.01746755817508047,stop_loss,candidate_only
max4_unrestricted_vs_max3,DOGE/USDT:USDT,short,short_pullback_restart,2024-05-12 08:00:00+00:00,2024-05-13 06:40:00+00:00,0.07523944,0.0002476339025524409,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,ADA/USDT:USDT,short,short_compression_breakdown,2024-06-14 16:00:00+00:00,2024-06-14 21:35:00+00:00,0.11892129,0.0003096567626172854,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,TAO/USDT:USDT,short,short_pullback_restart,2024-06-27 06:00:00+00:00,2024-06-27 12:30:00+00:00,-8.64546062,-0.04424872756306944,stop_loss,candidate_only
max4_unrestricted_vs_max3,NEAR/USDT:USDT,short,short_pullback_restart,2024-08-31 17:00:00+00:00,2024-09-01 08:10:00+00:00,0.04206961,0.0004179806884574363,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,LINK/USDT:USDT,short,short_pullback_restart,2024-09-05 04:00:00+00:00,2024-09-06 02:25:00+00:00,0.0212388,7.562128289038766e-05,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,SOL/USDT:USDT,short,short_pullback_restart,2025-02-09 22:00:00+00:00,2025-02-10 00:05:00+00:00,-14.38440741,-0.04341135812524185,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,XRP/USDT:USDT,short,short_pullback_restart,2025-03-09 10:00:00+00:00,2025-03-10 17:00:00+00:00,40.18077238,0.09999968363077587,roi,candidate_only
max4_unrestricted_vs_max3,LINK/USDT:USDT,short,short_compression_breakdown,2025-06-14 17:00:00+00:00,2025-06-15 06:00:00+00:00,-14.89239886,-0.03601552827531003,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,NEAR/USDT:USDT,short,short_pullback_restart,2025-08-29 08:00:00+00:00,2025-09-01 08:25:00+00:00,0.88599181,0.0016533771795099693,stale_loss_72h,candidate_only
max4_unrestricted_vs_max3,XRP/USDT:USDT,short,short_pullback_restart,2025-09-01 00:00:00+00:00,2025-09-01 07:45:00+00:00,0.01178963,2.9648255870473912e-05,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,LINK/USDT:USDT,short,short_pullback_restart,2025-09-24 04:00:00+00:00,2025-09-25 17:15:00+00:00,24.38080612,0.05037833961971835,partial_exit,candidate_only
max4_unrestricted_vs_max3,SUI/USDT:USDT,short,short_pullback_restart,2025-09-28 02:00:00+00:00,2025-09-28 20:15:00+00:00,-18.64554751,-0.027570400980915385,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,SOL/USDT:USDT,short,short_pullback_restart,2025-11-06 13:00:00+00:00,2025-11-06 17:45:00+00:00,0.04078996,8.00088402656546e-05,trailing_stop_loss,candidate_only
max4_unrestricted_vs_max3,NEAR/USDT:USDT,short,short_pullback_restart,2025-12-15 15:00:00+00:00,2025-12-16 18:45:00+00:00,0.04566942,9.377466082114234e-05,trailing_stop_loss,candidate_only
