run,year,trades,profit_abs,profit_factor
max3_current,2021,31,-63.91035459,0.29245556
max3_current,2022,92,169.53180181,1.67675534
max3_current,2023,84,100.37084588,1.36566688
max3_current,2024,90,629.80487232,2.89800282
max3_current,2025,129,1005.88592382,2.44064154
max3_current,2026,55,931.99676349,4.15213659
max4_unrestricted,2021,32,-64.55701764,0.29043529
max4_unrestricted,2022,98,166.22618615,1.64207891
max4_unrestricted,2023,88,116.15981203,1.41827759
max4_unrestricted,2024,94,605.60007494,2.76516777
max4_unrestricted,2025,139,1018.9828288,2.39122714
max4_unrestricted,2026,63,892.3108463,3.69079491
max4_3short_1long,2021,30,-60.94255354,0.30278032
max4_3short_1long,2022,92,170.38562301,1.67819027
max4_3short_1long,2023,81,117.92519195,1.4573708
max4_3short_1long,2024,85,412.51112598,2.30101688
max4_3short_1long,2025,127,674.42563321,2.10712707
max4_3short_1long,2026,55,751.11721378,4.13050658
