signal_date,year,older_occupants,same_candle_slots,candidate_count,rejected_count,all_short_candidates,admission_addressable,policy_evaluable,actual_pairs,actual_tags,rejected_pairs,rejected_tags,policy_pairs,policy_tags,actual_sum_return,pullback_first_sum_return,pullback_first_delta,policy_changed_selection,oracle_sum_return,oracle_delta
2021-12-17 15:00:00+00:00,2021,2,1,2,1,True,True,True,BTC/USDT:USDT,short_compression_breakdown,BNB/USDT:USDT,short_pullback_restart,BNB/USDT:USDT,short_pullback_restart,-0.040650508440663084,-0.0394788655164261,0.001171642924236986,True,-0.0394788655164261,0.001171642924236986
2021-12-29 13:00:00+00:00,2021,1,2,3,1,True,True,True,BTC/USDT:USDT|ETH/USDT:USDT,short_compression_breakdown|short_compression_breakdown,DOGE/USDT:USDT,short_compression_breakdown,ETH/USDT:USDT|BTC/USDT:USDT,short_compression_breakdown|short_compression_breakdown,-0.029365271328114645,-0.029365271328114645,0.0,False,0.00025726948227353547,0.02962254081038818
2022-04-23 03:00:00+00:00,2022,3,0,1,1,True,False,False,,,BNB/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2022-04-24 00:00:00+00:00,2022,2,1,2,1,True,True,True,ADA/USDT:USDT,short_pullback_restart,XRP/USDT:USDT,short_pullback_restart,ADA/USDT:USDT,short_pullback_restart,0.06183436539702065,0.06183436539702065,0.0,False,0.06183436539702065,0.0
2022-04-29 11:00:00+00:00,2022,3,0,2,2,True,False,False,,,BTC/USDT:USDT|LINK/USDT:USDT,short_pullback_restart|short_compression_breakdown,,,0.0,,,False,,
2022-04-29 17:00:00+00:00,2022,2,1,2,1,True,True,True,BTC/USDT:USDT,short_pullback_restart,SOL/USDT:USDT,short_pullback_restart,BTC/USDT:USDT,short_pullback_restart,3.584987534449936e-05,3.584987534449936e-05,0.0,False,9.51708700678745e-05,5.932099472337514e-05
2022-04-30 14:00:00+00:00,2022,3,0,1,1,True,False,False,,,BNB/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2022-04-30 15:00:00+00:00,2022,3,0,4,4,True,False,False,,,ADA/USDT:USDT|DOGE/USDT:USDT|LINK/USDT:USDT|SOL/USDT:USDT,short_pullback_restart|short_compression_breakdown|short_pullback_restart|short_compression_breakdown,,,0.0,,,False,,
2022-05-03 19:00:00+00:00,2022,3,0,1,1,True,False,False,,,ADA/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2022-09-01 15:00:00+00:00,2022,2,1,2,1,True,True,True,BNB/USDT:USDT,short_compression_breakdown,SOL/USDT:USDT,short_compression_breakdown,BNB/USDT:USDT,short_compression_breakdown,-0.03127349472913704,-0.03127349472913704,0.0,False,-0.03127349472913704,0.0
2022-09-16 14:00:00+00:00,2022,0,3,4,1,True,True,True,ADA/USDT:USDT|ETH/USDT:USDT|ZEC/USDT:USDT,short_compression_breakdown|short_compression_breakdown|short_compression_breakdown,SOL/USDT:USDT,short_compression_breakdown,ETH/USDT:USDT|ZEC/USDT:USDT|ADA/USDT:USDT,short_compression_breakdown|short_compression_breakdown|short_compression_breakdown,0.06535534462326698,0.06535534462326698,0.0,False,0.06535534462326698,0.0
2022-09-18 10:00:00+00:00,2022,1,2,3,1,True,True,True,BTC/USDT:USDT|ZEC/USDT:USDT,short_pullback_restart|short_pullback_restart,BNB/USDT:USDT,short_pullback_restart,ZEC/USDT:USDT|BTC/USDT:USDT,short_pullback_restart|short_pullback_restart,0.05162700223516506,0.05162700223516506,0.0,False,0.05162700223516506,0.0
2023-03-04 20:00:00+00:00,2023,3,0,1,1,True,False,False,,,ADA/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2023-05-24 04:00:00+00:00,2023,1,2,4,2,True,True,True,SOL/USDT:USDT|ZEC/USDT:USDT,short_pullback_restart|short_pullback_restart,DOGE/USDT:USDT|NEAR/USDT:USDT,short_pullback_restart|short_pullback_restart,ZEC/USDT:USDT|SOL/USDT:USDT,short_pullback_restart|short_pullback_restart,0.0007288281888649503,0.0007288281888649503,0.0,False,0.0008614939464391324,0.00013266575757418212
2023-08-17 15:00:00+00:00,2023,1,2,6,4,True,True,True,ETH/USDT:USDT|ZEC/USDT:USDT,short_pullback_restart|short_pullback_restart,ADA/USDT:USDT|BNB/USDT:USDT|DOGE/USDT:USDT|NEAR/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart|short_pullback_restart,ETH/USDT:USDT|ZEC/USDT:USDT,short_pullback_restart|short_pullback_restart,0.10022070655613895,0.10022070655613895,0.0,False,0.20031412219806394,0.10009341564192499
2023-08-17 16:00:00+00:00,2023,3,0,2,2,True,False,False,,,LINK/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart,,,0.0,,,False,,
2023-08-24 15:00:00+00:00,2023,0,3,5,2,True,True,True,ETH/USDT:USDT|SOL/USDT:USDT|ZEC/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,DOGE/USDT:USDT|LINK/USDT:USDT,short_pullback_restart|short_pullback_restart,ETH/USDT:USDT|ZEC/USDT:USDT|SOL/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,-0.010248901876452714,-0.010248901876452714,0.0,False,0.050373868931044105,0.06062277080749682
2023-10-12 10:00:00+00:00,2023,1,2,4,2,True,True,True,ADA/USDT:USDT|ETH/USDT:USDT,short_pullback_restart|short_pullback_restart,BNB/USDT:USDT|NEAR/USDT:USDT,short_pullback_restart|short_pullback_restart,ETH/USDT:USDT|ADA/USDT:USDT,short_pullback_restart|short_pullback_restart,-0.03951870046827692,-0.03951870046827692,0.0,False,-0.03708377271887736,0.0024349277493995597
2024-02-12 00:00:00+00:00,2024,3,0,1,1,False,False,False,,,LINK/USDT:USDT,long_1d_center_compression,,,0.0,,,False,,
2024-05-12 08:00:00+00:00,2024,3,0,1,1,True,False,False,,,DOGE/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2024-05-13 02:00:00+00:00,2024,3,0,1,1,True,False,False,,,SUI/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2024-05-13 03:00:00+00:00,2024,3,0,1,1,True,False,False,,,SOL/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2024-06-14 16:00:00+00:00,2024,3,0,2,2,True,False,False,,,ADA/USDT:USDT|DOGE/USDT:USDT,short_compression_breakdown|short_pullback_restart,,,0.0,,,False,,
2024-06-27 06:00:00+00:00,2024,2,1,2,1,True,True,True,DOGE/USDT:USDT,short_compression_breakdown,TAO/USDT:USDT,short_pullback_restart,TAO/USDT:USDT,short_pullback_restart,-0.030859917748501157,-0.0442487275912843,-0.013388809842783143,True,-0.030859917748501157,0.0
2024-08-31 17:00:00+00:00,2024,2,1,2,1,True,True,True,BNB/USDT:USDT,short_pullback_restart,NEAR/USDT:USDT,short_pullback_restart,BNB/USDT:USDT,short_pullback_restart,0.05023980278372794,0.05023980278372794,0.0,False,0.05023980278372794,0.0
2024-09-01 02:00:00+00:00,2024,3,0,1,1,True,False,False,,,SOL/USDT:USDT,short_compression_breakdown,,,0.0,,,False,,
2024-09-05 04:00:00+00:00,2024,0,3,4,1,True,True,True,BTC/USDT:USDT|DOGE/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,LINK/USDT:USDT,short_pullback_restart,BTC/USDT:USDT|DOGE/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,0.16219582829462342,0.16219582829462342,0.0,False,0.16219582829462342,0.0
2025-02-09 22:00:00+00:00,2025,2,1,2,1,True,True,True,ETH/USDT:USDT,short_pullback_restart,SOL/USDT:USDT,short_pullback_restart,ETH/USDT:USDT,short_pullback_restart,-0.048983264043592344,-0.048983264043592344,0.0,False,-0.0434113581227661,0.005571905920826244
2025-03-09 10:00:00+00:00,2025,2,1,2,1,True,True,True,BTC/USDT:USDT,short_pullback_restart,XRP/USDT:USDT,short_pullback_restart,BTC/USDT:USDT,short_pullback_restart,0.05155228006884643,0.05155228006884643,0.0,False,0.1000131825305252,0.04846090246167877
2025-03-09 11:00:00+00:00,2025,3,0,1,1,True,False,False,,,ETH/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2025-06-14 17:00:00+00:00,2025,3,0,1,1,True,False,False,,,LINK/USDT:USDT,short_compression_breakdown,,,0.0,,,False,,
2025-08-29 08:00:00+00:00,2025,2,1,2,1,True,True,True,SUI/USDT:USDT,short_compression_breakdown,NEAR/USDT:USDT,short_pullback_restart,NEAR/USDT:USDT,short_pullback_restart,0.00011399396824726786,0.0016913673554508,0.001577373387203532,True,0.0016913673554508,0.001577373387203532
