strategy,strategy_short,window,enter_tag,trades,profit_abs,profit_pct,winrate_pct,avg_profit_pct
DualTrendRawBreakevenGuardStrategy,guard_breakeven,1y,short_pullback_restart,82,239.16460943,23.916460943,63.41463414634146,1.12
DualTrendRawBreakevenGuardStrategy,guard_breakeven,1y,long_1d_center_compression,14,183.18289987999995,18.318289987999993,42.857142857142854,3.56
DualTrendRawBreakevenGuardStrategy,guard_breakeven,1y,short_compression_breakdown,31,-5.17023492,-0.5170234920000001,32.25806451612903,-0.16
DualTrendRawBreakevenGuardStrategy,guard_breakeven,3y,short_pullback_restart,193,701.64644401,70.164644401,54.40414507772021,0.89
DualTrendRawBreakevenGuardStrategy,guard_breakeven,3y,long_1d_center_compression,47,524.1698637999999,52.41698638,34.04255319148936,2.21
DualTrendRawBreakevenGuardStrategy,guard_breakeven,3y,short_compression_breakdown,81,220.93108853,22.093108853,49.382716049382715,0.85
DualTrendRawBreakevenGuardStrategy,guard_breakeven,pressure,short_pullback_restart,9,1.1384993300000015,0.11384993300000015,55.55555555555556,0.04
DualTrendRawBreakevenGuardStrategy,guard_breakeven,pressure,long_1d_center_compression,1,-6.40672143,-0.640672143,0.0,-2.08
DualTrendRawBreakevenGuardStrategy,guard_breakeven,pressure,short_compression_breakdown,8,-10.19534509,-1.019534509,12.5,-0.24
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,short_pullback_restart,9,19.57318585,1.957318585,66.66666666666666,1.49
DualTrendRawBreakevenGuardStrategy,guard_breakeven,repair,short_compression_breakdown,1,-7.62152472,-0.762152472,0.0,-3.56
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,short_pullback_restart,87,242.51438390999996,24.251438390999997,60.91954022988506,1.1
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,long_1d_center_compression,16,118.46212989000001,11.846212989000001,50.0,2.04
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,1y,short_compression_breakdown,32,-11.787295189999998,-1.1787295189999998,31.25,-0.28
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,short_pullback_restart,204,561.0658083200001,56.106580832000006,53.92156862745098,0.75
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,long_1d_center_compression,50,337.89870572999996,33.789870572999995,40.0,1.51
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,3y,short_compression_breakdown,83,161.62615799000002,16.162615799,48.19277108433735,0.64
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,short_pullback_restart,12,20.57112822,2.0571128219999997,50.0,0.51
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,long_1d_center_compression,1,-6.40672143,-0.640672143,0.0,-2.08
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,short_compression_breakdown,8,-10.335500029999999,-1.0335500029999998,12.5,-0.24
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,short_pullback_restart,9,19.57318585,1.957318585,66.66666666666666,1.49
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,short_compression_breakdown,1,-7.62152472,-0.762152472,0.0,-3.56
DualTrendRawBreakevenStrategy,raw_breakeven,1y,short_pullback_restart,82,238.05600496000002,23.805600496,63.41463414634146,1.12
DualTrendRawBreakevenStrategy,raw_breakeven,1y,long_1d_center_compression,14,184.14950438,18.414950437999998,42.857142857142854,3.56
DualTrendRawBreakevenStrategy,raw_breakeven,1y,short_compression_breakdown,33,-10.670654910000003,-1.0670654910000004,33.33333333333333,-0.25
DualTrendRawBreakevenStrategy,raw_breakeven,3y,short_pullback_restart,192,693.18752479,69.318752479,54.6875,0.91
DualTrendRawBreakevenStrategy,raw_breakeven,3y,long_1d_center_compression,47,513.58966044,51.358966044,34.04255319148936,2.21
DualTrendRawBreakevenStrategy,raw_breakeven,3y,short_compression_breakdown,87,173.92864096,17.392864096,47.12643678160919,0.61
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,short_pullback_restart,9,1.1384993300000015,0.11384993300000015,55.55555555555556,0.04
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,long_1d_center_compression,1,-6.40672143,-0.640672143,0.0,-2.08
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,short_compression_breakdown,8,-10.19534509,-1.019534509,12.5,-0.24
DualTrendRawBreakevenStrategy,raw_breakeven,repair,short_pullback_restart,9,19.57318585,1.957318585,66.66666666666666,1.49
DualTrendRawBreakevenStrategy,raw_breakeven,repair,short_compression_breakdown,2,-5.55946703,-0.555946703,50.0,-1.21
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,short_pullback_restart,87,241.54719330999998,24.154719331,60.91954022988506,1.1
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,long_1d_center_compression,16,118.46312764000001,11.846312764000002,50.0,2.04
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,short_compression_breakdown,34,-17.25928146,-1.7259281460000002,32.35294117647059,-0.35
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,short_pullback_restart,203,554.52638689,55.452638689,54.187192118226605,0.78
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,long_1d_center_compression,50,331.14256716999995,33.114256716999996,40.0,1.51
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,short_compression_breakdown,89,118.41915676,11.841915676000001,46.06741573033708,0.43
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,short_pullback_restart,12,20.57112822,2.0571128219999997,50.0,0.51
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,long_1d_center_compression,1,-6.40672143,-0.640672143,0.0,-2.08
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,short_compression_breakdown,8,-10.335500029999999,-1.0335500029999998,12.5,-0.24
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,repair,short_pullback_restart,9,19.57318585,1.957318585,66.66666666666666,1.49
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,repair,short_compression_breakdown,2,-5.55946703,-0.555946703,50.0,-1.21
