pair,trades,profit_abs,profit_pct_sum,sample
BNB/USDT:USDT,3,88.73639394,19.99678989222337,3y
BTC/USDT:USDT,6,71.71940152,18.690979589639586,3y
DOGE/USDT:USDT,3,28.7347086,10.042690226361582,3y
LINK/USDT:USDT,2,18.35707615,1.3697831309919422,3y
NEAR/USDT:USDT,3,14.13553652,5.14952245411066,3y
ZEC/USDT:USDT,1,0.05668541,0.012176099246338936,3y
TAO/USDT:USDT,1,0.00255703,0.0005607235735774814,3y
SUI/USDT:USDT,3,-0.13636268,-0.011424111476975328,3y
TRX/USDT:USDT,2,-2.10480233,-1.2928187671590148,3y
SOL/USDT:USDT,3,-7.549544760000002,8.401705782652474,3y
ADA/USDT:USDT,3,-12.07236583,-4.9706303926472035,3y
ETH/USDT:USDT,6,-18.54997576,-6.93040562529553,3y
XRP/USDT:USDT,5,-22.628904930000004,-7.767739942366436,3y
BNB/USDT:USDT,2,49.502535640000005,20.00071307762997,1y
LINK/USDT:USDT,1,11.57699997,5.310795752315229,1y
NEAR/USDT:USDT,3,7.97739019,5.149522452285034,1y
BTC/USDT:USDT,5,5.869096939999999,8.690998242864234,1y
SOL/USDT:USDT,2,1.8878587700000002,8.523883715754721,1y
ETH/USDT:USDT,2,0.10963756,0.01080042305156153,1y
ZEC/USDT:USDT,1,0.03221562,0.012176098788565695,1y
TAO/USDT:USDT,1,0.00145156,0.0005607210529469412,1y
SUI/USDT:USDT,2,-0.07910269,-0.01463023756489374,1y
TRX/USDT:USDT,2,-1.21597348,-1.2928187685511159,1y
XRP/USDT:USDT,4,-14.42497098,-7.812007403488139,1y
