run_id,strategy,sample,pair,trades,total_profit_abs,total_profit_pct,profit_factor,winrate,max_drawdown_abs,max_drawdown_pct,avg_profit_pct,best_trade_pct,worst_trade_pct
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,ZEC/USDT:USDT,19,234.922623,23.4923,4.7355,57.8947,25.114908,2.4503,4.3625,10.0164,-3.6975
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,DOGE/USDT:USDT,31,181.384521,18.1385,2.1266,35.4839,60.040887,4.8364,1.9887,10.0032,-4.5661
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,ETH/USDT:USDT,25,172.826745,17.2827,2.489,36.0,28.260851,2.4953,2.0202,10.0002,-4.919
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,BNB/USDT:USDT,25,139.002407,13.9002,2.0848,48.0,49.069638,4.1958,2.0671,10.0009,-4.6816
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,SUI/USDT:USDT,14,92.020094,9.202,1.9699,42.8571,39.530235,3.4935,1.9867,10.0044,-4.6996
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,TAO/USDT:USDT,11,88.114686,8.8115,2.8078,63.6364,42.385295,3.8764,3.4588,10.0011,-4.9952
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,ADA/USDT:USDT,35,87.167065,8.7167,1.4351,28.5714,91.370727,7.7529,1.1714,10.0124,-4.5628
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,SOL/USDT:USDT,27,69.671644,6.9672,1.4271,33.3333,57.528486,5.2957,1.2156,10.0002,-4.9136
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,XRP/USDT:USDT,36,49.425918,4.9426,1.2423,25.0,92.955329,9.2955,0.0508,10.0061,-4.4705
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,BTC/USDT:USDT,30,40.920966,4.0921,1.2446,26.6667,59.524142,5.8621,-0.0811,10.0,-4.2306
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,NEAR/USDT:USDT,34,0.290654,0.0291,1.0012,20.5882,91.266865,8.958,-0.2966,10.0245,-4.7363
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,LINK/USDT:USDT,31,-62.873927,-6.2874,0.7325,19.3548,99.162043,9.6193,-0.1205,10.0035,-4.6471
