run_id,category,strategy,sample,timerange,trades,total_profit_abs,total_profit_pct,profit_factor,winrate,max_drawdown_abs,max_drawdown_pct,avg_profit_pct,best_trade_pct,worst_trade_pct,final_balance,zip_path,case,pairs,pair_count,risk_per_trade,max_position_value_pct,max_open_trades,cost_case,fee
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,pair_level,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,full,20221001-20260507,337,1007.051988,100.7052,1.5224,31.454,180.73708,9.2717,1.0384,10.0245,-4.9952,2007.051988,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_full,,,,,,,,
pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_recent,pair_level,DualTrendCompressionRestartShortPullbackOnlyV1Strategy,recent,20250101-20260507,169,377.669475,37.7669,1.474,33.7278,124.674748,9.3136,1.0437,10.0245,-4.9952,1377.669475,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_DualTrendCompressionRestartShortPullbackOnlyV1Strategy_recent,,,,,,,,
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,pair_level,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,full,20221001-20260507,116,227.62606,22.7626,1.4472,29.3103,111.264086,10.9811,0.9071,10.0164,-4.6873,1227.62606,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_full,,,,,,,,
pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,pair_level,DualTrendCompressionRestartShortCompressionOnlyV1Strategy,recent,20250101-20260507,58,183.881355,18.3881,1.6795,32.7586,80.376501,6.3576,1.2484,10.0049,-4.6816,1183.881355,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_DualTrendCompressionRestartShortCompressionOnlyV1Strategy_recent,,,,,,,,
pair_DualTrendCompressionRestartShortV1Strategy_full,pair_level,DualTrendCompressionRestartShortV1Strategy,full,20221001-20260507,339,1027.09485,102.7095,1.5283,31.5634,180.540043,9.2684,1.0548,10.0245,-4.9952,2027.09485,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_DualTrendCompressionRestartShortV1Strategy_full,,,,,,,,
pair_DualTrendCompressionRestartShortV1Strategy_recent,pair_level,DualTrendCompressionRestartShortV1Strategy,recent,20250101-20260507,171,391.538924,39.1539,1.4843,33.9181,124.680243,9.3194,1.0761,10.0245,-4.9952,1391.538924,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_DualTrendCompressionRestartShortV1Strategy_recent,,,,,,,,
pair_exclusion_full_remove_worst_1,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,full,20221001-20260507,327,1182.759259,118.2759,1.5995,33.3333,190.360907,8.0402,1.2053,10.0245,-4.9952,2182.759259,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_full_remove_worst_1,remove_worst_1,"BTC/USDT:USDT,ETH/USDT:USDT,BNB/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,ADA/USDT:USDT,LINK/USDT:USDT,NEAR/USDT:USDT,SUI/USDT:USDT,ZEC/USDT:USDT,TAO/USDT:USDT",12,,,,,
pair_exclusion_full_remove_worst_2,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,full,20221001-20260507,307,1248.710315,124.871,1.6675,34.202,183.787453,7.5732,1.2774,10.0245,-4.9952,2248.710315,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_full_remove_worst_2,remove_worst_2,"BTC/USDT:USDT,ETH/USDT:USDT,BNB/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,ADA/USDT:USDT,NEAR/USDT:USDT,SUI/USDT:USDT,ZEC/USDT:USDT,TAO/USDT:USDT",11,,,,,
pair_exclusion_full_remove_worst_3,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,full,20221001-20260507,275,1321.471522,132.1472,1.7687,36.0,171.294268,6.8874,1.4802,10.0164,-4.9952,2321.471522,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_full_remove_worst_3,remove_worst_3,"BTC/USDT:USDT,ETH/USDT:USDT,BNB/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,ADA/USDT:USDT,SUI/USDT:USDT,ZEC/USDT:USDT,TAO/USDT:USDT",10,,,,,
pair_exclusion_full_large_cap_8,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,full,20221001-20260507,267,671.85165,67.1852,1.4754,30.7116,171.124773,9.3059,0.9895,10.0124,-4.919,1671.85165,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_full_large_cap_8,large_cap_8,"BTC/USDT:USDT,ETH/USDT:USDT,BNB/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,ADA/USDT:USDT,LINK/USDT:USDT",8,,,,,
pair_exclusion_full_positive_pairs_only,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,full,20221001-20260507,309,1149.194728,114.9195,1.6166,33.657,169.044362,7.9003,1.2331,10.0245,-4.9952,2149.194728,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_full_positive_pairs_only,positive_pairs_only,"ZEC/USDT:USDT,DOGE/USDT:USDT,ETH/USDT:USDT,BNB/USDT:USDT,ADA/USDT:USDT,SUI/USDT:USDT,TAO/USDT:USDT,SOL/USDT:USDT,BTC/USDT:USDT,XRP/USDT:USDT,NEAR/USDT:USDT",11,,,,,
pair_exclusion_recent_remove_worst_1,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,recent,20250101-20260507,165,371.185622,37.1186,1.485,33.9394,110.591441,7.4809,1.0398,10.0245,-4.9952,1371.185622,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_recent_remove_worst_1,remove_worst_1,"BTC/USDT:USDT,ETH/USDT:USDT,BNB/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,ADA/USDT:USDT,NEAR/USDT:USDT,SUI/USDT:USDT,TRX/USDT:USDT,ZEC/USDT:USDT,TAO/USDT:USDT",12,,,,,
pair_exclusion_recent_remove_worst_2,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,recent,20250101-20260507,159,445.991647,44.5992,1.5743,36.478,117.54137,7.5353,1.2343,10.0245,-4.9952,1445.991647,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_recent_remove_worst_2,remove_worst_2,"BTC/USDT:USDT,ETH/USDT:USDT,BNB/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,ADA/USDT:USDT,NEAR/USDT:USDT,SUI/USDT:USDT,ZEC/USDT:USDT,TAO/USDT:USDT",11,,,,,
pair_exclusion_recent_remove_worst_3,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,recent,20250101-20260507,151,479.112536,47.9113,1.6391,36.4238,107.924283,6.8043,1.3807,10.0245,-4.9952,1479.112536,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_recent_remove_worst_3,remove_worst_3,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,ADA/USDT:USDT,NEAR/USDT:USDT,SUI/USDT:USDT,ZEC/USDT:USDT,TAO/USDT:USDT",10,,,,,
pair_exclusion_recent_large_cap_8,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,recent,20250101-20260507,138,315.592995,31.5593,1.5035,33.3333,133.640732,9.242,1.2094,10.0033,-4.919,1315.592995,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_recent_large_cap_8,large_cap_8,"BTC/USDT:USDT,ETH/USDT:USDT,BNB/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,ADA/USDT:USDT,LINK/USDT:USDT",8,,,,,
pair_exclusion_recent_positive_pairs_only,pair_exclusion,DualTrendCompressionRestartShortV1Strategy,recent,20250101-20260507,151,450.986045,45.0986,1.6058,35.7616,113.611858,7.8563,1.3105,10.0245,-4.9952,1450.986045,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\pair_exclusion_recent_positive_pairs_only,positive_pairs_only,"XRP/USDT:USDT,ETH/USDT:USDT,DOGE/USDT:USDT,SUI/USDT:USDT,ZEC/USDT:USDT,NEAR/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,ADA/USDT:USDT,TAO/USDT:USDT",10,,,,,
risk_full_0.005_0.25_2,risk_matrix,DualTrendRobustRisk0p005Cap0p25Strategy,full,20221001-20260507,268,436.235368,43.6235,1.5336,31.7164,80.340323,5.4882,1.0013,10.0245,-4.919,1436.235368,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.005_0.25_2,,,,0.005,0.25,2,,
risk_full_0.005_0.25_3,risk_matrix,DualTrendRobustRisk0p005Cap0p25Strategy,full,20221001-20260507,339,640.971075,64.0971,1.5582,31.5634,101.672906,6.3826,1.0548,10.0245,-4.9952,1640.971075,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.005_0.25_3,,,,0.005,0.25,3,,
risk_full_0.005_0.25_5,risk_matrix,DualTrendRobustRisk0p005Cap0p25Strategy,full,20221001-20260507,422,721.203799,72.1204,1.4675,30.5687,180.962907,9.5294,0.9572,10.0245,-4.9952,1721.203799,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.005_0.25_5,,,,0.005,0.25,5,,
risk_full_0.005_0.35_2,risk_matrix,DualTrendRobustRisk0p005Cap0p35Strategy,full,20221001-20260507,268,441.257255,44.1257,1.5089,31.7164,84.80078,5.7372,1.0013,10.0245,-4.919,1441.257255,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.005_0.35_2,,,,0.005,0.35,2,,
risk_full_0.005_0.35_3,risk_matrix,DualTrendRobustRisk0p005Cap0p35Strategy,full,20221001-20260507,339,678.12525,67.8125,1.5518,31.5634,113.544211,6.9084,1.0548,10.0245,-4.9952,1678.12525,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.005_0.35_3,,,,0.005,0.35,3,,
risk_full_0.005_0.35_5,risk_matrix,DualTrendRobustRisk0p005Cap0p35Strategy,full,20221001-20260507,418,756.949183,75.6949,1.4757,30.622,180.642592,9.339,0.9507,10.0245,-4.9952,1756.949183,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.005_0.35_5,,,,0.005,0.35,5,,
risk_full_0.005_0.45_2,risk_matrix,DualTrendRobustRisk0p005Cap0p45Strategy,full,20221001-20260507,268,451.899019,45.1899,1.5121,31.7164,87.211102,5.8488,1.0013,10.0245,-4.919,1451.899019,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.005_0.45_2,,,,0.005,0.45,2,,
risk_full_0.005_0.45_3,risk_matrix,DualTrendRobustRisk0p005Cap0p45Strategy,full,20221001-20260507,339,644.810768,64.4811,1.5184,31.5634,117.124234,7.0933,1.0548,10.0245,-4.9952,1644.810768,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.005_0.45_3,,,,0.005,0.45,3,,
risk_full_0.005_0.45_5,risk_matrix,DualTrendRobustRisk0p005Cap0p45Strategy,full,20221001-20260507,418,737.077014,73.7077,1.4618,30.622,178.410774,9.33,0.9507,10.0245,-4.9952,1737.077014,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.005_0.45_5,,,,0.005,0.45,5,,
risk_full_0.0075_0.25_2,risk_matrix,DualTrendRobustRisk0p0075Cap0p25Strategy,full,20221001-20260507,268,716.58368,71.6584,1.602,31.7164,123.185277,7.0263,1.0013,10.0245,-4.919,1716.58368,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.0075_0.25_2,,,,0.0075,0.25,2,,
risk_full_0.0075_0.25_3,risk_matrix,DualTrendRobustRisk0p0075Cap0p25Strategy,full,20221001-20260507,339,989.785562,98.9786,1.5791,31.5634,164.34372,8.6473,1.0548,10.0245,-4.9952,1989.785562,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.0075_0.25_3,,,,0.0075,0.25,3,,
risk_full_0.0075_0.25_5,risk_matrix,DualTrendRobustRisk0p0075Cap0p25Strategy,full,20221001-20260507,419,1179.787953,117.9788,1.5241,30.7876,257.014291,10.573,0.9803,10.0245,-4.9952,2179.787953,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.0075_0.25_5,,,,0.0075,0.25,5,,
risk_full_0.0075_0.35_2,risk_matrix,DualTrendRobustRisk0p0075Cap0p35Strategy,full,20221001-20260507,268,724.562128,72.4562,1.5411,31.7164,140.821944,7.9598,1.0013,10.0245,-4.919,1724.562128,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.0075_0.35_2,,,,0.0075,0.35,2,,
risk_full_0.0075_0.35_3,risk_matrix,DualTrendRobustRisk0p0075Cap0p35Strategy,full,20221001-20260507,339,1027.09485,102.7095,1.5283,31.5634,180.540043,9.2684,1.0548,10.0245,-4.9952,2027.09485,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.0075_0.35_3,,,,0.0075,0.35,3,,
risk_full_0.0075_0.35_5,risk_matrix,DualTrendRobustRisk0p0075Cap0p35Strategy,full,20221001-20260507,402,1196.521499,119.6521,1.5176,30.597,228.987779,9.4628,0.9649,10.0245,-4.9952,2196.521499,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.0075_0.35_5,,,,0.0075,0.35,5,,
risk_full_0.0075_0.45_2,risk_matrix,DualTrendRobustRisk0p0075Cap0p45Strategy,full,20221001-20260507,268,714.507129,71.4507,1.5074,31.7164,147.020228,8.309,1.0013,10.0245,-4.919,1714.507129,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.0075_0.45_2,,,,0.0075,0.45,2,,
risk_full_0.0075_0.45_3,risk_matrix,DualTrendRobustRisk0p0075Cap0p45Strategy,full,20221001-20260507,339,988.781774,98.8782,1.4943,31.5634,194.57004,9.8713,1.0548,10.0245,-4.9952,1988.781774,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.0075_0.45_3,,,,0.0075,0.45,3,,
risk_full_0.0075_0.45_5,risk_matrix,DualTrendRobustRisk0p0075Cap0p45Strategy,full,20221001-20260507,394,1135.308364,113.5308,1.4863,31.2183,221.251073,9.412,1.0151,10.0245,-4.9952,2135.308364,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.0075_0.45_5,,,,0.0075,0.45,5,,
risk_full_0.01_0.25_2,risk_matrix,DualTrendRobustRisk0p01Cap0p25Strategy,full,20221001-20260507,268,868.528798,86.8529,1.6318,31.7164,141.460305,7.5297,1.0013,10.0245,-4.919,1868.528798,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.01_0.25_2,,,,0.01,0.25,2,,
risk_full_0.01_0.25_3,risk_matrix,DualTrendRobustRisk0p01Cap0p25Strategy,full,20221001-20260507,339,1231.217359,123.1217,1.6115,31.5634,208.842955,10.0897,1.0548,10.0245,-4.9952,2231.217359,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_full_0.01_0.25_3,,,,0.01,0.25,3,,
