symbol,rows_1h,start,end,trend_up_4h_hours,trend_down_4h_hours,compression_ok_hours,vol_ok_hours,signal_count
BTC,31540,2022-10-01 00:00:00+00:00,2026-05-07 03:00:00+00:00,11172,8336,11936,8621,176
SOL,31541,2022-10-01 00:00:00+00:00,2026-05-07 04:00:00+00:00,9609,9644,11788,8466,155
ETH,31540,2022-10-01 00:00:00+00:00,2026-05-07 03:00:00+00:00,9660,9772,11431,8505,152
LINK,31541,2022-10-01 00:00:00+00:00,2026-05-07 04:00:00+00:00,8529,10324,12016,8250,144
XRP,31541,2022-10-01 00:00:00+00:00,2026-05-07 04:00:00+00:00,7449,11216,12334,8119,144
BNB,31541,2022-10-01 00:00:00+00:00,2026-05-07 04:00:00+00:00,10761,8248,11689,8247,135
ADA,31541,2022-10-01 00:00:00+00:00,2026-05-07 04:00:00+00:00,6761,12980,12250,8138,133
NEAR,31541,2022-10-01 00:00:00+00:00,2026-05-07 04:00:00+00:00,7424,12312,12308,8427,120
DOGE,31540,2022-10-01 00:00:00+00:00,2026-05-07 03:00:00+00:00,7768,11952,11703,8173,113
TRX,31540,2022-10-01 00:00:00+00:00,2026-05-07 03:00:00+00:00,13680,5452,10407,8135,91
ZEC,31540,2022-10-01 00:00:00+00:00,2026-05-07 03:00:00+00:00,9288,10228,12465,8328,86
SUI,17671,2024-05-01 00:00:00+00:00,2026-05-07 06:00:00+00:00,4039,6524,6775,4749,50
TAO,17723,2024-04-11 14:00:00+00:00,2026-04-20 00:00:00+00:00,3740,6833,6884,4800,46
