symbol,pair,date,entry_tag,side,close,initial_stop,risk_pct,trend_up_4h,trend_down_4h,compression_width_pct,volume_ratio,body_pct_of_range,close_position,forward_ret_6h,forward_ret_24h,forward_ret_72h,mfe_24h,mae_24h,first_event_24h,bars_to_first_event_24h,hit_tp1_before_stop_24h,hit_tp2_before_stop_24h,hit_stop_before_tp1_24h,max_r_24h,min_r_24h,first_event_72h,bars_to_first_event_72h,hit_tp1_before_stop_72h,hit_tp2_before_stop_72h,hit_stop_before_tp1_72h,max_r_72h,min_r_72h,year,month
BTC,BTC/USDT:USDT,2022-11-04 05:00:00+00:00,long_pullback_restart,long,20431.9,20131.006247133315,0.014726665306050173,True,False,0.00975435471003672,1.7324274263995931,0.6953361599031128,0.7250151423379878,0.00563334785311187,0.04650570920961816,0.02054140828801998,0.05098889481643898,-0.004008437786011121,tp1,7.0,True,True,False,3.4623517107767183,-0.2721891007032237,tp1,7.0,True,True,False,3.4623517107767183,-0.2721891007032237,2022,2022-11
ADA,ADA/USDT:USDT,2022-11-17 09:00:00+00:00,short_compression_breakdown,short,0.3231,0.3351006628579494,0.03714225582776053,False,True,0.029712163416898786,1.6516823196931438,0.6428571428571421,0.33928571428571697,0.004976671850699832,-0.014338010982306248,-0.005233990147783141,0.015399120050282988,-0.026514010244049313,none,,False,False,False,0.40831077899619334,-0.7332928275849959,none,,False,False,False,0.40831077899619334,-0.7832900658294313,2022,2022-11
ADA,ADA/USDT:USDT,2022-11-17 09:00:00+00:00,short_pullback_restart,short,0.3231,0.3351006628579494,0.03714225582776053,False,True,0.029712163416898786,1.6516823196931438,0.6428571428571421,0.33928571428571697,0.004976671850699832,-0.014338010982306248,-0.005233990147783141,0.015399120050282988,-0.026514010244049313,none,,False,False,False,0.40831077899619334,-0.7332928275849959,none,,False,False,False,0.40831077899619334,-0.7832900658294313,2022,2022-11
TRX,TRX/USDT:USDT,2022-11-17 09:00:00+00:00,short_compression_breakdown,short,0.04918,0.05056450045661646,0.02815169696251437,False,True,0.020536803578690605,2.1979985866328455,0.6122448979591789,0.306122448979593,-0.0028386050283860653,-0.030171563794123335,-0.041885836742645566,0.010271158586688589,-0.036630754162585655,stop,15.0,False,False,True,0.3611410871051187,-1.3506676657731405,stop,15.0,False,False,True,0.3611410871051187,-2.527987609735826,2022,2022-11
TRX,TRX/USDT:USDT,2022-11-17 09:00:00+00:00,short_pullback_restart,short,0.04918,0.05056450045661646,0.02815169696251437,False,True,0.020536803578690605,2.1979985866328455,0.6122448979591789,0.306122448979593,-0.0028386050283860653,-0.030171563794123335,-0.041885836742645566,0.010271158586688589,-0.036630754162585655,stop,15.0,False,False,True,0.3611410871051187,-1.3506676657731405,stop,15.0,False,False,True,0.3611410871051187,-2.527987609735826,2022,2022-11
SOL,SOL/USDT:USDT,2022-11-18 14:00:00+00:00,short_pullback_restart,short,13.428,13.850873454879265,0.0314919165087328,False,True,0.026958593982722674,1.231422388523613,0.536697247706418,0.3807339449541293,0.018198362147406666,0.06309872535824557,0.12462311557788963,0.06876790830945567,-0.0042269187986651025,tp1,4.0,True,True,False,2.0431644266880835,-0.1347920975940021,tp1,4.0,True,True,False,4.519082429862184,-0.37126946179401493,2022,2022-11
DOGE,DOGE/USDT:USDT,2022-11-18 17:00:00+00:00,short_pullback_restart,short,0.08388,0.0860961693313778,0.026420712105124037,False,True,0.01943252265140685,1.365182927062538,0.6559139784946229,0.27956989247311426,-0.009564293304994753,-0.00011920371915619121,0.12409541677834346,0.010967819693865177,-0.011664899257688321,none,,False,False,False,0.4106184428760425,-0.4467167675244908,tp1,42.0,True,True,False,4.6431470079060455,-0.866359791562647,2022,2022-11
NEAR,NEAR/USDT:USDT,2022-11-18 17:00:00+00:00,short_pullback_restart,short,1.769,1.852849036179064,0.04739911598590392,False,True,0.023742227247032243,5.042922291402372,0.6666666666666677,0.28985507246376535,-0.007851934941110472,0.017251293847038385,0.184069611780455,0.04058823529411759,-0.01173184357541912,none,,False,False,False,0.8229074911803019,-0.25045010601139794,tp1,42.0,True,True,False,3.446670506537788,-0.25045010601139794,2022,2022-11
ADA,ADA/USDT:USDT,2022-11-24 10:00:00+00:00,short_pullback_restart,short,0.3126,0.32182331113709495,0.02950515398942725,False,True,0.020793346129238662,1.6054175687440597,0.6428571428571421,0.23214285714285166,-0.006673021925643452,0.0022443090734209914,-0.015743073047858935,0.01790947574080115,-0.014812480302552888,none,,False,False,False,0.596315132195825,-0.5095783856946177,stop,39.0,False,False,True,0.596315132195825,-1.1601039844536936,2022,2022-11
BTC,BTC/USDT:USDT,2022-11-25 04:00:00+00:00,short_pullback_restart,short,16381.9,16687.12396893147,0.01863178074163998,False,True,0.01278850438593814,2.022089747752206,0.6433246073298455,0.27028795811517653,-0.005282684332287069,-0.0144387825699831,0.011147253615450659,0.003073776765431635,-0.018995035660604453,stop,21.0,False,False,True,0.1644693900539301,-1.039236863049952,stop,21.0,False,False,True,1.1201610450087622,-1.039236863049952,2022,2022-11
LINK,LINK/USDT:USDT,2022-12-04 23:00:00+00:00,long_compression_breakout,long,7.439,7.238636112536448,0.026934250230347068,True,False,0.022718107272482805,1.76136383553932,0.5,0.6447368421052637,0.01061970694985881,-0.022718107272482913,-0.07554778868127443,0.020701707218712118,-0.03817717435139134,stop,20.0,False,False,True,0.7686015776072125,-1.4174210911717422,stop,20.0,False,False,True,0.7686015776072125,-3.5385618085942445,2022,2022-12
LINK,LINK/USDT:USDT,2022-12-04 23:00:00+00:00,long_pullback_restart,long,7.439,7.238636112536448,0.026934250230347068,True,False,0.022718107272482805,1.76136383553932,0.5,0.6447368421052637,0.01061970694985881,-0.022718107272482913,-0.07554778868127443,0.020701707218712118,-0.03817717435139134,stop,20.0,False,False,True,0.7686015776072125,-1.4174210911717422,stop,20.0,False,False,True,0.7686015776072125,-3.5385618085942445,2022,2022-12
TRX,TRX/USDT:USDT,2022-12-05 19:00:00+00:00,short_pullback_restart,short,0.05301,0.053744229493446656,0.013850773315349075,False,True,0.010941331824184193,1.328035597157953,0.754716981132077,0.24528301886792306,-0.004693954187007132,0.00018867924528298552,-0.018515089798185502,0.009714285714285786,-0.00897363993269773,none,,False,False,False,0.6946057119088714,-0.6537465523848174,stop,71.0,False,False,True,0.9397606690531768,-1.825042458740945,2022,2022-12
TRX,TRX/USDT:USDT,2022-12-06 05:00:00+00:00,short_pullback_restart,short,0.05261,0.05359654318776572,0.018752008891194185,False,True,0.012735221440790668,2.729693493614399,0.8666666666666712,0.11666666666665684,-0.0011391684070629626,-0.012945590994371536,-0.033614988978692195,0.00209523809523815,-0.02084496556858373,stop,18.0,False,False,True,0.1115004404917351,-1.135277212279498,stop,18.0,False,False,True,0.2939557067509393,-2.331372846645395,2022,2022-12
SOL,SOL/USDT:USDT,2022-12-08 00:00:00+00:00,short_compression_breakdown,short,13.363,13.749520247754747,0.028924661210412886,False,True,0.020654044750430412,1.3215630225576442,0.6492146596858643,0.1308900523560223,0.0020997375328082324,-0.020953916037804943,-0.01641395554247027,0.007919746568109787,-0.029133972682359732,stop,18.0,False,False,True,0.27165459147336685,-1.0374618207697106,stop,18.0,False,False,True,0.27165459147336685,-1.6971944000621721,2022,2022-12
